NAME,CBSA,GEOID,year,geoyearID,total,child,taxbase,O65,Pchild,Ptaxbase,PO65,homevalue,State,MetroMicro,CBSAFIPS,popdensity,O65popdensity,tbpopdensity,childpopdensity
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area",310M200US41700,2013,310M200US417002013,2277516,593070,1414389,270057,26.0,62.1,11.9,134000, TX, Metro,41700,311.42851945493845,36.9277105752242,193.404161465101,81.09664741461327
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area",310M200US41700,2014,310M200US417002014,2326665,602103,1443495,281067,25.9,62.0,12.1,143900, TX, Metro,41700,318.14917489827707,38.43322272056099,197.38412844985783,82.33182372785825
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area",310M200US41700,2015,310M200US417002015,2381828,613016,1472831,295981,25.7,61.8,12.4,151400, TX, Metro,41700,325.6921872936643,40.472569508531286,201.39554573374522,83.8240720513878
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area",310M300US41700,2016,310M300US417002016,2429609,621265,1500592,307752,25.6,61.8,12.7,160200, TX, Metro,41700,332.2257818273916,42.08214112186093,205.19159683880378,84.95204386672688
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area",310M300US41700,2017,310M300US417002017,2473974,628636,1529423,315915,25.4,61.8,12.8,170100, TX, Metro,41700,338.29227104881454,43.19835326013379,209.13396020503492,85.95995758364582
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area",310M400US41700,2018,310M400US417002018,2518036,635046,1554317,328673,25.2,61.7,13.1,182000, TX, Metro,41700,344.3173279196438,44.942887678862846,212.53797649440952,86.83646374637142
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area",310M500US41700,2019,310M500US417002019,2550960,637215,1573126,340619,25.0,61.7,13.4,197600, TX, Metro,41700,348.8193698699679,46.576388867617915,215.1099272611343,87.13305374121569
"San Diego-Chula Vista-Carlsbad, CA","San Diego-Carlsbad-San Marcos, CA Metro Area",310M100US41740,2010,310M100US417402010,3105989,726048,2026852,353089,23.4,65.3,11.4,407000, CA, Metro,41740,737.7333059740685,83.86556271547576,481.41710311277745,172.4506401458152
"San Diego-Chula Vista-Carlsbad, CA","San Diego-Carlsbad-San Marcos, CA Metro Area",310M100US41740,2011,310M100US417402011,3140069,726602,2050448,363019,23.1,65.3,11.6,396500, CA, Metro,41740,745.8279743929187,86.22413247484145,487.02161590653304,172.58222601154418
"San Diego-Chula Vista-Carlsbad, CA","San Diego-Carlsbad-San Marcos, CA Metro Area",310M100US41740,2012,310M100US417402012,3177063,726270,2070957,379836,22.9,65.2,12.0,386400, CA, Metro,41740,754.6147749647188,90.21849981051648,491.89290565425017,172.50336949995207
