CBSA,GEOID,CBSAFIPS,total,U5,school,18_20s,30s,40s,50_65,O65,PU5,Pschool,P18_20s,P30s,P40s,P50_65,PO65
"Ellensburg, WA Micro Area",310M500US21260,21260,45897,2139,5762,13089,5105,4289,8293,7220,4.7,12.6,28.5,11.1,9.3,18.1,15.7
"Elmira, NY Metro Area",310M500US21300,21300,84895,4938,13389,12275,10295,9993,18391,15614,5.8,15.8,14.5,12.1,11.8,21.7,18.4
"El Paso, TX Metro Area",310M500US21340,21340,840477,64093,166492,163272,109990,102488,133915,100227,7.6,19.8,19.4,13.1,12.2,15.9,11.9
"Emporia, KS Micro Area",310M500US21380,21380,35888,2083,5967,8333,3728,3833,6397,5547,5.8,16.6,23.2,10.4,10.7,17.8,15.5
"Enid, OK Metro Area",310M500US21420,21420,61898,4432,11142,10108,8842,6119,11394,9861,7.2,18.0,16.3,14.3,9.9,18.4,15.9
"Enterprise, AL Micro Area",310M500US21460,21460,51662,3207,9052,7469,6718,6663,10003,8550,6.2,17.5,14.5,13.0,12.9,19.4,16.5
"Erie, PA Metro Area",310M500US21500,21500,273835,15458,43457,46192,32725,31675,56811,47517,5.6,15.9,16.9,12.0,11.6,20.7,17.4
"Escanaba, MI Micro Area",310M500US21540,21540,36026,1809,5392,4260,3632,4039,8477,8417,5.0,15.0,11.8,10.1,11.2,23.5,23.4
"Española, NM Micro Area",310M500US21580,21580,39159,2557,6654,5495,4383,4540,8224,7306,6.5,17.0,14.0,11.2,11.6,21.0,18.7
"Forrest City, AR Micro Area",310M500US22620,22620,25900,1666,4298,3817,3594,3387,4965,4173,6.4,16.6,14.7,13.9,13.1,19.2,16.1
"Eufaula, AL-GA Micro Area",310M500US21640,21640,27650,1512,4249,4114,3724,3311,5460,5280,5.5,15.4,14.9,13.5,12.0,19.7,19.1
"Eugene-Springfield, OR Metro Area",310M500US21660,21660,373340,18423,51010,73308,46978,41382,72056,70183,4.9,13.7,19.6,12.6,11.1,19.3,18.8
"Eureka-Arcata, CA Micro Area",310M500US21700,21700,135940,7235,18902,26969,17525,15848,25943,23518,5.3,13.9,19.8,12.9,11.7,19.1,17.3
"Evanston, WY Micro Area",310M500US21740,21740,20479,1498,4475,2677,2748,2391,4025,2665,7.3,21.9,13.1,13.4,11.7,19.7,13.0
"Evansville, IN-KY Metro Area",310M500US21780,21780,314960,18583,51920,49025,38954,38389,65186,52903,5.9,16.5,15.6,12.4,12.2,20.7,16.8
"Fairbanks, AK Metro Area",310M500US21820,21820,99072,7808,16135,23448,14984,10660,16338,9699,7.9,16.3,23.7,15.1,10.8,16.5,9.8
"Fairfield, IA Micro Area",310M500US21840,21840,18148,799,2068,2955,2346,2268,3797,3915,4.4,11.4,16.3,12.9,12.5,20.9,21.6
"Fairmont, MN Micro Area",310M500US21860,21860,19852,1073,3256,2556,2080,1934,4398,4555,5.4,16.4,12.9,10.5,9.7,22.2,22.9
"Fairmont, WV Micro Area",310M500US21900,21900,56355,3246,8043,9822,6157,7222,11095,10770,5.8,14.3,17.4,10.9,12.8,19.7,19.1
"Fallon, NV Micro Area",310M500US21980,21980,24259,1677,3859,3519,3148,2482,5044,4530,6.9,15.9,14.5,13.0,10.2,20.8,18.7
"Fort Morgan, CO Micro Area",310M500US22820,22820,28517,2052,5374,4536,3688,3197,5286,4384,7.2,18.8,15.9,12.9,11.2,18.5,15.4
"Fort Payne, AL Micro Area",310M500US22840,22840,71310,4260,13250,10235,8389,9259,14034,11883,6.0,18.6,14.4,11.8,13.0,19.7,16.7
"Fort Polk South, LA Micro Area",310M500US22860,22860,49646,4136,8316,11965,7151,5377,6878,5823,8.3,16.8,24.1,14.4,10.8,13.9,11.7
"Fort Smith, AR-OK Metro Area",310M500US22900,22900,249777,16136,44256,37981,29997,31049,49256,41102,6.5,17.7,15.2,12.0,12.4,19.7,16.5
"Fargo, ND-MN Metro Area",310M500US22020,22020,240421,17049,38074,56076,35268,26896,38313,28745,7.1,15.8,23.3,14.7,11.2,15.9,12.0
"Faribault-Northfield, MN Micro Area",310M500US22060,22060,66185,3758,10761,13269,8095,7781,12495,10026,5.7,16.3,20.0,12.2,11.8,18.9,15.1
"Farmington, MO Micro Area",310M500US22100,22100,66643,3591,10405,10625,9201,8862,13163,10796,5.4,15.6,15.9,13.8,13.3,19.8,16.2
"Farmington, NM Metro Area",310M500US22140,22140,126515,8635,25395,19812,16670,14436,23538,18029,6.8,20.1,15.7,13.2,11.4,18.6,14.3
"Fayetteville, NC Metro Area",310M500US22180,22180,519101,39767,92353,108145,73948,60407,84677,59804,7.7,17.8,20.8,14.2,11.6,16.3,11.5
"Fayetteville-Springdale-Rogers, AR Metro Area",310M500US22220,22220,514259,35831,95489,95325,73745,66011,83065,64793,7.0,18.6,18.5,14.3,12.8,16.2,12.6
"Fergus Falls, MN Micro Area",310M500US22260,22260,58195,3403,9232,6689,5896,5962,13434,13579,5.8,15.9,11.5,10.1,10.2,23.1,23.3
"Fernley, NV Micro Area",310M500US22280,22280,54380,2971,8795,6855,6364,6347,11676,11372,5.5,16.2,12.6,11.7,11.7,21.5,20.9
"Findlay, OH Micro Area",310M500US22300,22300,75837,4566,12371,12317,9269,9159,15532,12623,6.0,16.3,16.2,12.2,12.1,20.5,16.6
"Fitzgerald, GA Micro Area",310M500US22340,22340,17033,1095,3179,2371,1889,2114,3535,2850,6.4,18.7,13.9,11.1,12.4,20.8,16.7
"Flagstaff, AZ Metro Area",310M500US22380,22380,141274,7762,21542,39807,16972,14068,24140,16983,5.5,15.2,28.2,12.0,10.0,17.1,12.0
"Flint, MI Metro Area",310M500US22420,22420,407875,24184,68604,61997,46854,50543,86356,69337,5.9,16.8,15.2,11.5,12.4,21.2,17.0
"Florence, SC Metro Area",310M500US22500,22500,205502,12410,35595,31406,23575,26130,41421,34965,6.0,17.3,15.3,11.5,12.7,20.2,17.0
"Florence-Muscle Shoals, AL Metro Area",310M500US22520,22520,147327,7924,21938,24348,16834,17312,30099,28872,5.4,14.9,16.5,11.4,11.8,20.4,19.6
"Fond du Lac, WI Metro Area",310M500US22540,22540,102597,5615,16334,14805,12774,12186,22518,18365,5.5,15.9,14.4,12.5,11.9,21.9,17.9
"Forest City, NC Micro Area",310M500US22580,22580,66599,3407,10387,8690,6823,8696,14513,14083,5.1,15.6,13.0,10.2,13.1,21.8,21.1
"Fort Leonard Wood, MO Micro Area",310M500US22780,22780,52425,3442,8080,16887,7912,5087,6642,4375,6.6,15.4,32.2,15.1,9.7,12.7,8.3
"Fort Madison-Keokuk, IA-IL-MO Micro Area",310M500US22800,22800,58989,3416,9369,7527,6608,6549,13216,12304,5.8,15.9,12.8,11.2,11.1,22.4,20.9
"Fort Wayne, IN Metro Area",310M500US23060,23060,406305,28274,75831,65362,51915,49635,76394,58894,7.0,18.7,16.1,12.8,12.2,18.8,14.5
"Frankfort, IN Micro Area",310M500US23140,23140,32273,2229,6231,4617,3952,3687,6343,5214,6.9,19.3,14.3,12.2,11.4,19.7,16.2
"Frankfort, KY Micro Area",310M500US23180,23180,72938,4332,11586,11062,8471,9899,15524,12064,5.9,15.9,15.2,11.6,13.6,21.3,16.5
"Fredericksburg, TX Micro Area",310M500US23240,23240,26459,1316,4014,2838,2410,2656,5467,7758,5.0,15.2,10.7,9.1,10.0,20.7,29.3
"Freeport, IL Micro Area",310M500US23300,23300,45093,2539,7199,5647,4625,5159,9965,9959,5.6,16.0,12.5,10.3,11.4,22.1,22.1
"Fremont, NE Micro Area",310M500US23340,23340,36665,2479,6308,5433,4472,3925,7071,6977,6.8,17.2,14.8,12.2,10.7,19.3,19.0
"Fremont, OH Micro Area",310M500US23380,23380,59029,3299,10095,7831,6492,7573,12842,10897,5.6,17.1,13.3,11.0,12.8,21.8,18.5
"Fresno, CA Metro Area",310M500US23420,23420,984521,77711,203133,179004,136325,113049,157522,117777,7.9,20.6,18.2,13.8,11.5,16.0,12.0
"Gadsden, AL Metro Area",310M500US23460,23460,102748,5916,16253,14963,12349,13147,20863,19257,5.8,15.8,14.6,12.0,12.8,20.3,18.7
"Gaffney, SC Micro Area",310M500US23500,23500,56895,3314,9908,9162,6592,7307,11350,9262,5.8,17.4,16.1,11.6,12.8,19.9,16.3
"Gainesville, FL Metro Area",310M500US23540,23540,323799,17013,42413,87092,39553,32606,55438,49684,5.3,13.1,26.9,12.2,10.1,17.1,15.3
"Gainesville, GA Metro Area",310M500US23580,23580,198667,13101,37825,31476,24813,26409,36131,28912,6.6,19.0,15.8,12.5,13.3,18.2,14.6
"Gainesville, TX Micro Area",310M500US23620,23620,40041,2731,6819,5969,4199,4849,8205,7269,6.8,17.0,14.9,10.5,12.1,20.5,18.2
"Galesburg, IL Micro Area",310M500US23660,23660,50508,2801,7190,8072,5908,5603,10406,10528,5.5,14.2,16.0,11.7,11.1,20.6,20.8
"Gallup, NM Micro Area",310M500US23700,23700,72438,5396,15586,12921,8845,8516,12564,8610,7.4,21.5,17.8,12.2,11.8,17.3,11.9
"Garden City, KS Micro Area",310M500US23780,23780,40657,3582,8818,7219,5267,4375,6919,4477,8.8,21.7,17.8,13.0,10.8,17.0,11.0
"Gardnerville Ranchos, NV Micro Area",310M500US23820,23820,48132,1675,6496,5004,4764,5050,11952,13191,3.5,13.5,10.4,9.9,10.5,24.8,27.4
"Georgetown, SC Micro Area",310M500US23860,23860,61952,2953,8614,7488,5941,6413,13829,16714,4.8,13.9,12.1,9.6,10.4,22.3,27.0
"Gettysburg, PA Metro Area",310M500US23900,23900,102470,5191,15613,15340,10506,12602,22914,20304,5.1,15.2,15.0,10.3,12.3,22.4,19.8
"Gillette, WY Micro Area",310M500US23940,23940,61930,4551,11899,9012,9108,7381,12819,7160,7.3,19.2,14.6,14.7,11.9,20.7,11.6
"Glasgow, KY Micro Area",310M500US23980,23980,53920,3455,9331,7374,5990,6831,11530,9409,6.4,17.3,13.7,11.1,12.7,21.4,17.4
"Glens Falls, NY Metro Area",310M500US24020,24020,125892,5677,17867,17207,14437,15583,29614,25507,4.5,14.2,13.7,11.5,12.4,23.5,20.3
"Glenwood Springs, CO Micro Area",310M500US24060,24060,76981,4803,13059,11498,11972,9316,15664,10669,6.2,17.0,14.9,15.6,12.1,20.3,13.9
"Gloversville, NY Micro Area",310M500US24100,24100,53646,2710,8226,7290,6208,6844,12157,10211,5.1,15.3,13.6,11.6,12.8,22.7,19.0
"Goldsboro, NC Metro Area",310M500US24140,24140,123603,8244,21168,20996,14096,15174,24157,19768,6.7,17.1,17.0,11.4,12.3,19.5,16.0
"Granbury, TX Micro Area",310M500US24180,24180,58318,3172,9118,6959,6075,6141,12456,14397,5.4,15.6,11.9,10.4,10.5,21.4,24.7
"Grand Forks, ND-MN Metro Area",310M500US24220,24220,101745,6954,15240,25501,12353,9800,17593,14304,6.8,15.0,25.1,12.1,9.6,17.3,14.1
"Grand Island, NE Metro Area",310M500US24260,24260,75480,5586,14505,10683,9801,8672,14324,11909,7.4,19.2,14.2,13.0,11.5,19.0,15.8
"Grand Junction, CO Metro Area",310M500US24300,24300,151218,8602,24428,24045,18916,17315,29833,28079,5.7,16.2,15.9,12.5,11.5,19.7,18.6
"Grand Rapids, MN Micro Area",310M500US24330,24330,45141,2388,7098,5161,5004,4868,10406,10216,5.3,15.7,11.4,11.1,10.8,23.1,22.6
"Grand Rapids-Kentwood, MI Metro Area",310M500US24340,24340,1062392,69027,187543,190844,141273,126350,199412,147943,6.5,17.7,18.0,13.3,11.9,18.8,13.9
"Grants, NM Micro Area",310M500US24380,24380,26891,1776,4594,4378,3575,3202,5169,4197,6.6,17.1,16.3,13.3,11.9,19.2,15.6
"Grants Pass, OR Metro Area",310M500US24420,24420,86251,4246,12649,10083,8801,9536,18791,22145,4.9,14.7,11.7,10.2,11.1,21.8,25.7
"Great Bend, KS Micro Area",310M500US24460,24460,26453,1613,4668,3943,3014,2693,5536,4986,6.1,17.6,14.9,11.4,10.2,20.9,18.8
"Great Falls, MT Metro Area",310M500US24500,24500,81625,5495,12850,13835,10259,8424,15812,14950,6.7,15.7,16.9,12.6,10.3,19.4,18.3
"Greeley, CO Metro Area",310M500US24540,24540,305345,22053,58349,51437,46157,37980,53152,36217,7.2,19.1,16.8,15.1,12.4,17.4,11.9
"Green Bay, WI Metro Area",310M500US24580,24580,319401,19702,54803,48657,41379,39015,66696,49149,6.2,17.2,15.2,13.0,12.2,20.9,15.4
"Greeneville, TN Micro Area",310M500US24620,24620,68834,3245,10120,9512,7266,9195,14929,14567,4.7,14.7,13.8,10.6,13.4,21.7,21.2
"Greensboro-High Point, NC Metro Area",310M500US24660,24660,762063,44070,125421,128673,93102,97862,151770,121165,5.8,16.5,16.9,12.2,12.8,19.9,15.9
"Greensburg, IN Micro Area",310M500US24700,24700,26562,1728,4714,3897,3117,3223,5499,4384,6.5,17.7,14.7,11.7,12.1,20.7,16.5
"Greenville, MS Micro Area",310M500US24740,24740,46057,3454,8580,7140,5419,5115,9252,7097,7.5,18.6,15.5,11.8,11.1,20.1,15.4
"Greenville, NC Metro Area",310M500US24780,24780,178433,10377,28036,45253,21573,20528,29807,22859,5.8,15.7,25.4,12.1,11.5,16.7,12.8
"Greenville, OH Micro Area",310M500US24820,24820,51513,3076,9228,6666,5736,5969,10977,9861,6.0,17.9,12.9,11.1,11.6,21.3,19.1
"Greenville-Anderson, SC Metro Area",310M500US24860,24860,895942,53586,147820,150518,111610,112425,174854,145129,6.0,16.5,16.8,12.5,12.5,19.5,16.2
"Greenwood, MS Micro Area",310M500US24900,24900,39292,2644,7430,6556,4620,4432,7274,6336,6.7,18.9,16.7,11.8,11.3,18.5,16.1
"Greenwood, SC Micro Area",310M500US24940,24940,70411,4362,11808,11249,8390,8331,13512,12759,6.2,16.8,16.0,11.9,11.8,19.2,18.1
"Grenada, MS Micro Area",310M500US24980,24980,21088,1338,3680,3181,2567,2403,4245,3674,6.3,17.5,15.1,12.2,11.4,20.1,17.4
"Guayama, PR Metro Area",310M500US25020,25020,75623,3227,12207,12764,8889,9859,14631,14046,4.3,16.1,16.9,11.8,13.0,19.3,18.6
"Gulfport-Biloxi, MS Metro Area",310M500US25060,25060,412115,25225,71475,65556,53185,50824,81880,63970,6.1,17.3,15.9,12.9,12.3,19.9,15.5
"Guymon, OK Micro Area",310M500US25100,25100,20805,1764,4212,3624,2923,2535,3467,2280,8.5,20.2,17.4,14.0,12.2,16.7,11.0
"Hagerstown-Martinsburg, MD-WV Metro Area",310M500US25180,25180,283147,16609,46735,41242,36459,37395,58769,45938,5.9,16.5,14.6,12.9,13.2,20.8,16.2
"Hailey, ID Micro Area",310M500US25200,25200,23421,1239,3995,2769,2551,3217,5476,4174,5.3,17.1,11.8,10.9,13.7,23.4,17.8
"Hammond, LA Metro Area",310M500US25220,25220,132057,9507,22930,23841,17507,15373,24408,18491,7.2,17.4,18.1,13.3,11.6,18.5,14.0
"Hanford-Corcoran, CA Metro Area",310M500US25260,25260,150691,11642,29397,30055,23285,18568,22681,15063,7.7,19.5,19.9,15.5,12.3,15.1,10.0
"Hannibal, MO Micro Area",310M500US25300,25300,38842,2307,6699,5560,4610,4403,8149,7114,5.9,17.2,14.3,11.9,11.3,21.0,18.3
"Harrisburg-Carlisle, PA Metro Area",310M500US25420,25420,571013,33205,89363,88419,71914,71340,117700,99072,5.8,15.6,15.5,12.6,12.5,20.6,17.4
"Harrison, AR Micro Area",310M500US25460,25460,45143,2686,7466,6062,4962,5081,9304,9582,5.9,16.5,13.4,11.0,11.3,20.6,21.2
"Harrisonburg, VA Metro Area",310M500US25500,25500,133557,7261,19276,33653,15776,14901,22799,19891,5.4,14.4,25.2,11.8,11.2,17.1,14.9
"Hartford-East Hartford-Middletown, CT Metro Area",310M500US25540,25540,1207677,60682,184383,199969,146547,152454,258541,205101,5.0,15.3,16.6,12.1,12.6,21.4,17.0
"Hastings, NE Micro Area",310M500US25580,25580,31587,2009,5502,5345,3867,3075,6193,5596,6.4,17.4,16.9,12.2,9.7,19.6,17.7
"Hattiesburg, MS Metro Area",310M500US25620,25620,168177,11079,29415,31921,22480,20405,29450,23427,6.6,17.5,19.0,13.4,12.1,17.5,13.9
"Hays, KS Micro Area",310M500US25700,25700,28775,1726,4595,6979,3504,2830,4826,4315,6.0,16.0,24.3,12.2,9.8,16.8,15.0
"Heber, UT Micro Area",310M500US25720,25720,72811,4430,15816,10160,9655,9965,14426,8359,6.1,21.7,14.0,13.3,13.7,19.8,11.5
"Helena, MT Micro Area",310M500US25740,25740,79722,4317,12810,10621,10323,8975,18035,14641,5.4,16.1,13.3,12.9,11.3,22.6,18.4
"Helena-West Helena, AR Micro Area",310M500US25760,25760,18606,1389,3410,2820,2030,1814,3768,3375,7.5,18.3,15.2,10.9,9.7,20.3,18.1
"Henderson, NC Micro Area",310M500US25780,25780,44479,2762,7852,6743,4534,5561,9077,7950,6.2,17.7,15.2,10.2,12.5,20.4,17.9
"Hereford, TX Micro Area",310M500US25820,25820,18736,1655,4211,3171,2352,2038,2973,2336,8.8,22.5,16.9,12.6,10.9,15.9,12.5
"Hermiston-Pendleton, OR Micro Area",310M500US25840,25840,88432,6032,16699,14165,11259,10797,15896,13584,6.8,18.9,16.0,12.7,12.2,18.0,15.4
"Hickory-Lenoir-Morganton, NC Metro Area",310M500US25860,25860,366678,19135,57417,52469,41468,48189,79682,68318,5.2,15.7,14.3,11.3,13.1,21.7,18.6
"Hillsdale, MI Micro Area",310M500US25880,25880,45757,2737,7308,6901,4761,5261,10070,8719,6.0,16.0,15.1,10.4,11.5,22.0,19.1
"Hilo, HI Micro Area",310M500US25900,25900,199459,11899,31342,26230,24086,22803,42827,40272,6.0,15.7,13.2,12.1,11.4,21.5,20.2
"Hilton Head Island-Bluffton, SC Metro Area",310M500US25940,25940,214752,11632,29710,32744,22943,22006,41288,54429,5.4,13.8,15.2,10.7,10.2,19.2,25.3
"Hinesville, GA Metro Area",310M500US25980,25980,80041,7663,14892,18992,11279,8427,11714,7074,9.6,18.6,23.7,14.1,10.5,14.6,8.8
"Hobbs, NM Micro Area",310M500US26020,26020,70277,5522,15619,11958,10404,7735,11269,7770,7.9,22.2,17.0,14.8,11.0,16.0,11.1
"Holland, MI Micro Area",310M500US26090,26090,116143,7195,21094,15805,14171,14219,25017,18642,6.2,18.2,13.6,12.2,12.2,21.5,16.1
"Homosassa Springs, FL Metro Area",310M500US26140,26140,145169,5280,16265,14132,11429,12886,32516,52661,3.6,11.2,9.7,7.9,8.9,22.4,36.3
"Hood River, OR Micro Area",310M500US26220,26220,23209,1449,4148,3233,3002,3141,4627,3609,6.2,17.9,13.9,12.9,13.5,19.9,15.6
"Hope, AR Micro Area",310M500US26260,26260,30193,2061,5451,4014,3202,3780,6087,5598,6.8,18.1,13.3,10.6,12.5,20.2,18.5
"Hot Springs, AR Metro Area",310M500US26300,26300,98555,5260,14709,12961,10541,11587,20497,23000,5.3,14.9,13.2,10.7,11.8,20.8,23.3
"Houghton, MI Micro Area",310M500US26340,26340,38181,1959,5638,9793,3798,3464,6665,6864,5.1,14.8,25.6,9.9,9.1,17.5,18.0
"Houma-Thibodaux, LA Metro Area",310M500US26380,26380,210162,14217,37316,33527,29242,24238,41338,30284,6.8,17.8,16.0,13.9,11.5,19.7,14.4
"Houston-The Woodlands-Sugar Land, TX Metro Area",310M500US26420,26420,6884138,504209,1334665,1147819,1023748,936912,1194803,741982,7.3,19.4,16.7,14.9,13.6,17.4,10.8
"Hudson, NY Micro Area",310M500US26460,26460,60371,2557,8094,7577,6485,7036,14686,13936,4.2,13.4,12.6,10.7,11.7,24.3,23.1
"Huntingdon, PA Micro Area",310M500US26500,26500,45369,2029,6243,7182,5203,5678,9735,9299,4.5,13.8,15.8,11.5,12.5,21.5,20.5
"Huntington, IN Micro Area",310M500US26540,26540,36359,2038,5793,5760,4307,4470,7863,6128,5.6,15.9,15.8,11.8,12.3,21.6,16.9
"Huntington-Ashland, WV-KY-OH Metro Area",310M500US26580,26580,361832,20206,56721,54278,43336,45485,74001,67805,5.6,15.7,15.0,12.0,12.6,20.5,18.7
"Huntsville, AL Metro Area",310M500US26620,26620,457003,26467,74803,74165,60182,57847,96060,67479,5.8,16.4,16.2,13.2,12.7,21.0,14.8
"Huntsville, TX Micro Area",310M500US26660,26660,72321,3065,7736,19868,10237,9180,13048,9187,4.2,10.7,27.5,14.2,12.7,18.0,12.7
"Huron, SD Micro Area",310M500US26700,26700,20364,1630,3748,2669,2304,2174,4117,3722,8.0,18.4,13.1,11.3,10.7,20.2,18.3
"Hutchinson, KS Micro Area",310M500US26740,26740,62765,3541,10709,9230,7633,7028,12504,12120,5.6,17.1,14.7,12.2,11.2,19.9,19.3
"Hutchinson, MN Micro Area",310M500US26780,26780,35832,2077,6229,4859,4453,4309,7360,6545,5.8,17.4,13.6,12.4,12.0,20.5,18.3
"Idaho Falls, ID Metro Area",310M500US26820,26820,145507,12294,33309,21812,19781,16163,23550,18598,8.4,22.9,15.0,13.6,11.1,16.2,12.8
"Indiana, PA Micro Area",310M500US26860,26860,85032,3991,11315,18707,8325,9268,17467,15959,4.7,13.3,22.0,9.8,10.9,20.5,18.8
"Indianapolis-Carmel-Anderson, IN Metro Area",310M500US26900,26900,2029472,135687,367247,325687,285517,259496,384478,271360,6.7,18.1,16.0,14.1,12.8,18.9,13.4
"Indianola, MS Micro Area",310M500US26940,26940,26168,1559,4424,5070,3599,3354,4778,3384,6.0,16.9,19.4,13.8,12.8,18.3,12.9
"Iowa City, IA Metro Area",310M500US26980,26980,170677,10335,24950,46956,22700,18171,26614,20951,6.1,14.6,27.5,13.3,10.6,15.6,12.3
"Iron Mountain, MI-WI Micro Area",310M500US27020,27020,29753,1433,4292,3467,3056,3368,7441,6696,4.8,14.4,11.7,10.3,11.3,25.0,22.5
"Ithaca, NY Metro Area",310M500US27060,27060,102642,4121,11147,34546,11433,9976,17124,14295,4.0,10.9,33.7,11.1,9.7,16.7,13.9
"Jackson, MI Metro Area",310M500US27100,27100,158636,9058,25356,24489,18210,20219,34025,27279,5.7,16.0,15.4,11.5,12.7,21.4,17.2
"Jackson, MS Metro Area",310M500US27140,27140,597727,37496,107106,100595,82546,72927,112970,84087,6.3,17.9,16.8,13.8,12.2,18.9,14.1
"Jackson, OH Micro Area",310M500US27160,27160,32450,2058,5771,4471,3878,4216,6612,5444,6.3,17.8,13.8,12.0,13.0,20.4,16.8
"Jackson, TN Metro Area",310M500US27180,27180,178442,11113,30115,28997,20758,21359,35797,30303,6.2,16.9,16.3,11.6,12.0,20.1,17.0
"Jackson, WY-ID Micro Area",310M500US27220,27220,34706,1888,5431,5262,5634,5434,6545,4512,5.4,15.6,15.2,16.2,15.7,18.9,13.0
"Jacksonville, FL Metro Area",310M500US27260,27260,1503574,93349,245115,239457,205059,188586,301028,230980,6.2,16.3,15.9,13.6,12.5,20.0,15.4
"Jacksonville, IL Micro Area",310M500US27300,27300,39252,2035,5549,6740,4694,4476,8059,7699,5.2,14.1,17.2,12.0,11.4,20.5,19.6
"Jacksonville, NC Metro Area",310M500US27340,27340,195069,17372,30258,63364,26080,17239,23301,17455,8.9,15.5,32.5,13.4,8.8,11.9,8.9
"Jacksonville, TX Micro Area",310M500US27380,27380,52118,3729,9592,8002,6051,6367,9491,8886,7.2,18.4,15.4,11.6,12.2,18.2,17.0
"Jamestown, ND Micro Area",310M500US27420,27420,20965,1195,3001,3495,2649,2211,4452,3962,5.7,14.3,16.7,12.6,10.5,21.2,18.9
"Jamestown-Dunkirk-Fredonia, NY Micro Area",310M500US27460,27460,128496,7003,19317,20336,14127,14367,28189,25157,5.4,15.0,15.8,11.0,11.2,21.9,19.6
"Janesville-Beloit, WI Metro Area",310M500US27500,27500,162152,9850,28076,23706,20368,20160,33853,26139,6.1,17.3,14.6,12.6,12.4,20.9,16.1
"Jasper, AL Micro Area",310M500US27530,27530,64110,3923,10333,9046,7488,7674,13455,12191,6.1,16.1,14.1,11.7,12.0,21.0,19.0
"Jasper, IN Micro Area",310M500US27540,27540,54921,3526,9817,7151,6165,6702,11952,9608,6.4,17.9,13.0,11.2,12.2,21.8,17.5
"Jayuya, PR Micro Area",310M500US27580,27580,14539,744,2486,2524,1650,1985,2812,2338,5.1,17.1,17.4,11.3,13.7,19.3,16.1
"Jefferson, GA Micro Area",310M500US27600,27600,67885,4449,12810,9288,9076,9607,12876,9779,6.6,18.9,13.7,13.4,14.2,19.0,14.4
"Jefferson City, MO Metro Area",310M500US27620,27620,151273,8904,24951,23759,20433,18441,30527,24258,5.9,16.5,15.7,13.5,12.2,20.2,16.0
"Jennings, LA Micro Area",310M500US27660,27660,31441,2226,5764,4666,4120,3234,6366,5065,7.1,18.3,14.8,13.1,10.3,20.2,16.1
"Jesup, GA Micro Area",310M500US27700,27700,29788,1979,5386,4316,3487,4398,5565,4657,6.6,18.1,14.5,11.7,14.8,18.7,15.6
"Johnson City, TN Metro Area",310M500US27740,27740,202049,9675,28600,34105,23458,25537,41774,38900,4.8,14.2,16.9,11.6,12.6,20.7,19.3
"Johnstown, PA Metro Area",310M500US27780,27780,133009,6609,19087,19216,13646,15572,29639,29240,5.0,14.4,14.4,10.3,11.7,22.3,22.0
"Jonesboro, AR Metro Area",310M500US27860,27860,131241,8997,23452,24112,17725,15471,22718,18766,6.9,17.9,18.4,13.5,11.8,17.3,14.3
"Joplin, MO Metro Area",310M500US27900,27900,178100,11715,32327,28178,22981,20800,33569,28530,6.6,18.2,15.8,12.9,11.7,18.8,16.0
"Juneau, AK Micro Area",310M500US27940,27940,32227,1875,5069,5263,4908,3925,7148,4039,5.8,15.7,16.3,15.2,12.2,22.2,12.5
"Kahului-Wailuku-Lahaina, HI Metro Area",310M500US27980,27980,165979,9907,26511,21299,22792,21309,35066,29095,6.0,16.0,12.8,13.7,12.8,21.1,17.5
"Aberdeen, SD Micro Area",310M500US10100,10100,42824,2669,7442,7297,5264,4366,8384,7402,6.2,17.4,17.0,12.3,10.2,19.6,17.3
"Aberdeen, WA Micro Area",310M500US10140,10140,72779,3895,11041,9361,8802,8316,16065,15299,5.4,15.2,12.9,12.1,11.4,22.1,21.0
"Abilene, TX Metro Area",310M500US10180,10180,170669,11639,28827,35470,22970,17530,28867,25366,6.8,16.9,20.8,13.5,10.3,16.9,14.9
"Ada, OK Micro Area",310M500US10220,10220,38355,2530,6469,7366,4658,4324,6736,6272,6.6,16.9,19.2,12.1,11.3,17.6,16.4
"Adrian, MI Micro Area",310M500US10300,10300,98381,5276,15580,14820,11482,12346,20827,18050,5.4,15.8,15.1,11.7,12.5,21.2,18.3
"Aguadilla-Isabela, PR Metro Area",310M500US10380,10380,301107,12493,45392,46916,35355,38672,62016,60263,4.1,15.1,15.6,11.7,12.8,20.6,20.0
"Akron, OH Metro Area",310M500US10420,10420,703845,37900,107039,121053,83085,84347,149988,120433,5.4,15.2,17.2,11.8,12.0,21.3,17.1
"Alamogordo, NM Micro Area",310M500US10460,10460,66137,4476,10970,12226,8205,7107,11905,11248,6.8,16.6,18.5,12.4,10.7,18.0,17.0
"Albany, GA Metro Area",310M500US10500,10500,148436,9544,26562,25506,18555,17310,28067,22892,6.4,17.9,17.2,12.5,11.7,18.9,15.4
"Albany-Lebanon, OR Metro Area",310M500US10540,10540,125048,7491,20919,18462,16287,14181,24813,22895,6.0,16.7,14.8,13.0,11.3,19.8,18.3
"Albany-Schenectady-Troy, NY Metro Area",310M500US10580,10580,880736,45941,127546,155282,111847,105294,185029,149797,5.2,14.5,17.6,12.7,12.0,21.0,17.0
"Albemarle, NC Micro Area",310M500US10620,10620,61588,3319,10070,9066,6774,8056,12768,11535,5.4,16.4,14.7,11.0,13.1,20.7,18.7
