CBSA,GEOID,CBSAFIPS,total,U5,school,18_20s,30s,40s,50_65,O65,PU5,Pschool,P18_20s,P30s,P40s,P50_65,PO65
"Burlington, IA-IL Micro Area",310M500US15460,15460,46195,2625,7562,6013,4932,5442,9952,9669,5.7,16.4,13.0,10.7,11.8,21.5,20.9
"Burlington, NC Metro Area",310M500US15500,15500,163324,9508,27030,27295,19627,20110,32589,27165,5.8,16.5,16.7,12.0,12.3,20.0,16.6
"Burlington-South Burlington, VT Metro Area",310M500US15540,15540,218784,10911,30423,46243,27267,26299,44790,32851,5.0,13.9,21.1,12.5,12.0,20.5,15.0
"Butte-Silver Bow, MT Micro Area",310M500US15580,15580,34770,2048,4969,6068,4278,3583,7305,6519,5.9,14.3,17.5,12.3,10.3,21.0,18.7
"Cadillac, MI Micro Area",310M500US15620,15620,48284,3000,8239,6208,5494,5454,10635,9254,6.2,17.1,12.9,11.4,11.3,22.0,19.2
"Calhoun, GA Micro Area",310M500US15660,15660,57202,3340,10754,8496,7744,7314,11307,8247,5.8,18.8,14.9,13.5,12.8,19.8,14.4
"California-Lexington Park, MD Metro Area",310M500US15680,15680,112290,7146,20199,18484,15279,14096,22995,14091,6.4,18.0,16.5,13.6,12.6,20.5,12.5
"Cambridge, MD Micro Area",310M500US15700,15700,32138,1817,4992,4284,3323,3726,7259,6737,5.7,15.5,13.3,10.3,11.6,22.6,21.0
"Cambridge, OH Micro Area",310M500US15740,15740,39111,2327,6355,5567,4336,4669,8404,7453,5.9,16.2,14.2,11.1,11.9,21.5,19.1
"Camden, AR Micro Area",310M500US15780,15780,29022,1705,4694,4018,3097,3244,6487,5777,5.9,16.2,13.8,10.7,11.2,22.4,19.9
"Campbellsville, KY Micro Area",310M500US15820,15820,36550,2213,5877,6159,4038,4073,7527,6663,6.1,16.1,16.9,11.0,11.1,20.6,18.2
"Cañon City, CO Micro Area",310M500US15860,15860,47321,1847,5648,6005,7396,5841,10574,10010,3.9,11.9,12.7,15.6,12.3,22.3,21.2
"Canton-Massillon, OH Metro Area",310M500US15940,15940,399736,22304,63824,58478,44962,48150,85593,76425,5.6,16.0,14.6,11.2,12.0,21.4,19.1
"Cape Coral-Fort Myers, FL Metro Area",310M500US15980,15980,737468,34344,97208,92208,77842,79720,148977,207169,4.7,13.2,12.5,10.6,10.8,20.2,28.1
"Cheyenne, WY Metro Area",310M500US16940,16940,98320,6174,16581,16417,13848,11192,18834,15274,6.3,16.9,16.7,14.1,11.4,19.2,15.5
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",310M500US16980,16980,9508605,578101,1610630,1559925,1323147,1248509,1842683,1345610,6.1,16.9,16.4,13.9,13.1,19.4,14.2
"Cape Girardeau, MO-IL Metro Area",310M500US16020,16020,96976,5574,15356,18511,11462,10616,19016,16441,5.7,15.8,19.1,11.8,10.9,19.6,17.0
"Carbondale-Marion, IL Metro Area",310M500US16060,16060,137573,7631,19961,28016,16516,16095,25637,23717,5.5,14.5,20.4,12.0,11.7,18.6,17.2
"Carlsbad-Artesia, NM Micro Area",310M500US16100,16100,57732,4235,11087,9243,8009,6363,10541,8254,7.3,19.2,16.0,13.9,11.0,18.3,14.3
"Carroll, IA Micro Area",310M500US16140,16140,20281,1306,3662,2554,2106,2309,4344,4000,6.4,18.1,12.6,10.4,11.4,21.4,19.7
"Carson City, NV Metro Area",310M500US16180,16180,54773,2971,8248,7837,6811,6286,11763,10857,5.4,15.1,14.3,12.4,11.5,21.5,19.8
"Casper, WY Metro Area",310M500US16220,16220,80333,5384,14004,12701,11307,9629,15728,11580,6.7,17.4,15.8,14.1,12.0,19.6,14.4
"Cedar City, UT Micro Area",310M500US16260,16260,51213,4085,10627,11564,6257,5226,7029,6425,8.0,20.8,22.6,12.2,10.2,13.7,12.5
"Cedar Rapids, IA Metro Area",310M500US16300,16300,270056,16719,46334,41864,35741,32987,52865,43546,6.2,17.2,15.5,13.2,12.2,19.6,16.1
"Cedartown, GA Micro Area",310M500US16340,16340,41908,2853,7984,6263,5215,5325,7815,6453,6.8,19.1,14.9,12.4,12.7,18.6,15.4
"Celina, OH Micro Area",310M500US16380,16380,40884,2905,7618,5704,4388,4680,8515,7074,7.1,18.6,14.0,10.7,11.4,20.8,17.3
"Central City, KY Micro Area",310M500US16420,16420,30951,1651,4655,4784,3583,4182,6333,5763,5.3,15.0,15.5,11.6,13.5,20.5,18.6
"Centralia, IL Micro Area",310M500US16460,16460,37743,2423,6252,5279,4090,4520,7891,7288,6.4,16.6,14.0,10.8,12.0,20.9,19.3
"Centralia, WA Micro Area",310M500US16500,16500,78145,4586,12272,10465,9241,9057,16338,16186,5.9,15.7,13.4,11.8,11.6,20.9,20.7
"Chambersburg-Waynesboro, PA Metro Area",310M500US16540,16540,154147,9306,25313,21092,18169,19089,31505,29673,6.0,16.4,13.7,11.8,12.4,20.4,19.2
"Champaign-Urbana, IL Metro Area",310M500US16580,16580,226323,12514,30767,66960,29199,21778,36012,29093,5.5,13.6,29.6,12.9,9.6,15.9,12.9
"Charleston, WV Metro Area",310M500US16620,16620,264113,14256,40306,35496,30609,33429,57731,52286,5.4,15.3,13.4,11.6,12.7,21.9,19.8
"Charleston-Mattoon, IL Micro Area",310M500US16660,16660,62189,3062,8674,14184,7289,6573,11818,10589,4.9,13.9,22.8,11.7,10.6,19.0,17.0
"Charleston-North Charleston, SC Metro Area",310M500US16700,16700,774508,47309,122955,131690,113257,96475,148748,114074,6.1,15.9,17.0,14.6,12.5,19.2,14.7
"Charlotte-Concord-Gastonia, NC-SC Metro Area",310M500US16740,16740,2545560,158412,450760,398822,352318,363581,482213,339454,6.2,17.7,15.7,13.8,14.3,18.9,13.3
"Charlottesville, VA Metro Area",310M500US16820,16820,215445,11108,30800,41781,28225,24726,41892,36913,5.2,14.3,19.4,13.1,11.5,19.4,17.1
"Chattanooga, TN-GA Metro Area",310M500US16860,16860,556209,31687,86254,86923,70415,70683,112374,97873,5.7,15.5,15.6,12.7,12.7,20.2,17.6
"Chico, CA Metro Area",310M500US17020,17020,225817,12384,33055,48661,25913,23389,41730,40685,5.5,14.6,21.5,11.5,10.4,18.5,18.0
"Chillicothe, OH Micro Area",310M500US17060,17060,76948,4186,12355,10873,10196,10343,16606,12389,5.4,16.1,14.1,13.3,13.4,21.6,16.1
"Cincinnati, OH-KY-IN Metro Area",310M500US17140,17140,2201741,137978,382124,354656,283239,273085,444228,326431,6.3,17.4,16.1,12.9,12.4,20.2,14.8
"Clarksburg, WV Micro Area",310M500US17220,17220,93332,5099,14213,12500,11430,11919,20201,17970,5.5,15.2,13.4,12.2,12.8,21.6,19.3
"Clarksdale, MS Micro Area",310M500US17260,17260,23255,1902,4453,3993,2616,2524,4367,3400,8.2,19.1,17.2,11.2,10.9,18.8,14.6
"Clarksville, TN-KY Metro Area",310M500US17300,17300,299470,25223,53997,65060,42757,34575,45144,32714,8.4,18.0,21.7,14.3,11.5,15.1,10.9
"Clearlake, CA Micro Area",310M500US17340,17340,64195,3731,9669,7848,7477,6498,14639,14333,5.8,15.1,12.2,11.6,10.1,22.8,22.3
"Cleveland, MS Micro Area",310M500US17380,17380,31848,2184,5732,5618,4114,3504,5916,4780,6.9,18.0,17.6,12.9,11.0,18.6,15.0
"Cleveland, TN Metro Area",310M500US17420,17420,122563,6853,19837,19516,14508,16070,24544,21235,5.6,16.2,15.9,11.8,13.1,20.0,17.3
"Cleveland-Elyria, OH Metro Area",310M500US17460,17460,2056898,115028,323038,311760,245935,250423,440506,370208,5.6,15.7,15.2,12.0,12.2,21.4,18.0
"Clewiston, FL Micro Area",310M500US17500,17500,40732,3003,7979,6841,4977,5176,7411,5345,7.4,19.6,16.8,12.2,12.7,18.2,13.1
"Clinton, IA Micro Area",310M500US17540,17540,46909,2808,7881,6085,5402,5381,10295,9057,6.0,16.8,13.0,11.5,11.5,21.9,19.3
"Clovis, NM Micro Area",310M500US17580,17580,49732,4087,9119,10548,7194,5092,7601,6091,8.2,18.3,21.2,14.5,10.2,15.3,12.2
"Coamo, PR Micro Area",310M500US17620,17620,38906,1645,6270,5613,5007,5473,8201,6697,4.2,16.1,14.4,12.9,14.1,21.1,17.2
"Coco, PR Micro Area",310M500US17640,17640,28109,1319,4854,4541,3111,3806,5218,5260,4.7,17.3,16.2,11.1,13.5,18.6,18.7
"Coeur d'Alene, ID Metro Area",310M500US17660,17660,157322,9409,26777,22229,19881,18462,31482,29082,6.0,17.0,14.1,12.6,11.7,20.0,18.5
"Coffeyville, KS Micro Area",310M500US17700,17700,32521,2046,5674,4717,3728,3428,6670,6258,6.3,17.4,14.5,11.5,10.5,20.5,19.2
"Coldwater, MI Micro Area",310M500US17740,17740,43513,2607,7431,5804,5271,5095,9405,7900,6.0,17.1,13.3,12.1,11.7,21.6,18.2
"College Station-Bryan, TX Metro Area",310M500US17780,17780,258029,15862,38039,83508,32264,25904,35748,26704,6.1,14.7,32.4,12.5,10.0,13.9,10.3
"Colorado Springs, CO Metro Area",310M500US17820,17820,723498,48065,126134,137540,102495,85331,131659,92274,6.6,17.4,19.0,14.2,11.8,18.2,12.8
"Columbia, MO Metro Area",310M500US17860,17860,205369,11974,30133,54289,26684,22053,34262,25974,5.8,14.7,26.4,13.0,10.7,16.7,12.6
"Columbia, SC Metro Area",310M500US17900,17900,824278,47657,135502,156193,105828,102537,157602,118959,5.8,16.4,18.9,12.8,12.4,19.1,14.4
"Columbus, GA-AL Metro Area",310M500US17980,17980,319402,21787,54258,58744,44119,37614,58743,44137,6.8,17.0,18.4,13.8,11.8,18.4,13.8
"Cullman, AL Micro Area",310M500US18980,18980,82853,5115,13590,11881,9707,10629,16815,15116,6.2,16.4,14.3,11.7,12.8,20.3,18.2
"Columbus, IN Metro Area",310M500US18020,18020,82481,5467,14304,12977,10820,10546,15133,13234,6.6,17.3,15.7,13.1,12.8,18.3,16.0
"Columbus, MS Micro Area",310M500US18060,18060,59150,3884,10125,10156,7471,6696,11662,9156,6.6,17.1,17.2,12.6,11.3,19.7,15.5
"Columbus, NE Micro Area",310M500US18100,18100,33174,2400,6299,4673,3885,3805,6378,5734,7.2,19.0,14.1,11.7,11.5,19.2,17.3
"Columbus, OH Metro Area",310M500US18140,18140,2077761,138503,353064,360407,303886,268456,384411,269034,6.7,17.0,17.3,14.6,12.9,18.5,12.9
"Concord, NH Micro Area",310M500US18180,18180,149917,7134,21915,23156,17742,19051,34603,26316,4.8,14.6,15.4,11.8,12.7,23.1,17.6
"Connersville, IN Micro Area",310M500US18220,18220,23194,1207,3922,3173,2354,3101,4885,4552,5.2,16.9,13.7,10.1,13.4,21.1,19.6
"Cookeville, TN Micro Area",310M500US18260,18260,111197,6156,16972,21183,12686,12940,21431,19829,5.5,15.3,19.0,11.4,11.6,19.3,17.8
"Coos Bay, OR Micro Area",310M500US18300,18300,63686,3159,8628,7737,6989,6498,14452,16223,5.0,13.5,12.1,11.0,10.2,22.7,25.5
"Cordele, GA Micro Area",310M500US18380,18380,22713,1445,4071,3256,2825,2368,4611,4137,6.4,17.9,14.3,12.4,10.4,20.3,18.2
"Corinth, MS Micro Area",310M500US18420,18420,37090,2178,6476,5159,4977,4334,7211,6755,5.9,17.5,13.9,13.4,11.7,19.4,18.2
"Cornelia, GA Micro Area",310M500US18460,18460,44626,2606,7412,7130,5282,5610,8341,8245,5.8,16.6,16.0,11.8,12.6,18.7,18.5
"Corning, NY Micro Area",310M500US18500,18500,96422,5334,15572,12978,11200,11675,21412,18251,5.5,16.1,13.5,11.6,12.1,22.2,18.9
"Corpus Christi, TX Metro Area",310M500US18580,18580,428548,29273,78367,73848,58193,51061,77133,60673,6.8,18.3,17.2,13.6,11.9,18.0,14.2
"Corsicana, TX Micro Area",310M500US18620,18620,48995,3576,9279,7241,5190,6141,9339,8229,7.3,18.9,14.8,10.6,12.5,19.1,16.8
"Cortland, NY Micro Area",310M500US18660,18660,47865,2376,6791,11610,4843,5307,9270,7668,5.0,14.2,24.3,10.1,11.1,19.4,16.0
"Corvallis, OR Metro Area",310M500US18700,18700,91107,3673,11241,27702,10471,8355,15520,14145,4.0,12.3,30.4,11.5,9.2,17.0,15.5
"Coshocton, OH Micro Area",310M500US18740,18740,36585,2313,6310,4897,4438,3863,7816,6948,6.3,17.2,13.4,12.1,10.6,21.4,19.0
"Craig, CO Micro Area",310M500US18780,18780,13127,889,2472,2052,1629,1500,2777,1808,6.8,18.8,15.6,12.4,11.4,21.2,13.8
"Crawfordsville, IN Micro Area",310M500US18820,18820,38287,2262,6423,5888,4473,4382,8049,6810,5.9,16.8,15.4,11.7,11.4,21.0,17.8
"Crescent City, CA Micro Area",310M500US18860,18860,27495,1532,4388,3932,4023,3201,5692,4727,5.6,16.0,14.3,14.6,11.6,20.7,17.2
"Crestview-Fort Walton Beach-Destin, FL Metro Area",310M500US18880,18880,272056,17497,41687,43959,37502,30738,55318,45355,6.4,15.3,16.2,13.8,11.3,20.3,16.7
"Crossville, TN Micro Area",310M500US18900,18900,59216,2789,7725,6922,5242,6232,12407,17899,4.7,13.0,11.7,8.9,10.5,21.0,30.2
"Decatur, IN Micro Area",310M500US19540,19540,35376,3369,7720,5191,3836,3689,6219,5352,9.5,21.8,14.7,10.8,10.4,17.6,15.1
"Defiance, OH Micro Area",310M500US19580,19580,38160,2221,6573,5603,4484,4699,7635,6945,5.8,17.2,14.7,11.8,12.3,20.0,18.2
"Del Rio, TX Micro Area",310M500US19620,19620,48969,4132,9812,9363,6322,5429,6983,6928,8.4,20.0,19.1,12.9,11.1,14.3,14.1
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",310M500US19660,19660,646288,29613,84398,88611,66795,72313,142073,162485,4.6,13.1,13.7,10.3,11.2,22.0,25.1
"Deming, NM Micro Area",310M500US19700,19700,24083,1789,4573,3659,2526,2475,4122,4939,7.4,19.0,15.2,10.5,10.3,17.1,20.5
"Denver-Aurora-Lakewood, CO Metro Area",310M500US19740,19740,2892066,175486,484382,471862,461714,401176,532855,364591,6.1,16.7,16.3,16.0,13.9,18.4,12.6
"DeRidder, LA Micro Area",310M500US19760,19760,37043,2485,6698,5656,4753,4787,6964,5700,6.7,18.1,15.3,12.8,12.9,18.8,15.4
"Des Moines-West Des Moines, IA Metro Area",310M500US19780,19780,680439,47660,123596,106339,100222,87691,123489,91442,7.0,18.2,15.6,14.7,12.9,18.1,13.4
"Detroit-Warren-Dearborn, MI Metro Area",310M500US19820,19820,4317848,253114,708747,669932,528735,552658,914836,689826,5.9,16.4,15.5,12.2,12.8,21.2,16.0
"Dickinson, ND Micro Area",310M500US19860,19860,32003,2616,5622,5577,4719,3351,5882,4236,8.2,17.6,17.4,14.7,10.5,18.4,13.2
"Dixon, IL Micro Area",310M500US19940,19940,34389,1717,5095,4837,4224,4370,7635,6511,5.0,14.8,14.1,12.3,12.7,22.2,18.9
"Dodge City, KS Micro Area",310M500US19980,19980,34179,3085,7260,6041,4378,3988,5809,3618,9.0,21.2,17.7,12.8,11.7,17.0,10.6
"Cullowhee, NC Micro Area",310M500US19000,19000,57198,2944,7552,12798,6040,6169,10721,10974,5.1,13.2,22.4,10.6,10.8,18.7,19.2
"Cumberland, MD-WV Metro Area",310M500US19060,19060,98612,4579,13340,17377,11296,12128,19943,19949,4.6,13.5,17.6,11.5,12.3,20.2,20.2
"Dallas-Fort Worth-Arlington, TX Metro Area",310M500US19100,19100,7320663,509411,1409583,1219324,1069754,1013788,1297500,801303,7.0,19.3,16.7,14.6,13.8,17.7,10.9
"Dalton, GA Metro Area",310M500US19140,19140,143961,9451,27811,23176,18173,19022,26315,20013,6.6,19.3,16.1,12.6,13.2,18.3,13.9
"Danville, IL Metro Area",310M500US19180,19180,77563,5059,13379,10898,9144,8776,15777,14530,6.5,17.2,14.1,11.8,11.3,20.3,18.7
"Danville, KY Micro Area",310M500US19220,19220,54448,3131,8641,8944,5983,6822,11000,9927,5.8,15.9,16.4,11.0,12.5,20.2,18.2
"Danville, VA Micro Area",310M500US19260,19260,102326,4979,15695,13901,11157,11668,23212,21714,4.9,15.3,13.6,10.9,11.4,22.7,21.2
"Daphne-Fairhope-Foley, AL Metro Area",310M500US19300,19300,212830,11689,34546,27657,25001,26637,44769,42531,5.5,16.2,13.0,11.7,12.5,21.0,20.0
"Davenport-Moline-Rock Island, IA-IL Metro Area",310M500US19340,19340,381175,23598,64064,55289,48912,45152,76628,67532,6.2,16.8,14.5,12.8,11.8,20.1,17.7
"Dayton, TN Micro Area",310M500US19420,19420,32719,2131,5461,5017,4000,3610,6617,5883,6.5,16.7,15.3,12.2,11.0,20.2,18.0
"Dayton-Kettering, OH Metro Area",310M500US19430,19430,803543,48197,128562,132417,98276,92917,162181,140993,6.0,16.0,16.5,12.2,11.6,20.2,17.5
"Decatur, AL Metro Area",310M500US19460,19460,152271,8960,25590,21509,18279,19493,32030,26410,5.9,16.8,14.1,12.0,12.8,21.0,17.3
"Decatur, IL Metro Area",310M500US19500,19500,105528,6503,17017,15872,11698,12300,21645,20493,6.2,16.1,15.0,11.1,11.7,20.5,19.4
"Dothan, AL Metro Area",310M500US20020,20020,148252,8730,25037,20653,17707,18724,30289,27112,5.9,16.9,13.9,11.9,12.6,20.4,18.3
"Douglas, GA Micro Area",310M500US20060,20060,51260,3463,9319,8849,6294,7067,9278,6990,6.8,18.2,17.3,12.3,13.8,18.1,13.6
"Dover, DE Metro Area",310M500US20100,20100,176699,11042,29719,30525,21396,20844,33756,29417,6.2,16.8,17.3,12.1,11.8,19.1,16.6
"Dublin, GA Micro Area",310M500US20140,20140,63891,4080,10971,9492,7572,7900,12537,11339,6.4,17.2,14.9,11.9,12.4,19.6,17.7
"DuBois, PA Micro Area",310M500US20180,20180,79908,3778,11099,10612,9524,10619,18179,16097,4.7,13.9,13.3,11.9,13.3,22.7,20.1
"Dubuque, IA Metro Area",310M500US20220,20220,96982,6118,16085,16129,11400,10713,19759,16778,6.3,16.6,16.6,11.8,11.0,20.4,17.3
"Duluth, MN-WI Metro Area",310M500US20260,20260,289247,14668,41982,49117,33468,32958,62859,54195,5.1,14.5,17.0,11.6,11.4,21.7,18.7
"Dumas, TX Micro Area",310M500US20300,20300,21399,1910,4834,3676,2621,2777,3298,2283,8.9,22.6,17.2,12.2,13.0,15.4,10.7
"Duncan, OK Micro Area",310M500US20340,20340,43647,2575,7592,5874,5370,4878,8992,8366,5.9,17.4,13.5,12.3,11.2,20.6,19.2
"Durango, CO Micro Area",310M500US20420,20420,55617,2900,7710,9104,7806,6755,12192,9150,5.2,13.9,16.4,14.0,12.1,21.9,16.5
"Durant, OK Micro Area",310M500US20460,20460,46457,3016,7900,7979,5728,5335,8295,8204,6.5,17.0,17.2,12.3,11.5,17.9,17.7
"Durham-Chapel Hill, NC Metro Area",310M500US20500,20500,626695,35678,93885,117889,84997,81825,119308,93113,5.7,15.0,18.8,13.6,13.1,19.0,14.9
