,CBSA,GEOID,total,mtotal,ftotal,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,Name,State,Area,ID,CBSAFIPS
16,"Borger, TX Micro Area",310M500US14420,21344,10772,10572,2057,2034,4091,1570,1469,3039,1368,1240,2608,1276,1290,2566,2143,2032,4175,1633,1837,3470,9.6,9.5,19.2,7.4,6.9,14.2,6.4,5.8,12.2,6.0,6.0,12.0,10.0,9.5,19.6,7.7,8.6,16.3,Borger, TX,Micro Area,14420,14420
17,"Boston-Cambridge-Newton, MA-NH Metro Area",310M500US14460,4832346,2347899,2484447,361248,346632,707880,431176,432343,863519,327878,332802,660680,300328,315449,615777,475068,508846,983914,320632,422188,742820,7.5,7.2,14.6,8.9,8.9,17.9,6.8,6.9,13.7,6.2,6.5,12.7,9.8,10.5,20.4,6.6,8.7,15.4,Boston-Cambridge-Newton, MA,NH Metro Area,14460,14460
18,"Boulder, CO Metro Area",310M500US14500,322510,162211,160299,24323,23328,47651,37866,33590,71456,21748,19831,41579,20476,20733,41209,30172,31554,61726,20054,24040,44094,7.5,7.2,14.8,11.7,10.4,22.2,6.7,6.1,12.9,6.3,6.4,12.8,9.4,9.8,19.1,6.2,7.5,13.7,Boulder, CO,Metro Area,14500,14500
19,"Bowling Green, KY Metro Area",310M500US14540,174498,85972,88526,14405,14028,28433,18714,18453,37167,10634,11179,21813,10411,9784,20195,15112,16191,31303,11153,13511,24664,8.3,8.0,16.3,10.7,10.6,21.3,6.1,6.4,12.5,6.0,5.6,11.6,8.7,9.3,17.9,6.4,7.7,14.1,Bowling Green, KY,Metro Area,14540,14540
20,"Bozeman, MT Micro Area",310M500US14580,108063,56112,51951,7904,7600,15504,14603,12065,26668,8329,7878,16207,6854,5701,12555,8882,8888,17770,6350,6865,13215,7.3,7.0,14.3,13.5,11.2,24.7,7.7,7.3,15.0,6.3,5.3,11.6,8.2,8.2,16.4,5.9,6.4,12.2,Bozeman, MT,Micro Area,14580,14580
21,"Bradford, PA Micro Area",310M500US14620,41401,21416,19985,3236,2912,6148,3382,2834,6216,2730,2215,4945,2796,2322,5118,4633,4404,9037,3562,4321,7883,7.8,7.0,14.8,8.2,6.8,15.0,6.6,5.4,11.9,6.8,5.6,12.4,11.2,10.6,21.8,8.6,10.4,19.0,Bradford, PA,Micro Area,14620,14620
22,"Brainerd, MN Micro Area",310M500US14660,93485,46928,46557,7787,7196,14983,5591,5308,10899,5136,4939,10075,5052,4782,9834,10305,10677,20982,10411,11128,21539,8.3,7.7,16.0,6.0,5.7,11.7,5.5,5.3,10.8,5.4,5.1,10.5,11.0,11.4,22.4,11.1,11.9,23.0,Brainerd, MN,Micro Area,14660,14660
23,"Branson, MO Micro Area",310M500US14700,55114,26630,28484,4350,4250,8600,4254,4431,8685,2816,2877,5693,3097,3383,6480,5195,5624,10819,5335,6394,11729,7.9,7.7,15.6,7.7,8.0,15.8,5.1,5.2,10.3,5.6,6.1,11.8,9.4,10.2,19.6,9.7,11.6,21.3,Branson, MO,Micro Area,14700,14700
24,"Breckenridge, CO Micro Area",310M500US14720,30649,16696,13953,1781,1887,3668,2974,2328,5302,3028,2798,5826,2449,1538,3987,3713,2930,6643,2054,1860,3914,5.8,6.2,12.0,9.7,7.6,17.3,9.9,9.1,19.0,8.0,5.0,13.0,12.1,9.6,21.7,6.7,6.1,12.8,Breckenridge, CO,Micro Area,14720,14720
25,"Bremerton-Silverdale-Port Orchard, WA Metro Area",310M500US14740,265882,135983,129899,20081,19216,39297,27058,19593,46651,18663,16438,35101,14541,14842,29383,26322,27631,53953,21398,24746,46144,7.6,7.2,14.8,10.2,7.4,17.5,7.0,6.2,13.2,5.5,5.6,11.1,9.9,10.4,20.3,8.0,9.3,17.4,Bremerton-Silverdale-Port Orchard, WA,Metro Area,14740,14740
26,"Brenham, TX Micro Area",310M500US14780,35163,17282,17881,2990,2599,5589,2850,2867,5717,1679,1629,3308,1811,1996,3807,3600,3654,7254,3296,4080,7376,8.5,7.4,15.9,8.1,8.2,16.3,4.8,4.6,9.4,5.2,5.7,10.8,10.2,10.4,20.6,9.4,11.6,21.0,Brenham, TX,Micro Area,14780,14780
27,"Brevard, NC Micro Area",310M500US14820,33775,16252,17523,2081,1990,4071,2259,2059,4318,1455,1601,3056,1693,1938,3631,3437,3815,7252,4608,5504,10112,6.2,5.9,12.1,6.7,6.1,12.8,4.3,4.7,9.0,5.0,5.7,10.8,10.2,11.3,21.5,13.6,16.3,29.9,Brevard, NC,Micro Area,14820,14820
28,"Bridgeport-Stamford-Norwalk, CT Metro Area",310M500US14860,943926,459636,484290,82731,79639,162370,70632,67991,138623,55413,56642,112055,62650,66473,129123,98162,104840,203002,63376,83245,146621,8.8,8.4,17.2,7.5,7.2,14.7,5.9,6.0,11.9,6.6,7.0,13.7,10.4,11.1,21.5,6.7,8.8,15.5,Bridgeport-Stamford-Norwalk, CT,Metro Area,14860,14860
29,"Brookhaven, MS Micro Area",310M500US15020,34320,16278,18042,3004,3044,6048,2423,2503,4926,2197,2253,4450,1947,2187,4134,3234,3625,6859,2451,3285,5736,8.8,8.9,17.6,7.1,7.3,14.4,6.4,6.6,13.0,5.7,6.4,12.0,9.4,10.6,20.0,7.1,9.6,16.7,Brookhaven, MS,Micro Area,15020,15020
30,"Brookings, OR Micro Area",310M500US15060,22650,11173,11477,1191,1175,2366,1218,884,2102,989,850,1839,1029,1219,2248,2621,2918,5539,3697,3926,7623,5.3,5.2,10.4,5.4,3.9,9.3,4.4,3.8,8.1,4.5,5.4,9.9,11.6,12.9,24.5,16.3,17.3,33.7,Brookings, OR,Micro Area,15060,15060
31,"Brookings, SD Micro Area",310M500US15100,34601,17697,16904,2407,2475,4882,6124,5540,11664,2164,1873,4037,1545,1368,2913,2474,2404,4878,1916,2135,4051,7.0,7.2,14.1,17.7,16.0,33.7,6.3,5.4,11.7,4.5,4.0,8.4,7.2,6.9,14.1,5.5,6.2,11.7,Brookings, SD,Micro Area,15100,15100
32,"Brownsville, TN Micro Area",310M500US15140,17623,8238,9385,1505,1442,2947,1156,1230,2386,938,1199,2137,935,1117,2052,1843,2054,3897,1324,1828,3152,8.5,8.2,16.7,6.6,7.0,13.5,5.3,6.8,12.1,5.3,6.3,11.6,10.5,11.7,22.1,7.5,10.4,17.9,Brownsville, TN,Micro Area,15140,15140
33,"Brownsville-Harlingen, TX Metro Area",310M500US15180,421666,204948,216718,48182,46766,94948,36832,35274,72106,24215,25311,49526,24390,27339,51729,29061,34045,63106,24532,30933,55465,11.4,11.1,22.5,8.7,8.4,17.1,5.7,6.0,11.7,5.8,6.5,12.3,6.9,8.1,15.0,5.8,7.3,13.2,Brownsville-Harlingen, TX,Metro Area,15180,15180
34,"Brownwood, TX Micro Area",310M500US15220,37855,18681,19174,3206,3216,6422,2921,2736,5657,2170,2054,4224,2160,2364,4524,3778,3897,7675,3389,3999,7388,8.5,8.5,17.0,7.7,7.2,14.9,5.7,5.4,11.2,5.7,6.2,12.0,10.0,10.3,20.3,9.0,10.6,19.5,Brownwood, TX,Micro Area,15220,15220
35,"Brunswick, GA Metro Area",310M500US15260,117400,56083,61317,9696,9331,19027,8019,8254,16273,5992,6982,12974,7191,7640,14831,11371,13145,24516,10421,12838,23259,8.3,7.9,16.2,6.8,7.0,13.9,5.1,5.9,11.1,6.1,6.5,12.6,9.7,11.2,20.9,8.9,10.9,19.8,Brunswick, GA,Metro Area,15260,15260
36,"Bucyrus-Galion, OH Micro Area",310M500US15340,41821,20562,21259,3464,3259,6723,2905,2734,5639,2283,2280,4563,2489,2619,5108,4387,4446,8833,3722,4814,8536,8.3,7.8,16.1,6.9,6.5,13.5,5.5,5.5,10.9,6.0,6.3,12.2,10.5,10.6,21.1,8.9,11.5,20.4,Bucyrus-Galion, OH,Micro Area,15340,15340
37,"Buffalo-Cheektowaga, NY Metro Area",310M500US15380,1130175,547600,582575,85754,82893,168647,93794,91829,185623,68811,70780,139591,64336,65930,130266,117345,126293,243638,86175,114786,200961,7.6,7.3,14.9,8.3,8.1,16.4,6.1,6.3,12.4,5.7,5.8,11.5,10.4,11.2,21.6,7.6,10.2,17.8,Buffalo-Cheektowaga, NY,Metro Area,15380,15380
