,CBSA,GEOID,total,mtotal,ftotal,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,Name,State,Area,ID,CBSAFIPS
220,"Fredericksburg, TX Micro Area",310M500US23240,26459,12798,13661,2090,1924,4014,1456,1382,2838,1100,1310,2410,1386,1270,2656,2495,2972,5467,3617,4141,7758,7.9,7.3,15.2,5.5,5.2,10.7,4.2,5.0,9.1,5.2,4.8,10.0,9.4,11.2,20.7,13.7,15.7,29.3,Fredericksburg, TX,Micro Area,23240,23240
221,"Freeport, IL Micro Area",310M500US23300,45093,21808,23285,3631,3568,7199,2933,2714,5647,2172,2453,4625,2576,2583,5159,4836,5129,9965,4376,5583,9959,8.1,7.9,16.0,6.5,6.0,12.5,4.8,5.4,10.3,5.7,5.7,11.4,10.7,11.4,22.1,9.7,12.4,22.1,Freeport, IL,Micro Area,23300,23300
222,"Fremont, NE Micro Area",310M500US23340,36665,18022,18643,3144,3164,6308,2696,2737,5433,2160,2312,4472,2126,1799,3925,3511,3560,7071,3042,3935,6977,8.6,8.6,17.2,7.4,7.5,14.8,5.9,6.3,12.2,5.8,4.9,10.7,9.6,9.7,19.3,8.3,10.7,19.0,Fremont, NE,Micro Area,23340,23340
223,"Fremont, OH Micro Area",310M500US23380,59029,29301,29728,5326,4769,10095,3957,3874,7831,3347,3145,6492,3718,3855,7573,6398,6444,12842,4817,6080,10897,9.0,8.1,17.1,6.7,6.6,13.3,5.7,5.3,11.0,6.3,6.5,12.8,10.8,10.9,21.8,8.2,10.3,18.5,Fremont, OH,Micro Area,23380,23380
224,"Fresno, CA Metro Area",310M500US23420,984521,491146,493375,103611,99522,203133,91459,87545,179004,70208,66117,136325,56234,56815,113049,77301,80221,157522,52641,65136,117777,10.5,10.1,20.6,9.3,8.9,18.2,7.1,6.7,13.8,5.7,5.8,11.5,7.9,8.1,16.0,5.3,6.6,12.0,Fresno, CA,Metro Area,23420,23420
225,"Gadsden, AL Metro Area",310M500US23460,102748,49564,53184,8256,7997,16253,7554,7409,14963,6002,6347,12349,6322,6825,13147,10122,10741,20863,8257,11000,19257,8.0,7.8,15.8,7.4,7.2,14.6,5.8,6.2,12.0,6.2,6.6,12.8,9.9,10.5,20.3,8.0,10.7,18.7,Gadsden, AL,Metro Area,23460,23460
226,"Gaffney, SC Micro Area",310M500US23500,56895,27531,29364,4972,4936,9908,4590,4572,9162,3130,3462,6592,3523,3784,7307,5644,5706,11350,4080,5182,9262,8.7,8.7,17.4,8.1,8.0,16.1,5.5,6.1,11.6,6.2,6.7,12.8,9.9,10.0,19.9,7.2,9.1,16.3,Gaffney, SC,Micro Area,23500,23500
227,"Gainesville, FL Metro Area",310M500US23540,323799,157353,166446,21718,20695,42413,42928,44164,87092,19803,19750,39553,15953,16653,32606,25896,29542,55438,22429,27255,49684,6.7,6.4,13.1,13.3,13.6,26.9,6.1,6.1,12.2,4.9,5.1,10.1,8.0,9.1,17.1,6.9,8.4,15.3,Gainesville, FL,Metro Area,23540,23540
228,"Gainesville, GA Metro Area",310M500US23580,198667,98831,99836,19536,18289,37825,16073,15403,31476,12423,12390,24813,13277,13132,26409,17901,18230,36131,12930,15982,28912,9.8,9.2,19.0,8.1,7.8,15.8,6.3,6.2,12.5,6.7,6.6,13.3,9.0,9.2,18.2,6.5,8.0,14.6,Gainesville, GA,Metro Area,23580,23580
229,"Gainesville, TX Micro Area",310M500US23620,40041,19871,20170,3559,3260,6819,3101,2868,5969,2037,2162,4199,2306,2543,4849,4089,4116,8205,3341,3928,7269,8.9,8.1,17.0,7.7,7.2,14.9,5.1,5.4,10.5,5.8,6.4,12.1,10.2,10.3,20.5,8.3,9.8,18.2,Gainesville, TX,Micro Area,23620,23620
230,"Galesburg, IL Micro Area",310M500US23660,50508,25586,24922,3703,3487,7190,4293,3779,8072,3164,2744,5908,3045,2558,5603,5145,5261,10406,4670,5858,10528,7.3,6.9,14.2,8.5,7.5,16.0,6.3,5.4,11.7,6.0,5.1,11.1,10.2,10.4,20.6,9.2,11.6,20.8,Galesburg, IL,Micro Area,23660,23660
231,"Gallup, NM Micro Area",310M500US23700,72438,34986,37452,7951,7635,15586,6433,6488,12921,4608,4237,8845,3946,4570,8516,5767,6797,12564,3560,5050,8610,11.0,10.5,21.5,8.9,9.0,17.8,6.4,5.8,12.2,5.4,6.3,11.8,8.0,9.4,17.3,4.9,7.0,11.9,Gallup, NM,Micro Area,23700,23700
232,"Garden City, KS Micro Area",310M500US23780,40657,20757,19900,4576,4242,8818,3891,3328,7219,2880,2387,5267,2081,2294,4375,3561,3358,6919,1993,2484,4477,11.3,10.4,21.7,9.6,8.2,17.8,7.1,5.9,13.0,5.1,5.6,10.8,8.8,8.3,17.0,4.9,6.1,11.0,Garden City, KS,Micro Area,23780,23780
233,"Gardnerville Ranchos, NV Micro Area",310M500US23820,48132,24169,23963,3328,3168,6496,2643,2361,5004,2284,2480,4764,2713,2337,5050,5728,6224,11952,6601,6590,13191,6.9,6.6,13.5,5.5,4.9,10.4,4.7,5.2,9.9,5.6,4.9,10.5,11.9,12.9,24.8,13.7,13.7,27.4,Gardnerville Ranchos, NV,Micro Area,23820,23820
234,"Georgetown, SC Micro Area",310M500US23860,61952,29301,32651,4441,4173,8614,3741,3747,7488,2758,3183,5941,3053,3360,6413,6214,7615,13829,7592,9122,16714,7.2,6.7,13.9,6.0,6.0,12.1,4.5,5.1,9.6,4.9,5.4,10.4,10.0,12.3,22.3,12.3,14.7,27.0,Georgetown, SC,Micro Area,23860,23860
235,"Gettysburg, PA Metro Area",310M500US23900,102470,50461,52009,7955,7658,15613,7824,7516,15340,5401,5105,10506,6189,6413,12602,11210,11704,22914,9277,11027,20304,7.8,7.5,15.2,7.6,7.3,15.0,5.3,5.0,10.3,6.0,6.3,12.3,10.9,11.4,22.4,9.1,10.8,19.8,Gettysburg, PA,Metro Area,23900,23900
236,"Gillette, WY Micro Area",310M500US23940,61930,31553,30377,5940,5959,11899,4779,4233,9012,4737,4371,9108,3902,3479,7381,6518,6301,12819,3488,3672,7160,9.6,9.6,19.2,7.7,6.8,14.6,7.6,7.1,14.7,6.3,5.6,11.9,10.5,10.2,20.7,5.6,5.9,11.6,Gillette, WY,Micro Area,23940,23940
237,"Glasgow, KY Micro Area",310M500US23980,53920,26117,27803,4763,4568,9331,3771,3603,7374,2929,3061,5990,3399,3432,6831,5493,6037,11530,3954,5455,9409,8.8,8.5,17.3,7.0,6.7,13.7,5.4,5.7,11.1,6.3,6.4,12.7,10.2,11.2,21.4,7.3,10.1,17.4,Glasgow, KY,Micro Area,23980,23980
238,"Glens Falls, NY Metro Area",310M500US24020,125892,63544,62348,9395,8472,17867,9403,7804,17207,7634,6803,14437,7842,7741,15583,14644,14970,29614,11781,13726,25507,7.5,6.7,14.2,7.5,6.2,13.7,6.1,5.4,11.5,6.2,6.1,12.4,11.6,11.9,23.5,9.4,10.9,20.3,Glens Falls, NY,Metro Area,24020,24020
239,"Glenwood Springs, CO Micro Area",310M500US24060,76981,39453,37528,6742,6317,13059,5832,5666,11498,6382,5590,11972,4743,4573,9316,8001,7663,15664,5289,5380,10669,8.8,8.2,17.0,7.6,7.4,14.9,8.3,7.3,15.6,6.2,5.9,12.1,10.4,10.0,20.3,6.9,7.0,13.9,Glenwood Springs, CO,Micro Area,24060,24060
240,"Gloversville, NY Micro Area",310M500US24100,53646,26800,26846,4260,3966,8226,3873,3417,7290,3174,3034,6208,3407,3437,6844,6110,6047,12157,4566,5645,10211,7.9,7.4,15.3,7.2,6.4,13.6,5.9,5.7,11.6,6.4,6.4,12.8,11.4,11.3,22.7,8.5,10.5,19.0,Gloversville, NY,Micro Area,24100,24100
241,"Goldsboro, NC Metro Area",310M500US24140,123603,60358,63245,10866,10302,21168,11181,9815,20996,7009,7087,14096,7154,8020,15174,11584,12573,24157,8387,11381,19768,8.8,8.3,17.1,9.0,7.9,17.0,5.7,5.7,11.4,5.8,6.5,12.3,9.4,10.2,19.5,6.8,9.2,16.0,Goldsboro, NC,Metro Area,24140,24140
242,"Granbury, TX Micro Area",310M500US24180,58318,28416,29902,4674,4444,9118,3527,3432,6959,2883,3192,6075,3099,3042,6141,5966,6490,12456,6710,7687,14397,8.0,7.6,15.6,6.0,5.9,11.9,4.9,5.5,10.4,5.3,5.2,10.5,10.2,11.1,21.4,11.5,13.2,24.7,Granbury, TX,Micro Area,24180,24180
243,"Grand Forks, ND-MN Metro Area",310M500US24220,101745,52432,49313,7940,7300,15240,13825,11676,25501,6515,5838,12353,5183,4617,9800,8828,8765,17593,6470,7834,14304,7.8,7.2,15.0,13.6,11.5,25.1,6.4,5.7,12.1,5.1,4.5,9.6,8.7,8.6,17.3,6.4,7.7,14.1,Grand Forks, ND,MN Metro Area,24220,24220
244,"Grand Island, NE Metro Area",310M500US24260,75480,38057,37423,7514,6991,14505,5591,5092,10683,5197,4604,9801,4161,4511,8672,7195,7129,14324,5440,6469,11909,10.0,9.3,19.2,7.4,6.7,14.2,6.9,6.1,13.0,5.5,6.0,11.5,9.5,9.4,19.0,7.2,8.6,15.8,Grand Island, NE,Metro Area,24260,24260
245,"Grand Junction, CO Metro Area",310M500US24300,151218,74601,76617,12455,11973,24428,12233,11812,24045,9729,9187,18916,8685,8630,17315,14360,15473,29833,12730,15349,28079,8.2,7.9,16.2,8.1,7.8,15.9,6.4,6.1,12.5,5.7,5.7,11.5,9.5,10.2,19.7,8.4,10.2,18.6,Grand Junction, CO,Metro Area,24300,24300
246,"Grand Rapids, MN Micro Area",310M500US24330,45141,22863,22278,3710,3388,7098,2744,2417,5161,2510,2494,5004,2501,2367,4868,5200,5206,10406,4896,5320,10216,8.2,7.5,15.7,6.1,5.4,11.4,5.6,5.5,11.1,5.5,5.2,10.8,11.5,11.5,23.1,10.8,11.8,22.6,Grand Rapids, MN,Micro Area,24330,24330
247,"Grand Rapids-Kentwood, MI Metro Area",310M500US24340,1062392,527777,534615,96187,91356,187543,96455,94389,190844,71765,69508,141273,63543,62807,126350,98426,100986,199412,66092,81851,147943,9.1,8.6,17.7,9.1,8.9,18.0,6.8,6.5,13.3,6.0,5.9,11.9,9.3,9.5,18.8,6.2,7.7,13.9,Grand Rapids-Kentwood, MI,Metro Area,24340,24340
248,"Grants, NM Micro Area",310M500US24380,26891,13612,13279,2176,2418,4594,2338,2040,4378,2066,1509,3575,1716,1486,3202,2532,2637,5169,1878,2319,4197,8.1,9.0,17.1,8.7,7.6,16.3,7.7,5.6,13.3,6.4,5.5,11.9,9.4,9.8,19.2,7.0,8.6,15.6,Grants, NM,Micro Area,24380,24380
249,"Grants Pass, OR Metro Area",310M500US24420,86251,42293,43958,6700,5949,12649,5215,4868,10083,4548,4253,8801,4620,4916,9536,8758,10033,18791,10268,11877,22145,7.8,6.9,14.7,6.0,5.6,11.7,5.3,4.9,10.2,5.4,5.7,11.1,10.2,11.6,21.8,11.9,13.8,25.7,Grants Pass, OR,Metro Area,24420,24420
250,"Great Bend, KS Micro Area",310M500US24460,26453,13040,13413,2349,2319,4668,1965,1978,3943,1412,1602,3014,1526,1167,2693,2658,2878,5536,2243,2743,4986,8.9,8.8,17.6,7.4,7.5,14.9,5.3,6.1,11.4,5.8,4.4,10.2,10.0,10.9,20.9,8.5,10.4,18.8,Great Bend, KS,Micro Area,24460,24460
251,"Great Falls, MT Metro Area",310M500US24500,81625,41235,40390,6582,6268,12850,7453,6382,13835,5194,5065,10259,4430,3994,8424,7690,8122,15812,6920,8030,14950,8.1,7.7,15.7,9.1,7.8,16.9,6.4,6.2,12.6,5.4,4.9,10.3,9.4,10.0,19.4,8.5,9.8,18.3,Great Falls, MT,Metro Area,24500,24500
252,"Greeley, CO Metro Area",310M500US24540,305345,154294,151051,29934,28415,58349,26109,25328,51437,23923,22234,46157,19649,18331,37980,26516,26636,53152,16926,19291,36217,9.8,9.3,19.1,8.6,8.3,16.8,7.8,7.3,15.1,6.4,6.0,12.4,8.7,8.7,17.4,5.5,6.3,11.9,Greeley, CO,Metro Area,24540,24540
253,"Green Bay, WI Metro Area",310M500US24580,319401,159123,160278,27926,26877,54803,24655,24002,48657,20669,20710,41379,20137,18878,39015,33343,33353,66696,22363,26786,49149,8.7,8.4,17.2,7.7,7.5,15.2,6.5,6.5,13.0,6.3,5.9,12.2,10.4,10.4,20.9,7.0,8.4,15.4,Green Bay, WI,Metro Area,24580,24580
254,"Greeneville, TN Micro Area",310M500US24620,68834,33654,35180,5193,4927,10120,4909,4603,9512,3482,3784,7266,4662,4533,9195,7186,7743,14929,6518,8049,14567,7.5,7.2,14.7,7.1,6.7,13.8,5.1,5.5,10.6,6.8,6.6,13.4,10.4,11.2,21.7,9.5,11.7,21.2,Greeneville, TN,Micro Area,24620,24620
255,"Greensboro-High Point, NC Metro Area",310M500US24660,762063,364321,397742,63691,61730,125421,61962,66711,128673,43719,49383,93102,47560,50302,97862,72651,79119,151770,52270,68895,121165,8.4,8.1,16.5,8.1,8.8,16.9,5.7,6.5,12.2,6.2,6.6,12.8,9.5,10.4,19.9,6.9,9.0,15.9,Greensboro-High Point, NC,Metro Area,24660,24660
256,"Greensburg, IN Micro Area",310M500US24700,26562,13182,13380,2385,2329,4714,2045,1852,3897,1553,1564,3117,1685,1538,3223,2677,2822,5499,1958,2426,4384,9.0,8.8,17.7,7.7,7.0,14.7,5.8,5.9,11.7,6.3,5.8,12.1,10.1,10.6,20.7,7.4,9.1,16.5,Greensburg, IN,Micro Area,24700,24700
257,"Greenville, MS Micro Area",310M500US24740,46057,21501,24556,4328,4252,8580,3488,3652,7140,2417,3002,5419,2388,2727,5115,4160,5092,9252,3008,4089,7097,9.4,9.2,18.6,7.6,7.9,15.5,5.2,6.5,11.8,5.2,5.9,11.1,9.0,11.1,20.1,6.5,8.9,15.4,Greenville, MS,Micro Area,24740,24740
258,"Greenville, NC Metro Area",310M500US24780,178433,83978,94455,14474,13562,28036,21027,24226,45253,10115,11458,21573,9699,10829,20528,13677,16130,29807,9695,13164,22859,8.1,7.6,15.7,11.8,13.6,25.4,5.7,6.4,12.1,5.4,6.1,11.5,7.7,9.0,16.7,5.4,7.4,12.8,Greenville, NC,Metro Area,24780,24780
259,"Greenville, OH Micro Area",310M500US24820,51513,25458,26055,4716,4512,9228,3467,3199,6666,2978,2758,5736,2975,2994,5969,5402,5575,10977,4365,5496,9861,9.2,8.8,17.9,6.7,6.2,12.9,5.8,5.4,11.1,5.8,5.8,11.6,10.5,10.8,21.3,8.5,10.7,19.1,Greenville, OH,Micro Area,24820,24820
260,"Greenville-Anderson, SC Metro Area",310M500US24860,895942,435871,460071,75317,72503,147820,75479,75039,150518,54571,57039,111610,55043,57382,112425,83768,91086,174854,63996,81133,145129,8.4,8.1,16.5,8.4,8.4,16.8,6.1,6.4,12.5,6.1,6.4,12.5,9.3,10.2,19.5,7.1,9.1,16.2,Greenville-Anderson, SC,Metro Area,24860,24860
261,"Greenwood, MS Micro Area",310M500US24900,39292,18705,20587,3690,3740,7430,3275,3281,6556,2190,2430,4620,2066,2366,4432,3328,3946,7274,2735,3601,6336,9.4,9.5,18.9,8.3,8.4,16.7,5.6,6.2,11.8,5.3,6.0,11.3,8.5,10.0,18.5,7.0,9.2,16.1,Greenwood, MS,Micro Area,24900,24900
262,"Greenwood, SC Micro Area",310M500US24940,70411,32719,37692,5972,5836,11808,5077,6172,11249,3797,4593,8390,3938,4393,8331,6374,7138,13512,5402,7357,12759,8.5,8.3,16.8,7.2,8.8,16.0,5.4,6.5,11.9,5.6,6.2,11.8,9.1,10.1,19.2,7.7,10.4,18.1,Greenwood, SC,Micro Area,24940,24940
263,"Grenada, MS Micro Area",310M500US24980,21088,10047,11041,1901,1779,3680,1572,1609,3181,1309,1258,2567,1001,1402,2403,2018,2227,4245,1566,2108,3674,9.0,8.4,17.5,7.5,7.6,15.1,6.2,6.0,12.2,4.7,6.6,11.4,9.6,10.6,20.1,7.4,10.0,17.4,Grenada, MS,Micro Area,24980,24980
264,"Guayama, PR Metro Area",310M500US25020,75623,36853,38770,6200,6007,12207,6852,5912,12764,4391,4498,8889,4599,5260,9859,6798,7833,14631,6259,7787,14046,8.2,7.9,16.1,9.1,7.8,16.9,5.8,5.9,11.8,6.1,7.0,13.0,9.0,10.4,19.3,8.3,10.3,18.6,Guayama, PR,Metro Area,25020,25020
265,"Gulfport-Biloxi, MS Metro Area",310M500US25060,412115,202812,209303,36979,34496,71475,33689,31867,65556,25778,27407,53185,24639,26185,50824,39476,42404,81880,29210,34760,63970,9.0,8.4,17.3,8.2,7.7,15.9,6.3,6.7,12.9,6.0,6.4,12.3,9.6,10.3,19.9,7.1,8.4,15.5,Gulfport-Biloxi, MS,Metro Area,25060,25060
266,"Guymon, OK Micro Area",310M500US25100,20805,11095,9710,2100,2112,4212,2106,1518,3624,1495,1428,2923,1456,1079,2535,1874,1593,3467,1100,1180,2280,10.1,10.2,20.2,10.1,7.3,17.4,7.2,6.9,14.0,7.0,5.2,12.2,9.0,7.7,16.7,5.3,5.7,11.0,Guymon, OK,Micro Area,25100,25100
267,"Hagerstown-Martinsburg, MD-WV Metro Area",310M500US25180,283147,141953,141194,23660,23075,46735,21787,19455,41242,18837,17622,36459,19204,18191,37395,29323,29446,58769,20702,25236,45938,8.4,8.1,16.5,7.7,6.9,14.6,6.7,6.2,12.9,6.8,6.4,13.2,10.4,10.4,20.8,7.3,8.9,16.2,Hagerstown-Martinsburg, MD,WV Metro Area,25180,25180
268,"Hailey, ID Micro Area",310M500US25200,23421,12018,11403,2210,1785,3995,1518,1251,2769,1306,1245,2551,1644,1573,3217,2633,2843,5476,2065,2109,4174,9.4,7.6,17.1,6.5,5.3,11.8,5.6,5.3,10.9,7.0,6.7,13.7,11.2,12.1,23.4,8.8,9.0,17.8,Hailey, ID,Micro Area,25200,25200
269,"Hammond, LA Metro Area",310M500US25220,132057,63939,68118,11730,11200,22930,11545,12296,23841,8792,8715,17507,7333,8040,15373,11592,12816,24408,8259,10232,18491,8.9,8.5,17.4,8.7,9.3,18.1,6.7,6.6,13.3,5.6,6.1,11.6,8.8,9.7,18.5,6.3,7.7,14.0,Hammond, LA,Metro Area,25220,25220
270,"Hanford-Corcoran, CA Metro Area",310M500US25260,150691,82995,67696,14915,14482,29397,17677,12378,30055,13973,9312,23285,11073,7495,18568,12457,10224,22681,6945,8118,15063,9.9,9.6,19.5,11.7,8.2,19.9,9.3,6.2,15.5,7.3,5.0,12.3,8.3,6.8,15.1,4.6,5.4,10.0,Hanford-Corcoran, CA,Metro Area,25260,25260
271,"Hannibal, MO Micro Area",310M500US25300,38842,19052,19790,3351,3348,6699,2786,2774,5560,2355,2255,4610,2115,2288,4403,4022,4127,8149,3253,3861,7114,8.6,8.6,17.2,7.2,7.1,14.3,6.1,5.8,11.9,5.4,5.9,11.3,10.4,10.6,21.0,8.4,9.9,18.3,Hannibal, MO,Micro Area,25300,25300
272,"Harrisburg-Carlisle, PA Metro Area",310M500US25420,571013,280322,290691,45727,43636,89363,44789,43630,88419,35936,35978,71914,36298,35042,71340,57168,60532,117700,43377,55695,99072,8.0,7.6,15.6,7.8,7.6,15.5,6.3,6.3,12.6,6.4,6.1,12.5,10.0,10.6,20.6,7.6,9.8,17.4,Harrisburg-Carlisle, PA,Metro Area,25420,25420
273,"Harrison, AR Micro Area",310M500US25460,45143,22308,22835,3882,3584,7466,3131,2931,6062,2641,2321,4962,2288,2793,5081,4598,4706,9304,4401,5181,9582,8.6,7.9,16.5,6.9,6.5,13.4,5.9,5.1,11.0,5.1,6.2,11.3,10.2,10.4,20.6,9.7,11.5,21.2,Harrison, AR,Micro Area,25460,25460
274,"Harrisonburg, VA Metro Area",310M500US25500,133557,64940,68617,9873,9403,19276,15764,17889,33653,7929,7847,15776,7702,7199,14901,11015,11784,22799,8910,10981,19891,7.4,7.0,14.4,11.8,13.4,25.2,5.9,5.9,11.8,5.8,5.4,11.2,8.2,8.8,17.1,6.7,8.2,14.9,Harrisonburg, VA,Metro Area,25500,25500
275,"Hartford-East Hartford-Middletown, CT Metro Area",310M500US25540,1207677,589217,618460,93881,90502,184383,102812,97157,199969,73711,72836,146547,74008,78446,152454,124956,133585,258541,88647,116454,205101,7.8,7.5,15.3,8.5,8.0,16.6,6.1,6.0,12.1,6.1,6.5,12.6,10.3,11.1,21.4,7.3,9.6,17.0,Hartford-East Hartford-Middletown, CT,Metro Area,25540,25540
276,"Hastings, NE Micro Area",310M500US25580,31587,15846,15741,2846,2656,5502,2787,2558,5345,2010,1857,3867,1527,1548,3075,3125,3068,6193,2486,3110,5596,9.0,8.4,17.4,8.8,8.1,16.9,6.4,5.9,12.2,4.8,4.9,9.7,9.9,9.7,19.6,7.9,9.8,17.7,Hastings, NE,Micro Area,25580,25580
277,"Hattiesburg, MS Metro Area",310M500US25620,168177,80403,87774,15089,14326,29415,15060,16861,31921,10683,11797,22480,9792,10613,20405,14110,15340,29450,10097,13330,23427,9.0,8.5,17.5,9.0,10.0,19.0,6.4,7.0,13.4,5.8,6.3,12.1,8.4,9.1,17.5,6.0,7.9,13.9,Hattiesburg, MS,Metro Area,25620,25620
278,"Hays, KS Micro Area",310M500US25700,28775,14329,14446,2303,2292,4595,3600,3379,6979,1772,1732,3504,1486,1344,2830,2399,2427,4826,1947,2368,4315,8.0,8.0,16.0,12.5,11.7,24.3,6.2,6.0,12.2,5.2,4.7,9.8,8.3,8.4,16.8,6.8,8.2,15.0,Hays, KS,Micro Area,25700,25700
279,"Heber, UT Micro Area",310M500US25720,72811,37197,35614,8260,7556,15816,5318,4842,10160,4902,4753,9655,4997,4968,9965,7118,7308,14426,4216,4143,8359,11.3,10.4,21.7,7.3,6.7,14.0,6.7,6.5,13.3,6.9,6.8,13.7,9.8,10.0,19.8,5.8,5.7,11.5,Heber, UT,Micro Area,25720,25720
280,"Helena, MT Micro Area",310M500US25740,79722,39607,40115,6555,6255,12810,5418,5203,10621,5113,5210,10323,4525,4450,8975,8763,9272,18035,7071,7570,14641,8.2,7.8,16.1,6.8,6.5,13.3,6.4,6.5,12.9,5.7,5.6,11.3,11.0,11.6,22.6,8.9,9.5,18.4,Helena, MT,Micro Area,25740,25740
281,"Helena-West Helena, AR Micro Area",310M500US25760,18606,8738,9868,1738,1672,3410,1296,1524,2820,968,1062,2030,823,991,1814,1688,2080,3768,1474,1901,3375,9.3,9.0,18.3,7.0,8.2,15.2,5.2,5.7,10.9,4.4,5.3,9.7,9.1,11.2,20.3,7.9,10.2,18.1,Helena-West Helena, AR,Micro Area,25760,25760
282,"Henderson, NC Micro Area",310M500US25780,44479,20751,23728,3905,3947,7852,3355,3388,6743,2096,2438,4534,2568,2993,5561,4064,5013,9077,3327,4623,7950,8.8,8.9,17.7,7.5,7.6,15.2,4.7,5.5,10.2,5.8,6.7,12.5,9.1,11.3,20.4,7.5,10.4,17.9,Henderson, NC,Micro Area,25780,25780
283,"Hereford, TX Micro Area",310M500US25820,18736,9387,9349,2169,2042,4211,1638,1533,3171,1197,1155,2352,1015,1023,2038,1448,1525,2973,1064,1272,2336,11.6,10.9,22.5,8.7,8.2,16.9,6.4,6.2,12.6,5.4,5.5,10.9,7.7,8.1,15.9,5.7,6.8,12.5,Hereford, TX,Micro Area,25820,25820
284,"Hermiston-Pendleton, OR Micro Area",310M500US25840,88432,45875,42557,8447,8252,16699,8010,6155,14165,6076,5183,11259,5807,4990,10797,8105,7791,15896,6375,7209,13584,9.6,9.3,18.9,9.1,7.0,16.0,6.9,5.9,12.7,6.6,5.6,12.2,9.2,8.8,18.0,7.2,8.2,15.4,Hermiston-Pendleton, OR,Micro Area,25840,25840
285,"Hickory-Lenoir-Morganton, NC Metro Area",310M500US25860,366678,181275,185403,29495,27922,57417,27577,24892,52469,20463,21005,41468,24697,23492,48189,39217,40465,79682,30310,38008,68318,8.0,7.6,15.7,7.5,6.8,14.3,5.6,5.7,11.3,6.7,6.4,13.1,10.7,11.0,21.7,8.3,10.4,18.6,Hickory-Lenoir-Morganton, NC,Metro Area,25860,25860
286,"Hillsdale, MI Micro Area",310M500US25880,45757,22841,22916,3748,3560,7308,3528,3373,6901,2374,2387,4761,2669,2592,5261,5089,4981,10070,4043,4676,8719,8.2,7.8,16.0,7.7,7.4,15.1,5.2,5.2,10.4,5.8,5.7,11.5,11.1,10.9,22.0,8.8,10.2,19.1,Hillsdale, MI,Micro Area,25880,25880
287,"Hilo, HI Micro Area",310M500US25900,199459,99002,100457,16087,15255,31342,13107,13123,26230,12012,12074,24086,11231,11572,22803,20900,21927,42827,19563,20709,40272,8.1,7.6,15.7,6.6,6.6,13.2,6.0,6.1,12.1,5.6,5.8,11.4,10.5,11.0,21.5,9.8,10.4,20.2,Hilo, HI,Micro Area,25900,25900
288,"Hilton Head Island-Bluffton, SC Metro Area",310M500US25940,214752,105876,108876,15044,14666,29710,18454,14290,32744,11155,11788,22943,11126,10880,22006,18595,22693,41288,25444,28985,54429,7.0,6.8,13.8,8.6,6.7,15.2,5.2,5.5,10.7,5.2,5.1,10.2,8.7,10.6,19.2,11.8,13.5,25.3,Hilton Head Island-Bluffton, SC,Metro Area,25940,25940
289,"Hinesville, GA Metro Area",310M500US25980,80041,40595,39446,7631,7261,14892,10559,8433,18992,5824,5455,11279,4018,4409,8427,5525,6189,11714,3082,3992,7074,9.5,9.1,18.6,13.2,10.5,23.7,7.3,6.8,14.1,5.0,5.5,10.5,6.9,7.7,14.6,3.9,5.0,8.8,Hinesville, GA,Metro Area,25980,25980
290,"Hobbs, NM Micro Area",310M500US26020,70277,36269,34008,8105,7514,15619,6373,5585,11958,5560,4844,10404,3999,3736,7735,5899,5370,11269,3494,4276,7770,11.5,10.7,22.2,9.1,7.9,17.0,7.9,6.9,14.8,5.7,5.3,11.0,8.4,7.6,16.0,5.0,6.1,11.1,Hobbs, NM,Micro Area,26020,26020
291,"Holland, MI Micro Area",310M500US26090,116143,58027,58116,10839,10255,21094,8191,7614,15805,7137,7034,14171,7096,7123,14219,12461,12556,25017,8664,9978,18642,9.3,8.8,18.2,7.1,6.6,13.6,6.1,6.1,12.2,6.1,6.1,12.2,10.7,10.8,21.5,7.5,8.6,16.1,Holland, MI,Micro Area,26090,26090
292,"Homosassa Springs, FL Metro Area",310M500US26140,145169,70474,74695,8482,7783,16265,7467,6665,14132,5577,5852,11429,6230,6656,12886,14878,17638,32516,25151,27510,52661,5.8,5.4,11.2,5.1,4.6,9.7,3.8,4.0,7.9,4.3,4.6,8.9,10.2,12.1,22.4,17.3,19.0,36.3,Homosassa Springs, FL,Metro Area,26140,26140
293,"Hood River, OR Micro Area",310M500US26220,23209,11598,11611,2108,2040,4148,1692,1541,3233,1408,1594,3002,1685,1456,3141,2376,2251,4627,1617,1992,3609,9.1,8.8,17.9,7.3,6.6,13.9,6.1,6.9,12.9,7.3,6.3,13.5,10.2,9.7,19.9,7.0,8.6,15.6,Hood River, OR,Micro Area,26220,26220
294,"Hope, AR Micro Area",310M500US26260,30193,14560,15633,2854,2597,5451,2027,1987,4014,1395,1807,3202,1844,1936,3780,2944,3143,6087,2475,3123,5598,9.5,8.6,18.1,6.7,6.6,13.3,4.6,6.0,10.6,6.1,6.4,12.5,9.8,10.4,20.2,8.2,10.3,18.5,Hope, AR,Micro Area,26260,26260
