CBSA,GEOID,total,child,taxbase,O65,Pchild,Ptaxbase,PO65,homevalue,Name,State,CBSAFIPS
"Albemarle, NC Micro Area",310M200US10620,60553,13403,37087,10063,22.1,61.2,16.6,128000,Albemarle, NC,10620
"Albert Lea, MN Micro Area",310M200US10660,31034,6808,17771,6455,21.9,57.3,20.8,102700,Albert Lea, MN,10660
"Albertville, AL Micro Area",310M200US10700,94121,23316,56201,14604,24.8,59.7,15.5,114600,Albertville, AL,10700
"Albuquerque, NM Metro Area",310M200US10740,899137,214935,564343,119859,23.9,62.8,13.3,177100,Albuquerque, NM,10740
"Alexandria, LA Metro Area",310M200US10780,154562,38642,94248,21672,25.0,61.0,14.0,115900,Alexandria, LA,10780
"Alexandria, MN Micro Area",310M200US10820,36413,7784,21116,7513,21.4,58.0,20.6,189800,Alexandria, MN,10820
"Alice, TX Micro Area",310M200US10860,41348,11748,23996,5604,28.4,58.0,13.6,67400,Alice, TX,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",310M200US10900,826260,182411,512105,131744,22.1,62.0,15.9,202900,Allentown-Bethlehem-Easton, PA,10900
"Alma, MI Micro Area",310M200US10940,42057,8748,26798,6511,20.8,63.7,15.5,87300,Alma, MI,10940
"Alpena, MI Micro Area",310M200US10980,29242,5894,17339,6009,20.2,59.3,20.5,94900,Alpena, MI,10980
"Altoona, PA Metro Area",310M200US11020,126708,26363,76993,23352,20.8,60.8,18.4,108500,Altoona, PA,11020
"Altus, OK Micro Area",310M200US11060,26275,6802,15984,3489,25.9,60.8,13.3,88100,Altus, OK,11060
"Amarillo, TX Metro Area",310M200US11100,257038,67247,158329,31462,26.2,61.6,12.2,118500,Amarillo, TX,11100
"Americus, GA Micro Area",310M200US11140,36858,9356,22353,5149,25.4,60.6,14.0,86000,Americus, GA,11140
"Ames, IA Metro Area",310M200US11180,91939,16048,66473,9418,17.5,72.3,10.2,164200,Ames, IA,11180
"Amsterdam, NY Micro Area",310M200US11220,49951,11467,29997,8487,23.0,60.1,17.0,101100,Amsterdam, NY,11220
"Anchorage, AK Metro Area",310M200US11260,392021,101899,257807,32315,26.0,65.8,8.2,268200,Anchorage, AK,11260
"Andrews, TX Micro Area",310M200US11380,16126,4742,9661,1723,29.4,59.9,10.7,95500,Andrews, TX,11380
"Angola, IN Micro Area",310M200US11420,34190,7473,21239,5478,21.9,62.1,16.0,124300,Angola, IN,11420
"Ann Arbor, MI Metro Area",310M200US11460,351454,71034,241542,38878,20.2,68.7,11.1,199200,Ann Arbor, MI,11460
"Anniston-Oxford-Jacksonville, AL Metro Area",310M200US11500,117186,26337,73029,17820,22.5,62.3,15.2,103300,Anniston-Oxford-Jacksonville, AL,11500
"Appleton, WI Metro Area",310M200US11540,228641,56887,143497,28257,24.9,62.8,12.4,158400,Appleton, WI,11540
"Arcadia, FL Micro Area",310M200US11580,34785,7478,20809,6498,21.5,59.8,18.7,83800,Arcadia, FL,11580
"Ardmore, OK Micro Area",310M200US11620,48288,12319,28477,7492,25.5,59.0,15.5,94600,Ardmore, OK,11620
"Arecibo, PR Metro Area",310M200US11640,195749,43976,119221,32552,22.5,60.9,16.6,107500,Arecibo, PR,11640
"Arkadelphia, AR Micro Area",310M200US11660,22800,4491,14826,3483,19.7,65.0,15.3,84300,Arkadelphia, AR,11660
"Arkansas City-Winfield, KS Micro Area",310M200US11680,36201,8754,21505,5942,24.2,59.4,16.4,79900,Arkansas City-Winfield, KS,11680
"Asheville, NC Metro Area",310M200US11700,433204,85711,263281,84212,19.8,60.8,19.4,179700,Asheville, NC,11700
"Ashland, OH Micro Area",310M200US11740,53202,12350,32088,8764,23.2,60.3,16.5,119900,Ashland, OH,11740
"Ashtabula, OH Micro Area",310M200US11780,100346,23103,60798,16445,23.0,60.6,16.4,107300,Ashtabula, OH,11780
"Astoria, OR Micro Area",310M200US11820,37236,7406,23095,6735,19.9,62.0,18.1,248300,Astoria, OR,11820
"Atchison, KS Micro Area",310M200US11860,16737,3998,10115,2624,23.9,60.4,15.7,85800,Atchison, KS,11860
"Athens, OH Micro Area",310M200US11900,64840,10087,47833,6920,15.6,73.8,10.7,113900,Athens, OH,11900
"Athens, TN Micro Area",310M200US11940,52409,11516,31510,9383,22.0,60.1,17.9,116200,Athens, TN,11940
"Athens, TX Micro Area",310M200US11980,78836,17654,45479,15703,22.4,57.7,19.9,88100,Athens, TX,11980
"Athens-Clarke County, GA Metro Area",310M200US12020,196287,40035,134788,21464,20.4,68.7,10.9,158600,Athens-Clarke County, GA,12020
"Atlanta-Sandy Springs-Roswell, GA Metro Area",310M200US12060,5455053,1411876,3503941,539236,25.9,64.2,9.9,167400,Atlanta-Sandy Springs-Roswell, GA,12060
"Atlantic City-Hammonton, NJ Metro Area",310M200US12100,275325,62319,171849,41157,22.6,62.4,14.9,230200,Atlantic City-Hammonton, NJ,12100
"Auburn, IN Micro Area",310M200US12140,42321,10780,25634,5907,25.5,60.6,14.0,108400,Auburn, IN,12140
"Auburn, NY Micro Area",310M200US12180,79481,16662,49973,12846,21.0,62.9,16.2,109000,Auburn, NY,12180
"Auburn-Opelika, AL Metro Area",310M200US12220,147790,32480,101046,14264,22.0,68.4,9.7,150100,Auburn-Opelika, AL,12220
"Augusta-Richmond County, GA-SC Metro Area",310M200US12260,575669,139183,359600,76886,24.2,62.5,13.4,125900,Augusta-Richmond County, GA,12260
"Augusta-Waterville, ME Micro Area",310M200US12300,121507,24544,76858,20105,20.2,63.3,16.5,151400,Augusta-Waterville, ME,12300
"Austin, MN Micro Area",310M200US12380,39312,9882,22578,6852,25.1,57.4,17.4,108300,Austin, MN,12380
"Austin-Round Rock, TX Metro Area",310M200US12420,1835016,454167,1219404,161445,24.8,66.5,8.8,196500,Austin-Round Rock, TX,12420
"Bainbridge, GA Micro Area",310M200US12460,27508,6905,16566,4037,25.1,60.2,14.7,99800,Bainbridge, GA,12460
"Bakersfield, CA Metro Area",310M200US12540,857730,255295,521638,80797,29.8,60.8,9.4,161800,Bakersfield, CA,12540
"Baltimore-Columbia-Towson, MD Metro Area",310M200US12580,2753396,620463,1766767,366166,22.5,64.2,13.3,277600,Baltimore-Columbia-Towson, MD,12580
"Bangor, ME Metro Area",310M200US12620,153627,29390,100551,23686,19.1,65.5,15.4,137700,Bangor, ME,12620
"Baraboo, WI Micro Area",310M200US12660,62681,14682,37956,10043,23.4,60.6,16.0,168200,Baraboo, WI,12660
"Bardstown, KY Micro Area",310M200US12680,44254,11239,27529,5486,25.4,62.2,12.4,125200,Bardstown, KY,12680
"Barnstable Town, MA Metro Area",310M200US12700,215167,35577,122793,56797,16.5,57.1,26.4,362800,Barnstable Town, MA,12700
"Barre, VT Micro Area",310M200US12740,59333,11879,38184,9270,20.0,64.4,15.6,207100,Barre, VT,12740
"Bartlesville, OK Micro Area",310M200US12780,51564,12170,30110,9284,23.6,58.4,18.0,109900,Bartlesville, OK,12780
"Bastrop, LA Micro Area",310M200US12820,27319,6692,16232,4395,24.5,59.4,16.1,77400,Bastrop, LA,12820
"Batavia, NY Micro Area",310M200US12860,59702,12650,37258,9794,21.2,62.4,16.4,105200,Batavia, NY,12860
"Batesville, AR Micro Area",310M200US12900,36861,8887,22052,5922,24.1,59.8,16.1,91300,Batesville, AR,12900
"Baton Rouge, LA Metro Area",310M200US12940,814805,197464,523362,93979,24.2,64.2,11.5,158600,Baton Rouge, LA,12940
"Battle Creek, MI Metro Area",310M200US12980,135150,31943,82218,20989,23.6,60.8,15.5,97100,Battle Creek, MI,12980
"Blackfoot, ID Micro Area",310M200US13940,45558,14702,25318,5538,32.3,55.6,12.2,136300,Blackfoot, ID,13940
"Beatrice, NE Micro Area",310M200US13100,21889,4896,12669,4324,22.4,57.9,19.8,107900,Beatrice, NE,13100
"Blacksburg-Christiansburg-Radford, VA Metro Area",310M200US13980,179908,30785,124889,24234,17.1,69.4,13.5,159300,Blacksburg-Christiansburg-Radford, VA,13980
"Bay City, MI Metro Area",310M200US13020,107074,23062,65492,18520,21.5,61.2,17.3,93300,Bay City, MI,13020
"Bay City, TX Micro Area",310M200US13060,36611,9352,21806,5453,25.5,59.6,14.9,91300,Bay City, TX,13060
"Beaumont-Port Arthur, TX Metro Area",310M200US13140,404741,97682,251887,55172,24.1,62.2,13.6,95500,Beaumont-Port Arthur, TX,13140
"Beaver Dam, WI Micro Area",310M200US13180,88589,19107,55748,13734,21.6,62.9,15.5,152900,Beaver Dam, WI,13180
"Beckley, WV Metro Area",310M200US13220,124536,25877,77230,21429,20.8,62.0,17.2,86900,Beckley, WV,13220
"Bedford, IN Micro Area",310M200US13260,45970,10507,27598,7865,22.9,60.0,17.1,103000,Bedford, IN,13260
"Beeville, TX Micro Area",310M200US13300,32462,6883,21943,3636,21.2,67.6,11.2,72300,Beeville, TX,13300
"Bellefontaine, OH Micro Area",310M200US13340,45564,11207,27188,7169,24.6,59.7,15.7,117100,Bellefontaine, OH,13340
"Bellingham, WA Metro Area",310M200US13380,204855,42072,133438,29345,20.5,65.1,14.3,273000,Bellingham, WA,13380
"Bemidji, MN Micro Area",310M200US13420,45236,11414,27671,6151,25.2,61.2,13.6,147200,Bemidji, MN,13420
"Bend-Redmond, OR Metro Area",310M200US13460,163141,36202,99893,27046,22.2,61.2,16.6,243400,Bend-Redmond, OR,13460
"Bennettsville, SC Micro Area",310M200US13500,28294,5961,18247,4086,21.1,64.5,14.4,58400,Bennettsville, SC,13500
"Bennington, VT Micro Area",310M200US13540,36739,7288,22105,7346,19.8,60.2,20.0,210600,Bennington, VT,13540
"Berlin, NH-VT Micro Area",310M200US13620,38433,6848,23579,8006,17.8,61.4,20.8,125500,Berlin, NH,13620
"Big Rapids, MI Micro Area",310M200US13660,43226,8369,27965,6892,19.4,64.7,15.9,110700,Big Rapids, MI,13660
"Big Spring, TX Micro Area",310M200US13700,36892,8311,23832,4749,22.5,64.6,12.9,72300,Big Spring, TX,13700
"Big Stone Gap, VA Micro Area",310M200US13720,60499,12375,38800,9324,20.5,64.1,15.4,82800,Big Stone Gap, VA,13720
"Billings, MT Metro Area",310M200US13740,162892,37974,100276,24642,23.3,61.6,15.1,187100,Billings, MT,13740
"Binghamton, NY Metro Area",310M200US13780,249261,50798,156323,42140,20.4,62.7,16.9,108800,Binghamton, NY,13780
"Birmingham-Hoover, AL Metro Area",310M200US13820,1135534,267614,712019,155901,23.6,62.7,13.7,144000,Birmingham-Hoover, AL,13820
"Bismarck, ND Metro Area",310M200US13900,120688,27966,75829,16893,23.2,62.8,14.0,171000,Bismarck, ND,13900
"Bloomington, IL Metro Area",310M200US14010,188851,42164,125367,21320,22.3,66.4,11.3,154000,Bloomington, IL,14010
"Bloomington, IN Metro Area",310M200US14020,162422,27564,116376,18482,17.0,71.7,11.4,150800,Bloomington, IN,14020
"Bloomsburg-Berwick, PA Metro Area",310M200US14100,85564,16042,54946,14576,18.7,64.2,17.0,142000,Bloomsburg-Berwick, PA,14100
"Bluefield, WV-VA Micro Area",310M200US14140,106492,21703,65278,19511,20.4,61.3,18.3,86200,Bluefield, WV,14140
"Blytheville, AR Micro Area",310M200US14180,45385,12425,27174,5786,27.4,59.9,12.7,78000,Blytheville, AR,14180
"Bogalusa, LA Micro Area",310M200US14220,46723,11505,28110,7108,24.6,60.2,15.2,79200,Bogalusa, LA,14220
"Boise City, ID Metro Area",310M200US14260,639616,173626,389534,76456,27.1,60.9,12.0,164400,Boise City, ID,14260
"Boone, IA Micro Area",310M200US14340,26326,6094,15921,4311,23.1,60.5,16.4,119800,Boone, IA,14340
"Boone, NC Micro Area",310M200US14380,51903,6993,38074,6836,13.5,73.4,13.2,225600,Boone, NC,14380
"Borger, TX Micro Area",310M200US14420,21947,5785,12918,3244,26.4,58.9,14.8,68200,Borger, TX,14420
"Boston-Cambridge-Newton, MA-NH Metro Area",310M200US14460,4650876,978345,3036075,636456,21.0,65.3,13.7,363600,Boston-Cambridge-Newton, MA,14460
"Boulder, CO Metro Area",310M200US14500,305166,63207,208166,33793,20.7,68.2,11.1,358000,Boulder, CO,14500
"Bowling Green, KY Metro Area",310M200US14540,162322,36777,104730,20815,22.7,64.5,12.8,124300,Bowling Green, KY,14540
"Bozeman, MT Micro Area",310M200US14580,93108,19287,64196,9625,20.7,68.9,10.3,263200,Bozeman, MT,14580
"Bradford, PA Micro Area",310M200US14620,43024,8830,26657,7537,20.5,62.0,17.5,74700,Bradford, PA,14620
"Brainerd, MN Micro Area",310M200US14660,91399,20257,52370,18772,22.2,57.3,20.5,175800,Brainerd, MN,14660
"Branson, MO Micro Area",310M200US14700,84679,17320,49302,18057,20.5,58.2,21.3,133800,Branson, MO,14700
"Breckenridge, CO Micro Area",310M200US14720,28482,4783,20997,2702,16.8,73.7,9.5,461100,Breckenridge, CO,14720
"Bremerton-Silverdale, WA Metro Area",310M200US14740,253614,54812,161818,36984,21.6,63.8,14.6,259000,Bremerton-Silverdale, WA,14740
"Brenham, TX Micro Area",310M200US14780,34039,7379,20078,6582,21.7,59.0,19.3,141700,Brenham, TX,14780
"Brevard, NC Micro Area",310M200US14820,32943,5698,18300,8945,17.3,55.6,27.2,181300,Brevard, NC,14820
"Bridgeport-Stamford-Norwalk, CT Metro Area",310M200US14860,934215,225315,578625,130275,24.1,61.9,13.9,422400,Bridgeport-Stamford-Norwalk, CT,14860
"Brownwood, TX Micro Area",310M200US15220,37903,8885,22106,6912,23.4,58.3,18.2,86500,Brownwood, TX,15220
"Brunswick, GA Metro Area",310M200US15260,113572,26549,68712,18311,23.4,60.5,16.1,130900,Brunswick, GA,15260
"Bucyrus, OH Micro Area",310M200US15340,43036,9741,25268,8027,22.6,58.7,18.7,87100,Bucyrus, OH,15340
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",310M200US15380,1135667,238784,713488,183395,21.0,62.8,16.1,122600,Buffalo-Cheektowaga-Niagara Falls, NY,15380
"Burley, ID Micro Area",310M200US15420,43466,13376,24030,6060,30.8,55.3,13.9,116700,Burley, ID,15420
"Burlington, IA-IL Micro Area",310M200US15460,47339,10664,27808,8867,22.5,58.7,18.7,93100,Burlington, IA,15460
"Burlington, NC Metro Area",310M200US15500,153713,35485,94825,23403,23.1,61.7,15.2,135800,Burlington, NC,15500
"Burlington-South Burlington, VT Metro Area",310M200US15540,213891,43461,143688,26742,20.3,67.2,12.5,252000,Burlington-South Burlington, VT,15540
"Butte-Silver Bow, MT Micro Area",310M200US15580,34462,7125,21670,5667,20.7,62.9,16.4,122100,Butte-Silver Bow, MT,15580
"Cadillac, MI Micro Area",310M200US15620,47685,11295,28210,8180,23.7,59.2,17.2,96700,Cadillac, MI,15620
"Calhoun, GA Micro Area",310M200US15660,55666,14562,34295,6809,26.2,61.6,12.2,113100,Calhoun, GA,15660
"California-Lexington Park, MD Metro Area",310M200US15680,108472,27610,68844,12018,25.5,63.5,11.1,300200,California-Lexington Park, MD,15680
"Cambridge, MD Micro Area",310M200US15700,32614,6936,19617,6061,21.3,60.1,18.6,188100,Cambridge, MD,15700
"Cambridge, OH Micro Area",310M200US15740,39794,9109,23973,6712,22.9,60.2,16.9,94400,Cambridge, OH,15740
"Camden, AR Micro Area",310M200US15780,30687,6840,18425,5422,22.3,60.0,17.7,67800,Camden, AR,15780
"Campbellsville, KY Micro Area",310M200US15820,25059,5550,15319,4190,22.1,61.1,16.7,96300,Campbellsville, KY,15820
"Cañon City, CO Micro Area",310M200US15860,46879,7952,30097,8830,17.0,64.2,18.8,157400,Cañon City, CO,15860
"Canton, IL Micro Area",310M200US15900,36616,7532,22331,6753,20.6,61.0,18.4,81300,Canton, IL,15900
"Canton-Massillon, OH Metro Area",310M200US15940,403629,90017,245093,68519,22.3,60.7,17.0,120900,Canton-Massillon, OH,15940
"Cape Coral-Fort Myers, FL Metro Area",310M200US15980,647554,123784,362256,161514,19.1,55.9,24.9,150000,Cape Coral-Fort Myers, FL,15980
"Cape Girardeau, MO-IL Metro Area",310M200US16020,97246,21312,61096,14838,21.9,62.8,15.3,123700,Cape Girardeau, MO,16020
"Carbondale-Marion, IL Metro Area",310M200US16060,126933,25345,82943,18645,20.0,65.3,14.7,98800,Carbondale-Marion, IL,16060
"Carlsbad-Artesia, NM Micro Area",310M200US16100,54834,14231,32921,7682,26.0,60.0,14.0,116200,Carlsbad-Artesia, NM,16100
"Carson City, NV Metro Area",310M200US16180,54634,11701,33205,9728,21.4,60.8,17.8,188000,Carson City, NV,16180
"Casper, WY Metro Area",310M200US16220,78667,18709,50144,9814,23.8,63.7,12.5,183100,Casper, WY,16220
"Cedar City, UT Micro Area",310M200US16260,46725,13916,27843,4966,29.8,59.6,10.6,165400,Cedar City, UT,16260
"Cedar Rapids, IA Metro Area",310M200US16300,261429,62728,161726,36975,24.0,61.9,14.1,144000,Cedar Rapids, IA,16300
"Cedartown, GA Micro Area",310M200US16340,41250,10825,24689,5736,26.2,59.9,13.9,102000,Cedartown, GA,16340
"Celina, OH Micro Area",310M200US16380,40789,10474,23770,6545,25.7,58.3,16.0,127200,Celina, OH,16380
"Centralia, IL Micro Area",310M200US16460,38922,9002,23007,6913,23.1,59.1,17.8,68500,Centralia, IL,16460
"Centralia, WA Micro Area",310M200US16500,75382,16952,44614,13816,22.5,59.2,18.3,178200,Centralia, WA,16500
"Chambersburg-Waynesboro, PA Metro Area",310M200US16540,151517,35457,89714,26346,23.4,59.2,17.4,174300,Chambersburg-Waynesboro, PA,16540
"Champaign-Urbana, IL Metro Area",310M200US16580,234672,46389,161296,26987,19.8,68.7,11.5,142100,Champaign-Urbana, IL,16580
"Charleston, WV Metro Area",310M200US16620,225248,47001,139786,38461,20.9,62.1,17.1,97700,Charleston, WV,16620
"Charleston-Mattoon, IL Micro Area",310M200US16660,64605,12259,42754,9592,19.0,66.2,14.8,89700,Charleston-Mattoon, IL,16660
"Charleston-North Charleston, SC Metro Area",310M200US16700,697281,159160,451811,86310,22.8,64.8,12.4,186700,Charleston-North Charleston, SC,16700
"Charlotte-Concord-Gastonia, NC-SC Metro Area",310M200US16740,2298915,576066,1455406,267443,25.1,63.3,11.6,164900,Charlotte-Concord-Gastonia, NC,16740
"Charlottesville, VA Metro Area",310M200US16820,223063,44962,145463,32638,20.2,65.2,14.6,260300,Charlottesville, VA,16820
"Chattanooga, TN-GA Metro Area",310M200US16860,537397,117871,336554,82972,21.9,62.6,15.4,143200,Chattanooga, TN,16860
"Cheyenne, WY Metro Area",310M200US16940,94412,22476,59240,12696,23.8,62.7,13.4,186600,Cheyenne, WY,16940
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",310M200US16980,9516448,2320469,6047778,1148201,24.4,63.6,12.1,217300,Chicago-Naperville-Elgin, IL,16980
"Brookhaven, MS Micro Area",310M200US15020,34824,8862,20825,5137,25.4,59.8,14.8,84200,Brookhaven, MS,15020
"Brookings, OR Micro Area",310M200US15060,22341,3500,12240,6601,15.7,54.8,29.5,211300,Brookings, OR,15060
"Brookings, SD Micro Area",310M200US15100,32647,6187,23199,3261,19.0,71.1,10.0,152000,Brookings, SD,15100
"Brownsville-Harlingen, TX Metro Area",310M200US15180,415103,133880,232705,48518,32.3,56.1,11.7,77400,Brownsville-Harlingen, TX,15180
"Chico, CA Metro Area",310M200US17020,221578,45530,140338,35710,20.5,63.3,16.1,220100,Chico, CA,17020
"Clarksburg, WV Micro Area",310M200US17220,94320,19958,58256,16106,21.2,61.8,17.1,91800,Clarksburg, WV,17220
"Chillicothe, OH Micro Area",310M200US17060,77552,17137,49426,10989,22.1,63.7,14.2,109400,Chillicothe, OH,17060
"Cincinnati, OH-KY-IN Metro Area",310M200US17140,2131793,521685,1335666,274442,24.5,62.7,12.9,152600,Cincinnati, OH,17140
"Claremont-Lebanon, NH-VT Micro Area",310M200US17200,217906,41255,138704,37947,18.9,63.7,17.4,198700,Claremont-Lebanon, NH,17200
