CBSA,GEOID,total,child,taxbase,O65,Pchild,Ptaxbase,PO65,homevalue,Name,State,CBSAFIPS
"Homosassa Springs, FL Metro Area",310M200US26140,139771,21488,71330,46953,15.4,51.0,33.6,113500,Homosassa Springs, FL,26140
"Hickory-Lenoir-Morganton, NC Metro Area",310M200US25860,363936,80860,224123,58953,22.2,61.6,16.2,120200,Hickory-Lenoir-Morganton, NC,25860
"Hobbs, NM Micro Area",310M200US26020,66876,19932,39783,7161,29.8,59.5,10.7,101400,Hobbs, NM,26020
"Holland, MI Micro Area",310M200US26090,112266,28544,67889,15833,25.4,60.5,14.1,137500,Holland, MI,26090
"Hood River, OR Micro Area",310M200US26220,22620,5742,13788,3090,25.4,61.0,13.7,309500,Hood River, OR,26220
"Hot Springs, AR Metro Area",310M200US26300,96804,20225,55953,20626,20.9,57.8,21.3,130200,Hot Springs, AR,26300
"Houghton, MI Micro Area",310M200US26340,38936,7945,24745,6246,20.4,63.6,16.0,90700,Houghton, MI,26340
"Houma-Thibodaux, LA Metro Area",310M200US26380,209402,52193,131248,25961,24.9,62.7,12.4,132900,Houma-Thibodaux, LA,26380
"Houston-The Woodlands-Sugar Land, TX Metro Area",310M200US26420,6204141,1700565,3931536,572040,27.4,63.4,9.2,144000,Houston-The Woodlands-Sugar Land, TX,26420
"Hudson, NY Micro Area",310M200US26460,62525,12053,38340,12132,19.3,61.3,19.4,222800,Hudson, NY,26460
"Huntingdon, PA Micro Area",310M200US26500,45950,8823,29038,8089,19.2,63.2,17.6,115900,Huntingdon, PA,26500
"Huntington, IN Micro Area",310M200US26540,36959,8449,22884,5626,22.9,61.9,15.2,97100,Huntington, IN,26540
"Huntington-Ashland, WV-KY-OH Metro Area",310M200US26580,364514,79148,224756,60610,21.7,61.7,16.6,103400,Huntington-Ashland, WV,26580
"Huntsville, AL Metro Area",310M200US26620,430396,99568,275239,55589,23.1,64.0,12.9,161000,Huntsville, AL,26620
"Huntsville, TX Micro Area",310M200US26660,83334,13972,58376,10986,16.8,70.1,13.2,107000,Huntsville, TX,26660
"Huron, SD Micro Area",310M200US26700,17922,4387,10592,2943,24.5,59.1,16.4,91600,Huron, SD,26700
"Hutchinson, KS Micro Area",310M200US26740,64223,14986,38037,11200,23.3,59.2,17.4,92500,Hutchinson, KS,26740
"Hutchinson, MN Micro Area",310M200US26780,36172,8865,21348,5959,24.5,59.0,16.5,151400,Hutchinson, MN,26780
"Idaho Falls, ID Metro Area",310M200US26820,136057,43450,77288,15319,31.9,56.8,11.3,153400,Idaho Falls, ID,26820
"Indiana, PA Micro Area",310M200US26860,88301,16366,57588,14347,18.5,65.2,16.2,107000,Indiana, PA,26860
"Indianapolis-Carmel-Anderson, IN Metro Area",310M200US26900,1931182,493408,1210923,226851,25.5,62.7,11.7,139900,Indianapolis-Carmel-Anderson, IN,26900
"Indianola, MS Micro Area",310M200US26940,28314,6759,18480,3075,23.9,65.3,10.9,70600,Indianola, MS,26940
"Ionia, MI Micro Area",310M200US26960,63976,15698,40529,7749,24.5,63.4,12.1,109100,Ionia, MI,26960
"Iowa City, IA Metro Area",310M200US26980,158708,32783,109552,16373,20.7,69.0,10.3,180800,Iowa City, IA,26980
"Iron Mountain, MI-WI Micro Area",310M200US27020,30570,6227,18290,6053,20.4,59.8,19.8,90500,Iron Mountain, MI,27020
"Ithaca, NY Metro Area",310M200US27060,103179,16356,75071,11752,15.9,72.8,11.4,171000,Ithaca, NY,27060
"Jackson, MI Metro Area",310M200US27100,159927,36100,99854,23973,22.6,62.4,15.0,110500,Jackson, MI,27100
"Jackson, MS Metro Area",310M200US27140,574998,146152,360034,68812,25.4,62.6,12.0,129800,Jackson, MS,27140
"Jackson, OH Micro Area",310M200US27160,32952,7934,20066,4952,24.1,60.9,15.0,90700,Jackson, OH,27160
"Jackson, TN Metro Area",310M200US27180,130233,30401,80958,18874,23.3,62.2,14.5,108900,Jackson, TN,27180
"Jackson, WY-ID Micro Area",310M200US27220,32168,7151,21869,3148,22.2,68.0,9.8,396000,Jackson, WY,27220
"Jacksonville, FL Metro Area",310M200US27260,1380995,320950,878441,181604,23.2,63.6,13.2,158300,Jacksonville, FL,27260
"Jacksonville, IL Micro Area",310M200US27300,40532,8498,24896,7138,21.0,61.4,17.6,93100,Jacksonville, IL,27300
"Jacksonville, NC Metro Area",310M200US27340,182921,46698,121712,14511,25.5,66.5,7.9,154100,Jacksonville, NC,27340
"Jacksonville, TX Micro Area",310M200US27380,50971,13106,29986,7879,25.7,58.8,15.5,81800,Jacksonville, TX,27380
"Jamestown, ND Micro Area",310M200US27420,21056,4327,13124,3605,20.5,62.3,17.1,102000,Jamestown, ND,27420
"Jamestown-Dunkirk-Fredonia, NY Micro Area",310M200US27460,133556,28448,82087,23021,21.3,61.5,17.2,84100,Jamestown-Dunkirk-Fredonia, NY,27460
"Janesville-Beloit, WI Metro Area",310M200US27500,160465,39028,98503,22934,24.3,61.4,14.3,131500,Janesville-Beloit, WI,27500
"Jasper, IN Micro Area",310M200US27540,54903,13365,32750,8788,24.3,59.7,16.0,121900,Jasper, IN,27540
"Jayuya, PR Micro Area",310M200US27580,16183,4176,9966,2041,25.8,61.6,12.6,93000,Jayuya, PR,27580
"Jefferson, GA Micro Area",310M200US27600,60928,15918,37318,7692,26.1,61.2,12.6,156700,Jefferson, GA,27600
"Jefferson City, MO Metro Area",310M200US27620,150440,34888,95206,20346,23.2,63.3,13.5,136100,Jefferson City, MO,27620
"Jesup, GA Micro Area",310M200US27700,30170,7400,18650,4120,24.5,61.8,13.7,85300,Jesup, GA,27700
"Johnson City, TN Metro Area",310M200US27740,200271,39506,126467,34298,19.7,63.1,17.1,128500,Johnson City, TN,27740
"Johnstown, PA Metro Area",310M200US27780,140835,27410,86046,27379,19.5,61.1,19.4,86800,Johnstown, PA,27780
"Jonesboro, AR Metro Area",310M200US27860,124194,30692,77128,16374,24.7,62.1,13.2,111200,Jonesboro, AR,27860
"Joplin, MO Metro Area",310M200US27900,175679,44607,105573,25499,25.4,60.1,14.5,103800,Joplin, MO,27900
"Junction City, KS Micro Area",310M200US27920,36458,11239,22573,2646,30.8,61.9,7.3,136900,Junction City, KS,27920
"Juneau, AK Micro Area",310M200US27940,32200,7331,21864,3005,22.8,67.9,9.3,318000,Juneau, AK,27940
"Kahului-Wailuku-Lahaina, HI Metro Area",310M200US27980,158887,36017,100660,22210,22.7,63.4,14.0,510300,Kahului-Wailuku-Lahaina, HI,27980
"Aberdeen, SD Micro Area",310M200US10100,41564,9722,25046,6796,23.4,60.3,16.4,136000,Aberdeen, SD,10100
"Aberdeen, WA Micro Area",310M200US10140,71734,15165,44042,12527,21.1,61.4,17.5,158500,Aberdeen, WA,10140
"Abilene, TX Metro Area",310M200US10180,167171,39387,104340,23444,23.6,62.4,14.0,91900,Abilene, TX,10180
"Ada, OK Micro Area",310M200US10220,37873,8955,23154,5764,23.6,61.1,15.2,102000,Ada, OK,10220
"Adjuntas, PR Micro Area",310M200US10260,19188,4652,11704,2832,24.2,61.0,14.8,103500,Adjuntas, PR,10260
"Adrian, MI Micro Area",310M200US10300,99257,22273,61404,15580,22.4,61.9,15.7,113900,Adrian, MI,10300
"Aguadilla-Isabela, PR Metro Area",310M200US10380,331146,75241,202311,53594,22.7,61.1,16.2,106700,Aguadilla-Isabela, PR,10380
"Akron, OH Metro Area",310M200US10420,703017,152194,445566,105257,21.6,63.4,15.0,137600,Akron, OH,10420
"Alamogordo, NM Micro Area",310M200US10460,65415,16149,39348,9918,24.7,60.2,15.2,101400,Alamogordo, NM,10460
"Albany, GA Metro Area",310M200US10500,156706,39562,96952,20192,25.2,61.9,12.9,103900,Albany, GA,10500
"Albany, OR Metro Area",310M200US10540,118270,27990,71112,19168,23.7,60.1,16.2,171700,Albany, OR,10540
"Albany-Schenectady-Troy, NY Metro Area",310M200US10580,875567,181862,564716,128989,20.8,64.5,14.7,196800,Albany-Schenectady-Troy, NY,10580
