,State,GEOID,total,mtotal,ftotal,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65
0,Alabama,0400000US01,4876250,2359355,2516895,410368,392821,803189,396007,395612,791619,295675,310091,605766,292807,312695,605502,465212,506894,972106,350196,454685,804881,8.4,8.1,16.5,8.1,8.1,16.2,6.1,6.4,12.4,6.0,6.4,12.4,9.5,10.4,19.9,7.2,9.3,16.5
1,Alaska,0400000US02,737068,384915,352153,67897,63260,131157,74327,59966,134293,56596,51295,107891,44804,41734,86538,73254,68115,141369,40975,41608,82583,9.2,8.6,17.8,10.1,8.1,18.2,7.7,7.0,14.6,6.1,5.7,11.7,9.9,9.2,19.2,5.6,5.6,11.2
2,Arizona,0400000US04,7050299,3504509,3545790,612364,589012,1201376,614104,569680,1183784,463985,443242,907227,425233,422898,848131,611064,658001,1269065,555942,650806,1206748,8.7,8.4,17.0,8.7,8.1,16.8,6.6,6.3,12.9,6.0,6.0,12.0,8.7,9.3,18.0,7.9,9.2,17.1
3,Arkansas,0400000US05,2999370,1471760,1527610,263133,251499,514632,246066,239397,485463,187934,189720,377654,179721,182932,362653,276293,294261,570554,221627,277151,498778,8.8,8.4,17.2,8.2,8.0,16.2,6.3,6.3,12.6,6.0,6.1,12.1,9.2,9.8,19.0,7.4,9.2,16.6
4,California,0400000US06,39283497,19526298,19757199,3356289,3214329,6570618,3541625,3326675,6868300,2844329,2726419,5570748,2541977,2546168,5088145,3549599,3698518,7248117,2437872,3048169,5486041,8.5,8.2,16.7,9.0,8.5,17.5,7.2,6.9,14.2,6.5,6.5,13.0,9.0,9.4,18.5,6.2,7.8,14.0
5,Colorado,0400000US08,5610349,2823201,2787148,474730,452243,926973,503082,459745,962827,431149,402716,833865,371464,353065,724529,518747,535670,1054417,353729,419977,773706,8.5,8.1,16.5,9.0,8.2,17.2,7.7,7.2,14.9,6.6,6.3,12.9,9.2,9.5,18.8,6.3,7.5,13.8
6,Delaware,0400000US10,957248,462890,494358,75344,73510,148854,75870,74791,150661,58653,59335,117988,54199,58712,112911,93416,104414,197830,77676,96498,174174,7.9,7.7,15.6,7.9,7.8,15.7,6.1,6.2,12.3,5.7,6.1,11.8,9.8,10.9,20.7,8.1,10.1,18.2
7,District of Columbia,0400000US11,692683,328644,364039,39748,39142,78890,71951,85479,157430,67342,70923,138265,40277,41320,81597,52190,55601,107791,34262,49408,83670,5.7,5.7,11.4,10.4,12.3,22.7,9.7,10.2,20.0,5.8,6.0,11.8,7.5,8.0,15.6,4.9,7.1,12.1
8,Connecticut,0400000US09,3575074,1744245,1830829,285898,274127,560025,292743,276506,569249,214085,217212,431297,221614,234610,456224,374356,399062,773418,261033,340020,601053,8.0,7.7,15.7,8.2,7.7,15.9,6.0,6.1,12.1,6.2,6.6,12.8,10.5,11.2,21.6,7.3,9.5,16.8
9,Florida,0400000US12,20901636,10220813,10680823,1559276,1494972,3054248,1610360,1539865,3150225,1301466,1298286,2599752,1274089,1304096,2578185,2001653,2183931,4185584,1896621,2308807,4205428,7.5,7.2,14.6,7.7,7.4,15.1,6.2,6.2,12.4,6.1,6.2,12.3,9.6,10.4,20.0,9.1,11.0,20.1
10,Georgia,0400000US13,10403847,5062096,5341751,941248,907315,1848563,886625,867307,1753932,678331,716920,1395251,672286,713381,1385667,936617,1020655,1957272,611571,794914,1406485,9.0,8.7,17.8,8.5,8.3,16.9,6.5,6.9,13.4,6.5,6.9,13.3,9.0,9.8,18.8,5.9,7.6,13.5
11,Idaho,0400000US16,1717750,861025,856725,167446,159340,326786,142295,133122,275417,112166,110010,222176,102551,100015,202566,153178,158377,311555,125143,139746,264889,9.7,9.3,19.0,8.3,7.7,16.0,6.5,6.4,12.9,6.0,5.8,11.8,8.9,9.2,18.1,7.3,8.1,15.4
12,Hawaii,0400000US15,1422094,713260,708834,110734,105062,215796,123339,105659,228998,97741,94995,192736,87835,84520,172355,132972,136789,269761,114808,138798,253606,7.8,7.4,15.2,8.7,7.4,16.1,6.9,6.7,13.6,6.2,5.9,12.1,9.4,9.6,19.0,8.1,9.8,17.8
13,Illinois,0400000US17,12770631,6272172,6498459,1083539,1040794,2124333,1061431,1028855,2090286,860385,854989,1715374,808950,818554,1627504,1220432,1282975,2503407,845088,1097446,1942534,8.5,8.1,16.6,8.3,8.1,16.4,6.7,6.7,13.4,6.3,6.4,12.7,9.6,10.0,19.6,6.6,8.6,15.2
14,Indiana,0400000US18,6665703,3284846,3380857,589601,564205,1153806,565065,543319,1108384,422815,421091,843906,405290,409526,814816,637747,664771,1302518,449681,573907,1023588,8.8,8.5,17.3,8.5,8.2,16.6,6.3,6.3,12.7,6.1,6.1,12.2,9.6,10.0,19.5,6.7,8.6,15.4
15,Iowa,0400000US19,3139508,1558536,1580972,272280,260030,532310,264979,251590,516569,202329,192950,395279,181256,179353,360609,303751,309041,612792,234025,291497,525522,8.7,8.3,17.0,8.4,8.0,16.5,6.4,6.1,12.6,5.8,5.7,11.5,9.7,9.8,19.5,7.5,9.3,16.7
16,Kansas,0400000US20,2910652,1450697,1459955,266026,253931,519957,256481,233943,490424,190133,185400,375533,169470,165695,335165,269880,279253,549133,200796,248531,449327,9.1,8.7,17.9,8.8,8.0,16.8,6.5,6.4,12.9,5.8,5.7,11.5,9.3,9.6,18.9,6.9,8.5,15.4
17,Kentucky,0400000US21,4449052,2190922,2258130,377214,357500,734714,370131,352106,722237,276590,277439,554029,280245,280452,560697,432536,460109,892645,313244,396894,710138,8.5,8.0,16.5,8.3,7.9,16.2,6.2,6.2,12.5,6.3,6.3,12.6,9.7,10.3,20.1,7.0,8.9,16.0
18,Louisiana,0400000US22,4664362,2278986,2385376,406101,389814,795915,394112,384698,778810,317337,319820,637157,267761,280372,548133,431609,467285,898894,305756,392262,698018,8.7,8.4,17.1,8.4,8.2,16.7,6.8,6.9,13.7,5.7,6.0,11.8,9.3,10.0,19.3,6.6,8.4,15.0
19,Maine,0400000US23,1335492,653942,681550,96799,91664,188463,96009,92335,188344,76121,77787,153908,80710,83936,164646,149815,158713,308528,121459,146109,267568,7.2,6.9,14.1,7.2,6.9,14.1,5.7,5.8,11.5,6.0,6.3,12.3,11.2,11.9,23.1,9.1,10.9,20.0
20,Maryland,0400000US24,6018848,2917613,3101235,498550,478264,976814,482538,470520,953058,398310,415762,814072,373842,398360,772202,587984,647172,1235156,390129,512549,902678,8.3,7.9,16.2,8.0,7.8,15.8,6.6,6.9,13.5,6.2,6.6,12.8,9.8,10.8,20.5,6.5,8.5,15.0
21,Massachusetts,0400000US25,6850553,3324207,3526346,515776,494468,1010244,598925,598844,1197769,443790,452061,895851,420387,444253,864640,681974,731970,1413944,478764,628325,1107089,7.5,7.2,14.7,8.7,8.7,17.5,6.5,6.6,13.1,6.1,6.5,12.6,10.0,10.7,20.6,7.0,9.2,16.2
22,Michigan,0400000US26,9965265,4905240,5060025,822472,784312,1606784,839047,803443,1642490,597134,595950,1193084,597798,610757,1208555,1013364,1063551,2076915,743307,923036,1666343,8.3,7.9,16.1,8.4,8.1,16.5,6.0,6.0,12.0,6.0,6.1,12.1,10.2,10.7,20.8,7.5,9.3,16.7
23,Minnesota,0400000US27,5563378,2770873,2792505,482972,461212,944184,445057,427315,872372,382818,371217,754035,338134,330276,668410,553229,560786,1114015,388483,470215,858698,8.7,8.3,17.0,8.0,7.7,15.7,6.9,6.7,13.6,6.1,5.9,12.0,9.9,10.1,20.0,7.0,8.5,15.4
24,Mississippi,0400000US28,2984418,1447873,1536545,269295,257551,526846,251621,246834,498455,181796,194714,376510,176332,185800,362132,273367,299439,572806,200258,260764,461022,9.0,8.6,17.7,8.4,8.3,16.7,6.1,6.5,12.6,5.9,6.2,12.1,9.2,10.0,19.2,6.7,8.7,15.4
25,Missouri,0400000US29,6104910,2995725,3109185,517077,492965,1010042,502276,486224,988500,393676,391657,785333,355830,366258,722088,593197,627455,1220652,443403,563322,1006725,8.5,8.1,16.5,8.2,8.0,16.2,6.4,6.4,12.9,5.8,6.0,11.8,9.7,10.3,20.0,7.3,9.2,16.5
26,Montana,0400000US30,1050649,528573,522076,85973,81378,167351,87267,79367,166634,66818,64957,131775,59928,57343,117271,105862,110010,215872,91178,99533,190711,8.2,7.7,15.9,8.3,7.6,15.9,6.4,6.2,12.5,5.7,5.5,11.2,10.1,10.5,20.5,8.7,9.5,18.2
