,State,GEOID,total,mtotal,ftotal,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65
27,Nebraska,0400000US31,1914571,954950,959621,175668,166966,342634,161801,153834,315635,129837,126042,255879,111521,106731,218252,176807,179822,356629,131646,162423,294069,9.2,8.7,17.9,8.5,8.0,16.5,6.8,6.6,13.4,5.8,5.6,11.4,9.2,9.4,18.6,6.9,8.5,15.4
28,Nevada,0400000US32,2972382,1491294,1481088,254215,243293,497508,238935,228340,467275,211487,203063,414550,197685,193832,391517,279259,281558,560817,216084,241097,457181,8.6,8.2,16.7,8.0,7.7,15.7,7.1,6.8,13.9,6.7,6.5,13.2,9.4,9.5,18.9,7.3,8.1,15.4
29,New Hampshire,0400000US33,1348124,667689,680435,100383,95738,196121,109017,102250,211267,79759,78569,158328,84335,85689,170024,153893,158853,312746,107673,128122,235795,7.4,7.1,14.5,8.1,7.6,15.7,5.9,5.8,11.7,6.3,6.4,12.6,11.4,11.8,23.2,8.0,9.5,17.5
30,New Jersey,0400000US34,8878503,4335032,4543471,735958,706039,1441997,686046,654371,1340417,570118,573981,1144099,578401,595149,1173550,893540,955091,1848631,605763,804522,1410285,8.3,8.0,16.2,7.7,7.4,15.1,6.4,6.5,12.9,6.5,6.7,13.2,10.1,10.8,20.8,6.8,9.1,15.9
31,New Mexico,0400000US35,2092454,1036190,1056264,185100,177226,362326,177927,165250,343177,138874,131368,270242,117128,120543,237671,191805,208396,400201,160927,191760,352687,8.8,8.5,17.3,8.5,7.9,16.4,6.6,6.3,12.9,5.6,5.8,11.4,9.2,10.0,19.1,7.7,9.2,16.9
32,New York,0400000US36,19572319,9501001,10071318,1510451,1443847,2954298,1662189,1651210,3313399,1309859,1330955,2640814,1194999,1247360,2442359,1884780,2036162,3920942,1348264,1798042,3146306,7.7,7.4,15.1,8.5,8.4,16.9,6.7,6.8,13.5,6.1,6.4,12.5,9.6,10.4,20.0,6.9,9.2,16.1
33,North Carolina,0400000US37,10264876,4996638,5268238,863138,828351,1691489,861033,829869,1690902,634592,667293,1301885,658508,684018,1342526,958463,1046473,2004936,711183,916830,1628013,8.4,8.1,16.5,8.4,8.1,16.5,6.2,6.5,12.7,6.4,6.7,13.1,9.3,10.2,19.5,6.9,8.9,15.9
34,North Dakota,0400000US38,756717,387555,369162,62923,59606,122529,78760,68521,147281,54786,46880,101666,41834,38429,80263,70574,68306,138880,51469,61414,112883,8.3,7.9,16.2,10.4,9.1,19.5,7.2,6.2,13.4,5.5,5.1,10.6,9.3,9.0,18.4,6.8,8.1,14.9
35,Ohio,0400000US39,11655397,5711765,5943632,976994,933305,1910299,946551,917493,1864044,720117,722678,1442795,702536,715580,1418116,1160275,1223863,2384138,849599,1091695,1941294,8.4,8.0,16.4,8.1,7.9,16.0,6.2,6.2,12.4,6.0,6.1,12.2,10.0,10.5,20.5,7.3,9.4,16.7
36,Oklahoma,0400000US40,3932870,1949528,1983342,355952,339696,695648,339999,320339,660338,262747,257675,520422,232795,230401,463196,355505,373051,728556,268695,334699,603394,9.1,8.6,17.7,8.6,8.1,16.8,6.7,6.6,13.2,5.9,5.9,11.8,9.0,9.5,18.5,6.8,8.5,15.3
37,Oregon,0400000US41,4129803,2047338,2082465,326730,310656,637386,334852,321340,656192,292148,287799,579947,262768,256199,518967,387876,409323,797199,324668,384887,709555,7.9,7.5,15.4,8.1,7.8,15.9,7.1,7.0,14.0,6.4,6.2,12.6,9.4,9.9,19.3,7.9,9.3,17.2
38,Pennsylvania,0400000US42,12791530,6265113,6526417,1001143,954685,1955828,1036749,1001296,2038045,797337,783883,1581220,765041,778723,1543764,1308510,1375880,2684390,994823,1286897,2281720,7.8,7.5,15.3,8.1,7.8,15.9,6.2,6.1,12.4,6.0,6.1,12.1,10.2,10.8,21.0,7.8,10.1,17.8
39,Rhode Island,0400000US44,1057231,513792,543439,78070,74602,152672,94941,93758,188699,66865,67201,134066,62345,63978,126323,106911,115999,222910,76620,101269,177889,7.4,7.1,14.4,9.0,8.9,17.8,6.3,6.4,12.7,5.9,6.1,11.9,10.1,11.0,21.1,7.2,9.6,16.8
40,South Carolina,0400000US45,5020806,2435472,2585334,413363,398208,811571,413789,401953,815742,304118,320393,624511,300250,315416,615666,471709,527118,998827,383857,479701,863558,8.2,7.9,16.2,8.2,8.0,16.2,6.1,6.4,12.4,6.0,6.3,12.3,9.4,10.5,19.9,7.6,9.6,17.2
41,South Dakota,0400000US46,870638,438946,431692,78966,74743,153709,73720,67944,141664,58205,53489,111694,48090,45610,93700,84124,83814,167938,65086,76448,141534,9.1,8.6,17.7,8.5,7.8,16.3,6.7,6.1,12.8,5.5,5.2,10.8,9.7,9.6,19.3,7.5,8.8,16.3
42,Tennessee,0400000US47,6709356,3273278,3436078,560608,537874,1098482,550467,543369,1093836,422720,437336,860056,422169,430316,852485,634093,688842,1322935,474623,600501,1075124,8.4,8.0,16.4,8.2,8.1,16.3,6.3,6.5,12.8,6.3,6.4,12.7,9.5,10.3,19.7,7.1,9.0,16.0
43,Texas,0400000US48,28260856,14034009,14226847,2720539,2618103,5338642,2512893,2382155,4895048,2020479,1989629,4010108,1827978,1839396,3667374,2387645,2499709,4887354,1543119,1919408,3462527,9.6,9.3,18.9,8.9,8.4,17.3,7.1,7.0,14.2,6.5,6.5,13.0,8.4,8.8,17.3,5.5,6.8,12.3
44,Vermont,0400000US50,624313,308097,316216,44797,42289,87086,53718,50511,104229,35560,36260,71820,36645,36991,73636,68340,72370,140710,53735,63529,117264,7.2,6.8,13.9,8.6,8.1,16.7,5.7,5.8,11.5,5.9,5.9,11.8,10.9,11.6,22.5,8.6,10.2,18.8
45,Utah,0400000US49,3096848,1558868,1537980,345659,327039,672698,299353,286854,586207,226994,219055,446049,183489,178883,362372,219514,225174,444688,154982,178967,333949,11.2,10.6,21.7,9.7,9.3,18.9,7.3,7.1,14.4,5.9,5.8,11.7,7.1,7.3,14.4,5.0,5.8,10.8
46,Virginia,0400000US51,8454463,4159173,4295290,692105,665195,1357300,719999,684439,1404438,574557,575842,1150399,540886,549803,1090689,807588,863704,1671292,562945,709001,1271946,8.2,7.9,16.1,8.5,8.1,16.6,6.8,6.8,13.6,6.4,6.5,12.9,9.6,10.2,19.8,6.7,8.4,15.0
47,Washington,0400000US53,7404107,3703301,3700806,607818,581364,1189182,638436,587767,1226203,544934,519821,1064755,471183,462024,933207,698058,720665,1418723,509666,608007,1117673,8.2,7.9,16.1,8.6,7.9,16.6,7.4,7.0,14.4,6.4,6.2,12.6,9.4,9.7,19.2,6.9,8.2,15.1
48,West Virginia,0400000US54,1817305,898578,918727,138975,132923,271898,139742,131943,271685,107311,103521,210832,114615,114546,229161,188368,195707,384075,159606,192508,352114,7.6,7.3,15.0,7.7,7.3,14.9,5.9,5.7,11.6,6.3,6.3,12.6,10.4,10.8,21.1,8.8,10.6,19.4
49,Wisconsin,0400000US55,5790716,2879894,2910822,484909,462810,947719,470156,449651,919807,371774,360003,731777,347927,343895,691822,601674,611162,1212836,432812,520759,953571,8.4,8.0,16.4,8.1,7.8,15.9,6.4,6.2,12.6,6.0,5.9,11.9,10.4,10.6,20.9,7.5,9.0,16.5
50,Wyoming,0400000US56,581024,296202,284822,51306,48524,99830,49411,44176,93587,40287,37737,78024,34736,32049,66785,57733,57062,114795,43732,47730,91462,8.8,8.4,17.2,8.5,7.6,16.1,6.9,6.5,13.4,6.0,5.5,11.5,9.9,9.8,19.8,7.5,8.2,15.7
51,Puerto Rico,0400000US72,3318447,1578318,1740129,257301,247422,504723,274084,271303,545387,187431,207604,395035,201259,221461,422720,300378,352845,653223,284289,369447,653736,7.8,7.5,15.2,8.3,8.2,16.4,5.6,6.3,11.9,6.1,6.7,12.7,9.1,10.6,19.7,8.6,11.1,19.7
