CBSA,GEOID,CBSAFIPS,total,U5,school,18_20s,30s,40s,50_65,O65,PU5,Pschool,P18_20s,P30s,P40s,P50_65,PO65
"Albany, GA Metro Area",310M200US10500,10500,156706,11042,28520,27507,19776,19504,30165,20192,7.0,18.2,17.6,12.6,12.4,19.2,12.9
"Albany, OR Metro Area",310M200US10540,10540,118270,7414,20576,17414,14483,14508,24707,19168,6.3,17.4,14.7,12.2,12.3,20.9,16.2
"Albany-Schenectady-Troy, NY Metro Area",310M200US10580,10580,875567,46454,135408,153439,103425,122368,185484,128989,5.3,15.5,17.5,11.8,14.0,21.2,14.7
"Albemarle, NC Micro Area",310M200US10620,10620,60553,3457,9946,9063,6452,9030,12542,10063,5.7,16.4,15.0,10.7,14.9,20.7,16.6
"Albert Lea, MN Micro Area",310M200US10660,10660,31034,1865,4943,3908,3201,3814,6848,6455,6.0,15.9,12.6,10.3,12.3,22.1,20.8
"Albertville, AL Micro Area",310M200US10700,10700,94121,6475,16841,14070,11240,12955,17936,14604,6.9,17.9,14.9,11.9,13.8,19.1,15.5
"Albuquerque, NM Metro Area",310M200US10740,10740,899137,58161,156774,151828,118088,115963,178464,119859,6.5,17.4,16.9,13.1,12.9,19.8,13.3
"Alexandria, LA Metro Area",310M200US10780,10780,154562,10397,28245,24215,19640,20851,29542,21672,6.7,18.3,15.7,12.7,13.5,19.1,14.0
"Alexandria, MN Micro Area",310M200US10820,10820,36413,2002,5782,4914,3950,4361,7891,7513,5.5,15.9,13.5,10.8,12.0,21.7,20.6
"Alice, TX Micro Area",310M200US10860,10860,41348,3270,8478,6670,4805,4974,7547,5604,7.9,20.5,16.1,11.6,12.0,18.3,13.6
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",310M200US10900,10900,826260,45324,137087,123176,96702,117578,174649,131744,5.5,16.6,14.9,11.7,14.2,21.1,15.9
"Alma, MI Micro Area",310M200US10940,10940,42057,2251,6497,7685,5033,5835,8245,6511,5.4,15.4,18.3,12.0,13.9,19.6,15.5
"Alpena, MI Micro Area",310M200US10980,10980,29242,1460,4434,3526,3103,3590,7120,6009,5.0,15.2,12.1,10.6,12.3,24.3,20.5
"Altoona, PA Metro Area",310M200US11020,11020,126708,7134,19229,18625,14496,16200,27672,23352,5.6,15.2,14.7,11.4,12.8,21.8,18.4
"Altus, OK Micro Area",310M200US11060,11060,26275,2105,4697,4834,3298,3130,4722,3489,8.0,17.9,18.4,12.6,11.9,18.0,13.3
"Amarillo, TX Metro Area",310M200US11100,11100,257038,19152,48095,45058,34632,31760,46879,31462,7.5,18.7,17.5,13.5,12.4,18.2,12.2
"Americus, GA Micro Area",310M200US11140,11140,36858,2528,6828,6801,4092,4730,6730,5149,6.9,18.5,18.5,11.1,12.8,18.3,14.0
"Ames, IA Metro Area",310M200US11180,11180,91939,4715,11333,34784,10513,7749,13427,9418,5.1,12.3,37.8,11.4,8.4,14.6,10.2
"Amsterdam, NY Micro Area",310M200US11220,11220,49951,2980,8487,7223,5582,6534,10658,8487,6.0,17.0,14.5,11.2,13.1,21.3,17.0
"Anchorage, AK Metro Area",310M200US11260,11260,392021,29114,72785,75784,53976,52682,75365,32315,7.4,18.6,19.3,13.8,13.4,19.2,8.2
"Andrews, TX Micro Area",310M200US11380,11380,16126,1407,3335,2818,1936,2174,2733,1723,8.7,20.7,17.5,12.0,13.5,16.9,10.7
"Angola, IN Micro Area",310M200US11420,11420,34190,1768,5705,5421,3760,4517,7541,5478,5.2,16.7,15.9,11.0,13.2,22.1,16.0
"Ann Arbor, MI Metro Area",310M200US11460,11460,351454,18782,52252,88797,44525,44085,64135,38878,5.3,14.9,25.3,12.7,12.5,18.2,11.1
"Anniston-Oxford-Jacksonville, AL Metro Area",310M200US11500,11500,117186,6908,19429,19777,13926,15351,23975,17820,5.9,16.6,16.9,11.9,13.1,20.5,15.2
"Appleton, WI Metro Area",310M200US11540,11540,228641,14641,42246,33663,30370,33391,46073,28257,6.4,18.5,14.7,13.3,14.6,20.2,12.4
"Arcadia, FL Micro Area",310M200US11580,11580,34785,2064,5414,6175,4042,4159,6433,6498,5.9,15.6,17.8,11.6,12.0,18.5,18.7
"Ardmore, OK Micro Area",310M200US11620,11620,48288,3341,8978,6883,5940,6156,9498,7492,6.9,18.6,14.3,12.3,12.7,19.7,15.5
"Arecibo, PR Metro Area",310M200US11640,11640,195749,10500,33476,31209,25115,26938,35959,32552,5.4,17.1,15.9,12.8,13.8,18.4,16.6
"Arkadelphia, AR Micro Area",310M200US11660,11660,22800,1211,3280,6114,2081,2652,3979,3483,5.3,14.4,26.8,9.1,11.6,17.5,15.3
"Arkansas City-Winfield, KS Micro Area",310M200US11680,11680,36201,2393,6361,6083,3828,4597,6997,5942,6.6,17.6,16.8,10.6,12.7,19.3,16.4
"Asheville, NC Metro Area",310M200US11700,11700,433204,22447,63264,59880,53463,56852,93086,84212,5.2,14.6,13.8,12.3,13.1,21.5,19.4
"Ashland, OH Micro Area",310M200US11740,11740,53202,3091,9259,8709,5560,6910,10909,8764,5.8,17.4,16.4,10.5,13.0,20.5,16.5
"Ashtabula, OH Micro Area",310M200US11780,11780,100346,5861,17242,13490,11382,13960,21966,16445,5.8,17.2,13.4,11.3,13.9,21.9,16.4
"Astoria, OR Micro Area",310M200US11820,11820,37236,1940,5466,5465,4189,4441,9000,6735,5.2,14.7,14.7,11.2,11.9,24.2,18.1
"Atchison, KS Micro Area",310M200US11860,11860,16737,1081,2917,3412,1630,1922,3151,2624,6.5,17.4,20.4,9.7,11.5,18.8,15.7
"Athens, OH Micro Area",310M200US11900,11900,64840,2684,7403,24702,6416,6498,10217,6920,4.1,11.4,38.1,9.9,10.0,15.8,10.7
"Athens, TN Micro Area",310M200US11940,11940,52409,3065,8451,7141,6253,6868,11248,9383,5.8,16.1,13.6,11.9,13.1,21.5,17.9
"Athens, TX Micro Area",310M200US11980,11980,78836,4489,13165,10560,7831,10164,16924,15703,5.7,16.7,13.4,9.9,12.9,21.5,19.9
"Athens-Clarke County, GA Metro Area",310M200US12020,12020,196287,11351,28684,56270,24494,22717,31307,21464,5.8,14.6,28.7,12.5,11.6,15.9,10.9
"Atlanta-Sandy Springs-Roswell, GA Metro Area",310M200US12060,12060,5455053,374450,1037426,886890,795236,838711,983104,539236,6.9,19.0,16.3,14.6,15.4,18.0,9.9
"Atlantic City-Hammonton, NJ Metro Area",310M200US12100,12100,275325,16580,45739,42625,30827,39822,58575,41157,6.0,16.6,15.5,11.2,14.5,21.3,14.9
"Auburn, IN Micro Area",310M200US12140,12140,42321,2669,8111,5879,5308,5636,8811,5907,6.3,19.2,13.9,12.5,13.3,20.8,14.0
"Auburn, NY Micro Area",310M200US12180,12180,79481,4148,12514,11784,8667,11809,17713,12846,5.2,15.7,14.8,10.9,14.9,22.3,16.2
"Auburn-Opelika, AL Metro Area",310M200US12220,12220,147790,8819,23661,41113,18424,18224,23285,14264,6.0,16.0,27.8,12.5,12.3,15.8,9.7
"Augusta-Richmond County, GA-SC Metro Area",310M200US12260,12260,575669,37855,101328,97800,71307,75696,114797,76886,6.6,17.6,17.0,12.4,13.1,19.9,13.4
"Augusta-Waterville, ME Micro Area",310M200US12300,12300,121507,6045,18499,17087,13737,17082,28952,20105,5.0,15.2,14.1,11.3,14.1,23.8,16.5
"Austin, MN Micro Area",310M200US12380,12380,39312,2685,7197,5454,4783,4650,7691,6852,6.8,18.3,13.9,12.2,11.8,19.6,17.4
"Austin-Round Rock, TX Metro Area",310M200US12420,12420,1835016,129243,324924,357023,299811,260318,302252,161445,7.0,17.7,19.5,16.3,14.2,16.5,8.8
"Bainbridge, GA Micro Area",310M200US12460,12460,27508,1889,5016,4255,3146,3777,5388,4037,6.9,18.2,15.5,11.4,13.7,19.6,14.7
"Bakersfield, CA Metro Area",310M200US12540,12540,857730,73020,182275,161619,116822,106504,136693,80797,8.5,21.3,18.8,13.6,12.4,15.9,9.4
"Baltimore-Columbia-Towson, MD Metro Area",310M200US12580,12580,2753396,169426,451037,465874,351908,390112,558873,366166,6.2,16.4,16.9,12.8,14.2,20.3,13.3
"Bangor, ME Metro Area",310M200US12620,12620,153627,7400,21990,29006,16785,20806,33954,23686,4.8,14.3,18.9,10.9,13.5,22.1,15.4
"Baraboo, WI Micro Area",310M200US12660,12660,62681,3807,10875,8603,7926,8210,13217,10043,6.1,17.3,13.7,12.6,13.1,21.1,16.0
"Bardstown, KY Micro Area",310M200US12680,12680,44254,3124,8115,6295,5673,6374,9187,5486,7.1,18.3,14.2,12.8,14.4,20.8,12.4
"Barnstable Town, MA Metro Area",310M200US12700,12700,215167,8715,26862,24150,18210,26743,53690,56797,4.1,12.5,11.2,8.5,12.4,25.0,26.4
"Barre, VT Micro Area",310M200US12740,12740,59333,3023,8856,8604,6706,8673,14201,9270,5.1,14.9,14.5,11.3,14.6,23.9,15.6
"Bartlesville, OK Micro Area",310M200US12780,12780,51564,3330,8840,7373,6143,5956,10638,9284,6.5,17.1,14.3,11.9,11.6,20.6,18.0
"Bastrop, LA Micro Area",310M200US12820,12820,27319,1958,4734,4040,3321,3201,5670,4395,7.2,17.3,14.8,12.2,11.7,20.8,16.1
"Batavia, NY Micro Area",310M200US12860,12860,59702,3175,9475,9014,6437,8547,13260,9794,5.3,15.9,15.1,10.8,14.3,22.2,16.4
"Batesville, AR Micro Area",310M200US12900,12900,36861,2386,6501,5407,4917,4447,7281,5922,6.5,17.6,14.7,13.3,12.1,19.8,16.1
"Baton Rouge, LA Metro Area",310M200US12940,12940,814805,54763,142701,157747,109397,104204,152014,93979,6.7,17.5,19.4,13.4,12.8,18.7,11.5
"Battle Creek, MI Metro Area",310M200US12980,12980,135150,8306,23637,20289,15338,18387,28204,20989,6.1,17.5,15.0,11.3,13.6,20.9,15.5
"Blackfoot, ID Micro Area",310M200US13940,13940,45558,4094,10608,6627,5541,5191,7959,5538,9.0,23.3,14.5,12.2,11.4,17.5,12.2
"Beatrice, NE Micro Area",310M200US13100,13100,21889,1283,3613,2645,2269,2852,4903,4324,5.9,16.5,12.1,10.4,13.0,22.4,19.8
"Blacksburg-Christiansburg-Radford, VA Metro Area",310M200US13980,13980,179908,8089,22696,53537,19605,20895,30852,24234,4.5,12.6,29.8,10.9,11.6,17.1,13.5
"Bay City, MI Metro Area",310M200US13020,13020,107074,5863,17199,15239,12043,14273,23937,18520,5.5,16.1,14.2,11.2,13.3,22.4,17.3
"Bay City, TX Micro Area",310M200US13060,13060,36611,2587,6765,5713,4312,4165,7616,5453,7.1,18.5,15.6,11.8,11.4,20.8,14.9
"Beaumont-Port Arthur, TX Metro Area",310M200US13140,13140,404741,27178,70504,67341,52350,52750,79446,55172,6.7,17.4,16.6,12.9,13.0,19.6,13.6
"Beaver Dam, WI Micro Area",310M200US13180,13180,88589,4648,14459,12269,11086,13102,19291,13734,5.2,16.3,13.8,12.5,14.8,21.8,15.5
"Beckley, WV Metro Area",310M200US13220,13220,124536,7459,18418,17015,16669,15681,27865,21429,6.0,14.8,13.7,13.4,12.6,22.4,17.2
"Bedford, IN Micro Area",310M200US13260,13260,45970,2615,7892,5904,5469,6217,10008,7865,5.7,17.2,12.8,11.9,13.5,21.8,17.1
"Beeville, TX Micro Area",310M200US13300,13300,32462,1886,4997,6104,5126,5091,5622,3636,5.8,15.4,18.8,15.8,15.7,17.3,11.2
"Bellefontaine, OH Micro Area",310M200US13340,13340,45564,2860,8347,5904,5618,5772,9894,7169,6.3,18.3,13.0,12.3,12.7,21.7,15.7
"Bellingham, WA Metro Area",310M200US13380,13380,204855,11413,30659,43670,24860,24670,40238,29345,5.6,15.0,21.3,12.1,12.0,19.6,14.3
"Bemidji, MN Micro Area",310M200US13420,13420,45236,3410,8004,9409,4840,4935,8487,6151,7.5,17.7,20.8,10.7,10.9,18.8,13.6
"Bend-Redmond, OR Metro Area",310M200US13460,13460,163141,9175,27027,21619,20481,21916,35877,27046,5.6,16.6,13.3,12.6,13.4,22.0,16.6
"Bennettsville, SC Micro Area",310M200US13500,13500,28294,1570,4391,4353,4025,4036,5833,4086,5.5,15.5,15.4,14.2,14.3,20.6,14.4
"Bennington, VT Micro Area",310M200US13540,13540,36739,1776,5512,5034,3594,4675,8802,7346,4.8,15.0,13.7,9.8,12.7,24.0,20.0
"Berlin, NH-VT Micro Area",310M200US13620,13620,38433,1559,5289,4367,3948,5388,9876,8006,4.1,13.8,11.4,10.3,14.0,25.7,20.8
"Big Rapids, MI Micro Area",310M200US13660,13660,43226,2096,6273,11327,3801,4639,8198,6892,4.8,14.5,26.2,8.8,10.7,19.0,15.9
"Big Spring, TX Micro Area",310M200US13700,13700,36892,2277,6034,6437,5343,5061,6991,4749,6.2,16.4,17.4,14.5,13.7,18.9,12.9
"Big Stone Gap, VA Micro Area",310M200US13720,13720,60499,3219,9156,9742,7753,8379,12926,9324,5.3,15.1,16.1,12.8,13.8,21.4,15.4
"Billings, MT Metro Area",310M200US13740,13740,162892,10620,27354,24765,20639,20400,34472,24642,6.5,16.8,15.2,12.7,12.5,21.2,15.1
"Binghamton, NY Metro Area",310M200US13780,13780,249261,12875,37923,45495,26680,30782,53366,42140,5.2,15.2,18.3,10.7,12.3,21.4,16.9
"Birmingham-Hoover, AL Metro Area",310M200US13820,13820,1135534,73297,194317,178412,149657,155983,227967,155901,6.5,17.1,15.7,13.2,13.7,20.1,13.7
"Bismarck, ND Metro Area",310M200US13900,13900,120688,8057,19909,20831,15906,14746,24346,16893,6.7,16.5,17.3,13.2,12.2,20.2,14.0
"Bloomington, IL Metro Area",310M200US14010,14010,188851,11540,30624,44366,24441,23110,33450,21320,6.1,16.2,23.5,12.9,12.2,17.7,11.3
"Bloomington, IN Metro Area",310M200US14020,14020,162422,7566,19998,54437,18562,17076,26301,18482,4.7,12.3,33.5,11.4,10.5,16.2,11.4
"Bloomsburg-Berwick, PA Metro Area",310M200US14100,14100,85564,4173,11869,17070,8999,10865,18012,14576,4.9,13.9,19.9,10.5,12.7,21.1,17.0
"Bluefield, WV-VA Micro Area",310M200US14140,14140,106492,6137,15566,15123,12965,13202,23988,19511,5.8,14.6,14.2,12.2,12.4,22.5,18.3
"Blytheville, AR Micro Area",310M200US14180,14180,45385,3332,9093,7232,5441,5898,8603,5786,7.3,20.0,15.9,12.0,13.0,19.0,12.7
"Bogalusa, LA Micro Area",310M200US14220,14220,46723,2985,8520,6731,5384,5964,10031,7108,6.4,18.2,14.4,11.5,12.8,21.5,15.2
"Boise City, ID Metro Area",310M200US14260,14260,639616,45458,128168,101514,87298,86666,114056,76456,7.1,20.0,15.9,13.6,13.5,17.8,12.0
"Boone, IA Micro Area",310M200US14340,14340,26326,1443,4651,3571,3166,3356,5828,4311,5.5,17.7,13.6,12.0,12.7,22.1,16.4
"Boone, NC Micro Area",310M200US14380,14380,51903,1870,5123,19324,4726,5027,8997,6836,3.6,9.9,37.2,9.1,9.7,17.3,13.2
"Borger, TX Micro Area",310M200US14420,14420,21947,1525,4260,3058,2913,2408,4539,3244,6.9,19.4,13.9,13.3,11.0,20.7,14.8
"Boston-Cambridge-Newton, MA-NH Metro Area",310M200US14460,14460,4650876,257690,720655,827482,598823,675763,934007,636456,5.5,15.5,17.8,12.9,14.5,20.1,13.7
"Boulder, CO Metro Area",310M200US14500,14500,305166,16060,47147,66754,39609,41690,60113,33793,5.3,15.4,21.9,13.0,13.7,19.7,11.1
"Bowling Green, KY Metro Area",310M200US14540,14540,162322,10004,26773,34140,20016,20832,29742,20815,6.2,16.5,21.0,12.3,12.8,18.3,12.8
"Bozeman, MT Micro Area",310M200US14580,14580,93108,5714,13573,22825,13866,10699,16806,9625,6.1,14.6,24.5,14.9,11.5,18.1,10.3
"Bradford, PA Micro Area",310M200US14620,14620,43024,2186,6644,6266,4945,6140,9306,7537,5.1,15.4,14.6,11.5,14.3,21.6,17.5
"Brainerd, MN Micro Area",310M200US14660,14660,91399,5440,14817,11092,9532,11154,20592,18772,6.0,16.2,12.1,10.4,12.2,22.5,20.5
"Branson, MO Micro Area",310M200US14700,14700,84679,4566,12754,11466,8590,10460,18786,18057,5.4,15.1,13.5,10.1,12.4,22.2,21.3
"Breckenridge, CO Micro Area",310M200US14720,14720,28482,1431,3352,5848,5069,3935,6145,2702,5.0,11.8,20.5,17.8,13.8,21.6,9.5
"Bremerton-Silverdale, WA Metro Area",310M200US14740,14740,253614,14668,40144,44329,29789,32254,55446,36984,5.8,15.8,17.5,11.7,12.7,21.9,14.6
"Brenham, TX Micro Area",310M200US14780,14780,34039,2056,5323,5560,3305,4353,6860,6582,6.0,15.6,16.3,9.7,12.8,20.2,19.3
"Brevard, NC Micro Area",310M200US14820,14820,32943,1429,4269,4188,3102,3533,7477,8945,4.3,13.0,12.7,9.4,10.7,22.7,27.2
"Bridgeport-Stamford-Norwalk, CT Metro Area",310M200US14860,14860,934215,55160,170155,131675,114427,143355,189168,130275,5.9,18.2,14.1,12.2,15.3,20.2,13.9
"Brownwood, TX Micro Area",310M200US15220,15220,37903,2261,6624,5767,4420,4280,7639,6912,6.0,17.5,15.2,11.7,11.3,20.2,18.2
"Brunswick, GA Metro Area",310M200US15260,15260,113572,7056,19493,16200,12817,15489,24206,18311,6.2,17.2,14.3,11.3,13.6,21.3,16.1
"Bucyrus, OH Micro Area",310M200US15340,15340,43036,2408,7333,5567,4807,5617,9277,8027,5.6,17.0,12.9,11.2,13.1,21.6,18.7
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",310M200US15380,15380,1135667,60628,178156,191716,125787,152559,243426,183395,5.3,15.7,16.9,11.1,13.4,21.4,16.1
"Burley, ID Micro Area",310M200US15420,15420,43466,3677,9699,6442,5003,4808,7777,6060,8.5,22.3,14.8,11.5,11.1,17.9,13.9
"Burlington, IA-IL Micro Area",310M200US15460,15460,47339,2816,7848,6045,5485,5834,10444,8867,5.9,16.6,12.8,11.6,12.3,22.1,18.7
"Burlington, NC Metro Area",310M200US15500,15500,153713,9349,26136,24828,18366,21578,30053,23403,6.1,17.0,16.2,11.9,14.0,19.6,15.2
"Burlington-South Burlington, VT Metro Area",310M200US15540,15540,213891,10963,32498,43344,26193,29427,44724,26742,5.1,15.2,20.3,12.2,13.8,20.9,12.5
"Butte-Silver Bow, MT Micro Area",310M200US15580,15580,34462,1889,5236,5893,3913,4070,7794,5667,5.5,15.2,17.1,11.4,11.8,22.6,16.4
