CBSA,GEOID,CBSAFIPS,total,U5,school,18_20s,30s,40s,50_65,O65,PU5,Pschool,P18_20s,P30s,P40s,P50_65,PO65
"Homosassa Springs, FL Metro Area",310M200US26140,26140,139771,5432,16056,13331,10585,14630,32784,46953,3.9,11.5,9.5,7.6,10.5,23.5,33.6
"Hickory-Lenoir-Morganton, NC Metro Area",310M200US25860,25860,363936,20102,60758,50605,43272,53505,76741,58953,5.5,16.7,13.9,11.9,14.7,21.1,16.2
"Hobbs, NM Micro Area",310M200US26020,26020,66876,5790,14142,11683,9115,7799,11186,7161,8.7,21.1,17.5,13.6,11.7,16.7,10.7
"Holland, MI Micro Area",310M200US26090,26090,112266,7067,21477,14680,13136,15798,24275,15833,6.3,19.1,13.1,11.7,14.1,21.6,14.1
"Hood River, OR Micro Area",310M200US26220,26220,22620,1516,4226,3122,2772,3344,4550,3090,6.7,18.7,13.8,12.3,14.8,20.1,13.7
"Hot Springs, AR Metro Area",310M200US26300,26300,96804,5354,14871,12797,11038,11480,20638,20626,5.5,15.4,13.2,11.4,11.9,21.3,21.3
"Houghton, MI Micro Area",310M200US26340,26340,38936,2110,5835,9947,3527,4081,7190,6246,5.4,15.0,25.5,9.1,10.5,18.5,16.0
"Houma-Thibodaux, LA Metro Area",310M200US26380,26380,209402,14503,37690,35967,26850,28487,39944,25961,6.9,18.0,17.2,12.8,13.6,19.1,12.4
"Houston-The Woodlands-Sugar Land, TX Metro Area",310M200US26420,26420,6204141,476605,1223960,1061138,920662,861405,1088331,572040,7.7,19.7,17.1,14.8,13.9,17.5,9.2
"Hudson, NY Micro Area",310M200US26460,26460,62525,2794,9259,7872,6123,8873,15472,12132,4.5,14.8,12.6,9.8,14.2,24.7,19.4
"Huntingdon, PA Micro Area",310M200US26500,26500,45950,2247,6576,7135,5654,6535,9714,8089,4.9,14.3,15.5,12.3,14.2,21.1,17.6
"Huntington, IN Micro Area",310M200US26540,26540,36959,2121,6328,5872,4192,5010,7810,5626,5.7,17.1,15.9,11.3,13.6,21.1,15.2
"Huntington-Ashland, WV-KY-OH Metro Area",310M200US26580,26580,364514,20803,58345,53132,45179,49333,77112,60610,5.7,16.0,14.6,12.4,13.5,21.2,16.6
"Huntsville, AL Metro Area",310M200US26620,26620,430396,26118,73450,71287,54901,62573,86478,55589,6.1,17.1,16.6,12.8,14.5,20.1,12.9
"Huntsville, TX Micro Area",310M200US26660,26660,83334,3729,10243,20252,10674,11623,15827,10986,4.5,12.3,24.3,12.8,13.9,19.0,13.2
"Huron, SD Micro Area",310M200US26700,26700,17922,1317,3070,2734,2158,1889,3811,2943,7.3,17.1,15.3,12.0,10.5,21.3,16.4
"Hutchinson, KS Micro Area",310M200US26740,26740,64223,4038,10948,9865,7419,7615,13138,11200,6.3,17.0,15.4,11.6,11.9,20.5,17.4
"Hutchinson, MN Micro Area",310M200US26780,26780,36172,2231,6634,4782,4669,4635,7262,5959,6.2,18.3,13.2,12.9,12.8,20.1,16.5
"Idaho Falls, ID Metro Area",310M200US26820,26820,136057,12526,30924,20495,18722,15002,23069,15319,9.2,22.7,15.1,13.8,11.0,17.0,11.3
"Indiana, PA Micro Area",310M200US26860,26860,88301,4308,12058,20265,8720,10260,18343,14347,4.9,13.7,22.9,9.9,11.6,20.8,16.2
"Indianapolis-Carmel-Anderson, IN Metro Area",310M200US26900,26900,1931182,134586,358822,308035,266691,272134,364063,226851,7.0,18.6,16.0,13.8,14.1,18.9,11.7
"Indianola, MS Micro Area",310M200US26940,26940,28314,1916,4843,5679,3868,3763,5170,3075,6.8,17.1,20.1,13.7,13.3,18.3,10.9
"Ionia, MI Micro Area",310M200US26960,26960,63976,3871,11827,9915,8488,9434,12692,7749,6.1,18.5,15.5,13.3,14.7,19.8,12.1
"Iowa City, IA Metro Area",310M200US26980,26980,158708,9721,23062,44479,21250,17432,26391,16373,6.1,14.5,28.0,13.4,11.0,16.6,10.3
"Iron Mountain, MI-WI Micro Area",310M200US27020,27020,30570,1532,4695,3558,2960,4199,7573,6053,5.0,15.4,11.6,9.7,13.7,24.8,19.8
"Ithaca, NY Metro Area",310M200US27060,27060,103179,4439,11917,35474,11639,10302,17656,11752,4.3,11.5,34.4,11.3,10.0,17.1,11.4
"Jackson, MI Metro Area",310M200US27100,27100,159927,9102,26998,24242,19295,22053,34264,23973,5.7,16.9,15.2,12.1,13.8,21.4,15.0
"Jackson, MS Metro Area",310M200US27140,27140,574998,39475,106677,98637,77527,75708,108162,68812,6.9,18.6,17.2,13.5,13.2,18.8,12.0
"Jackson, OH Micro Area",310M200US27160,27160,32952,2073,5861,4698,3983,4468,6917,4952,6.3,17.8,14.3,12.1,13.6,21.0,15.0
"Jackson, TN Metro Area",310M200US27180,27180,130233,8427,21974,22979,15094,17146,25739,18874,6.5,16.9,17.6,11.6,13.2,19.8,14.5
"Jackson, WY-ID Micro Area",310M200US27220,27220,32168,2197,4954,4960,5849,4760,6300,3148,6.8,15.4,15.4,18.2,14.8,19.6,9.8
"Jacksonville, FL Metro Area",310M200US27260,27260,1380995,87279,233671,229371,179187,192816,277067,181604,6.3,16.9,16.6,13.0,14.0,20.1,13.2
"Jacksonville, IL Micro Area",310M200US27300,27300,40532,2184,6314,6542,4602,5246,8506,7138,5.4,15.6,16.1,11.4,12.9,21.0,17.6
"Jacksonville, NC Metro Area",310M200US27340,27340,182921,17971,28727,60021,22846,16814,22031,14511,9.8,15.7,32.8,12.5,9.2,12.0,7.9
"Jacksonville, TX Micro Area",310M200US27380,27380,50971,3515,9591,7751,6030,6370,9835,7879,6.9,18.8,15.2,11.8,12.5,19.3,15.5
"Jamestown, ND Micro Area",310M200US27420,27420,21056,1200,3127,3416,2467,2487,4754,3605,5.7,14.9,16.2,11.7,11.8,22.6,17.1
"Jamestown-Dunkirk-Fredonia, NY Micro Area",310M200US27460,27460,133556,7232,21216,22450,14185,16409,29043,23021,5.4,15.9,16.8,10.6,12.3,21.7,17.2
"Janesville-Beloit, WI Metro Area",310M200US27500,27500,160465,9980,29048,23614,19903,22476,32510,22934,6.2,18.1,14.7,12.4,14.0,20.3,14.3
"Jasper, IN Micro Area",310M200US27540,27540,54903,3405,9960,6701,6294,7659,12096,8788,6.2,18.1,12.2,11.5,14.0,22.0,16.0
"Jayuya, PR Micro Area",310M200US27580,27580,16183,1043,3133,2926,2034,2123,2883,2041,6.4,19.4,18.1,12.6,13.1,17.8,12.6
"Jefferson, GA Micro Area",310M200US27600,27600,60928,4173,11745,8443,7839,9808,11228,7692,6.8,19.3,13.9,12.9,16.1,18.4,12.6
"Jefferson City, MO Metro Area",310M200US27620,27620,150440,9147,25741,24306,19969,20452,30479,20346,6.1,17.1,16.2,13.3,13.6,20.3,13.5
"Jesup, GA Micro Area",310M200US27700,27700,30170,2021,5379,4463,4244,4188,5755,4120,6.7,17.8,14.8,14.1,13.9,19.1,13.7
"Johnson City, TN Metro Area",310M200US27740,27740,200271,10239,29267,33717,23876,27478,41396,34298,5.1,14.6,16.8,11.9,13.7,20.7,17.1
"Johnstown, PA Metro Area",310M200US27780,27780,140835,7015,20395,20474,15635,17565,32372,27379,5.0,14.5,14.5,11.1,12.5,23.0,19.4
"Jonesboro, AR Metro Area",310M200US27860,27860,124194,8657,22035,23578,16174,15576,21800,16374,7.0,17.7,19.0,13.0,12.5,17.6,13.2
"Joplin, MO Metro Area",310M200US27900,27900,175679,12470,32137,28328,21721,22407,33117,25499,7.1,18.3,16.1,12.4,12.8,18.9,14.5
"Junction City, KS Micro Area",310M200US27920,27920,36458,4196,7043,9867,5475,3330,3901,2646,11.5,19.3,27.1,15.0,9.1,10.7,7.3
"Juneau, AK Micro Area",310M200US27940,27940,32200,1976,5355,5365,4452,4603,7444,3005,6.1,16.6,16.7,13.8,14.3,23.1,9.3
"Kahului-Wailuku-Lahaina, HI Metro Area",310M200US27980,27980,158887,10079,25938,22344,21048,22322,34946,22210,6.3,16.3,14.1,13.2,14.0,22.0,14.0
"Aberdeen, SD Micro Area",310M200US10100,10100,41564,2607,7115,6886,4488,5238,8434,6796,6.3,17.1,16.6,10.8,12.6,20.3,16.4
"Aberdeen, WA Micro Area",310M200US10140,10140,71734,4106,11059,10144,8662,8626,16610,12527,5.7,15.4,14.1,12.1,12.0,23.2,17.5
"Abilene, TX Metro Area",310M200US10180,10180,167171,11598,27789,35251,19570,20178,29341,23444,6.9,16.6,21.1,11.7,12.1,17.6,14.0
"Ada, OK Micro Area",310M200US10220,10220,37873,2668,6287,7403,4578,4336,6837,5764,7.0,16.6,19.5,12.1,11.4,18.1,15.2
"Adjuntas, PR Micro Area",310M200US10260,10260,19188,1131,3521,3219,2330,2424,3731,2832,5.9,18.4,16.8,12.1,12.6,19.4,14.8
"Adrian, MI Micro Area",310M200US10300,10300,99257,5381,16892,15003,11490,13388,21523,15580,5.4,17.0,15.1,11.6,13.5,21.7,15.7
"Aguadilla-Isabela, PR Metro Area",310M200US10380,10380,331146,18000,57241,52287,41934,44261,63829,53594,5.4,17.3,15.8,12.7,13.4,19.3,16.2
"Akron, OH Metro Area",310M200US10420,10420,703017,38557,113637,119201,80350,95181,150834,105257,5.5,16.2,17.0,11.4,13.5,21.5,15.0
"Alamogordo, NM Micro Area",310M200US10460,10460,65415,4941,11208,12056,7650,7246,12396,9918,7.6,17.1,18.4,11.7,11.1,18.9,15.2
