CBSA,GEOID,total,child,taxbase,O65,Pchild,Ptaxbase,PO65,homevalue,O*total,O*child,O*taxbase,O*O65,O*Pchild,O*Ptaxbase,O*PO65,O*homevalue,Name,State,Area,CBSAFIPS,O65percchange,taxbasepercchange,childpercchange,totalpercchange,O65sharechange,taxbasesharechange,childsharechange,O65realchange,taxbaserealchange,childrealchange,totalrealchange,homepercchange,homerealchange
"Mount Vernon, IL Micro Area",310M500US34500,37985,8442,22469,7074,22.2,59.2,18.6,96700,38716,8487,23705,6524,21.9,61.2,16.9,85400,Mount Vernon, IL, Micro,34500,8.43,-5.21,-0.53,-1.89,1.7000000000000028,-2.0,0.3000000000000007,550,-1236,-45,-731,13.23,11300
"Natchez, MS-LA Micro Area",310M500US35020,51044,11197,30791,9056,21.9,60.3,17.7,88600,52798,12034,32516,8248,22.8,61.6,15.6,84300,Natchez, MS,-LA Mi,35020,9.8,-5.31,-6.96,-3.32,2.0999999999999996,-1.3000000000000043,-0.9000000000000021,808,-1725,-837,-1754,5.1,4300
"Natchitoches, LA Micro Area",310M500US35060,38769,9272,23273,6224,23.9,60.0,16.1,137400,39359,9464,24246,5649,24.0,61.6,14.4,100600,Natchitoches, LA, Micro,35060,10.18,-4.01,-2.03,-1.5,1.700000000000001,-1.6000000000000014,-0.10000000000000142,575,-973,-192,-590,36.58,36800
"New Bern, NC Metro Area",310M500US35100,124786,26079,73639,25068,20.9,59.0,20.1,152800,127820,28363,77500,21957,22.2,60.6,17.2,149400,New Bern, NC, Metro,35100,14.17,-4.98,-8.05,-2.37,2.900000000000002,-1.6000000000000014,-1.3000000000000007,3111,-3861,-2284,-3034,2.28,3400
"Newberry, SC Micro Area",310M500US35140,38194,8336,22513,7345,21.8,58.9,19.2,116300,37593,8389,22849,6355,22.3,60.8,16.9,104500,Newberry, SC, Micro,35140,15.58,-1.47,-0.63,1.6,2.3000000000000007,-1.8999999999999986,-0.5,990,-336,-53,601,11.29,11800
"New Castle, IN Micro Area",310M500US35220,48255,9877,29387,8991,20.5,60.9,18.6,100400,49227,10373,30463,8391,21.1,61.9,17.0,92100,New Castle, IN, Micro,35220,7.15,-3.53,-4.78,-1.97,1.6000000000000014,-1.0,-0.6000000000000014,600,-1076,-496,-972,9.01,8300
"New Castle, PA Micro Area",310M500US35260,86727,17289,50778,18660,19.9,58.5,21.5,111300,89859,18687,53807,17365,20.8,59.9,19.3,97200,New Castle, PA, Micro,35260,7.46,-5.63,-7.48,-3.49,2.1999999999999993,-1.3999999999999986,-0.9000000000000021,1295,-3029,-1398,-3132,14.51,14100
"New Haven-Milford, CT Metro Area",310M500US35300,857513,174834,536938,145741,20.4,62.6,17.0,248600,863148,186761,547430,128957,21.6,63.4,14.9,250400,New Haven-Milford, CT, Metro,35300,13.02,-1.92,-6.39,-0.65,2.0999999999999996,-0.7999999999999972,-1.2000000000000028,16784,-10492,-11927,-5635,-0.72,-1800
"New Orleans-Metairie, LA Metro Area",310M500US35380,1267777,282975,790836,193966,22.3,62.4,15.3,197800,1226440,280870,787691,157879,22.9,64.2,12.9,173600,New Orleans-Metairie, LA, Metro,35380,22.86,0.4,0.75,3.37,2.4000000000000004,-1.8000000000000043,-0.5999999999999979,36087,3145,2105,41337,13.94,24200
"New Philadelphia-Dover, OH Micro Area",310M500US35420,92335,21100,53481,17754,22.9,57.9,19.2,132100,92616,21535,55269,15812,23.3,59.7,17.1,109800,New Philadelphia-Dover, OH, Micro,35420,12.28,-3.24,-2.02,-0.3,2.099999999999998,-1.8000000000000043,-0.40000000000000213,1942,-1788,-435,-281,20.31,22300
"Newport, OR Micro Area",310M500US35440,48547,8210,26803,13534,16.9,55.2,27.9,251200,46138,7965,27452,10721,17.3,59.5,23.2,221800,Newport, OR, Micro,35440,26.24,-2.36,3.08,5.22,4.699999999999999,-4.299999999999997,-0.40000000000000213,2813,-649,245,2409,13.26,29400
"Newport, TN Micro Area",310M500US35460,35552,7310,20829,7413,20.6,58.6,20.9,112900,35453,7433,21555,6465,21.0,60.8,18.2,98600,Newport, TN, Micro,35460,14.66,-3.37,-1.65,0.28,2.6999999999999993,-2.1999999999999957,-0.3999999999999986,948,-726,-123,99,14.5,14300
"New Ulm, MN Micro Area",310M500US35580,25163,5462,14458,5243,21.7,57.5,20.8,141900,25513,5549,15003,4961,21.7,58.8,19.4,123000,New Ulm, MN, Micro,35580,5.68,-3.63,-1.57,-1.37,1.4000000000000021,-1.2999999999999972,0.0,282,-545,-87,-350,15.37,18900
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",310M500US35620,19294236,4166607,12147206,2980423,21.6,63.0,15.4,450900,19865045,4453312,12716863,2694870,22.4,64.0,13.6,400000,New York-Newark-Jersey City, NY,-NJ-PA,35620,10.6,-4.48,-6.44,-2.87,1.8000000000000007,-1.0,-0.7999999999999972,285553,-569657,-286705,-570809,12.72,50900
"Nogales, AZ Micro Area",310M500US35700,46480,12710,25733,8037,27.3,55.4,17.3,151200,47250,13853,26515,6882,29.3,56.1,14.6,137800,Nogales, AZ, Micro,35700,16.78,-2.95,-8.25,-1.63,2.700000000000001,-0.7000000000000028,-2.0,1155,-782,-1143,-770,9.72,13400
"Norfolk, NE Micro Area",310M500US35740,48181,12103,28231,7847,25.1,58.6,16.3,139900,48416,12206,28655,7555,25.2,59.2,15.6,109800,Norfolk, NE, Micro,35740,3.86,-1.48,-0.84,-0.49,0.7000000000000011,-0.6000000000000014,-0.09999999999999787,292,-424,-103,-235,27.41,30100
"North Platte, NE Micro Area",310M500US35820,36585,8671,20949,6965,23.7,57.3,19.0,138100,37216,9175,21964,6077,24.7,59.0,16.3,113000,North Platte, NE, Micro,35820,14.61,-4.62,-5.49,-1.7,2.6999999999999993,-1.7000000000000028,-1.0,888,-1015,-504,-631,22.21,25100
"North Port-Sarasota-Bradenton, FL Metro Area",310M500US35840,803709,131717,417106,254886,16.4,51.9,31.7,246400,722784,126566,388169,208049,17.5,53.7,28.8,169000,North Port-Sarasota-Bradenton, FL, Metro,35840,22.51,7.45,4.07,11.2,2.8999999999999986,-1.8000000000000043,-1.1000000000000014,46837,28937,5151,80925,45.8,77400
