CBSA,GEOID,total,child,taxbase,O65,Pchild,Ptaxbase,PO65,homevalue,O*total,O*child,O*taxbase,O*O65,O*Pchild,O*Ptaxbase,O*PO65,O*homevalue,Name,State,Area,CBSAFIPS,O65percchange,taxbasepercchange,childpercchange,totalpercchange,O65sharechange,taxbasesharechange,childsharechange,O65realchange,taxbaserealchange,childrealchange,totalrealchange,homepercchange,homerealchange
"Cookeville, TN Micro Area",310M500US18260,111197,23128,68240,19829,20.8,61.4,17.8,151400,106901,23053,66465,17383,21.6,62.2,16.3,122900,Cookeville, TN, Micro,18260,14.07,2.67,0.33,4.02,1.5,-0.8000000000000043,-0.8000000000000007,2446,1775,75,4296,23.19,28500
"Coos Bay, OR Micro Area",310M500US18300,63686,11787,35676,16223,18.5,56.0,25.5,198100,62678,11695,36742,14241,18.7,58.6,22.7,172100,Coos Bay, OR, Micro,18300,13.92,-2.9,0.79,1.61,2.8000000000000007,-2.6000000000000014,-0.1999999999999993,1982,-1066,92,1008,15.11,26000
"Cordele, GA Micro Area",310M500US18380,22713,5516,13060,4137,24.3,57.5,18.2,83100,23403,5939,14040,3424,25.4,60.0,14.6,89100,Cordele, GA, Micro,18380,20.82,-6.98,-7.12,-2.95,3.5999999999999996,-2.5,-1.0999999999999979,713,-980,-423,-690,-6.73,-6000
"Corinth, MS Micro Area",310M500US18420,37090,8654,21681,6755,23.3,58.5,18.2,102700,37279,8994,22223,6062,24.1,59.6,16.3,82100,Corinth, MS, Micro,18420,11.43,-2.44,-3.78,-0.51,1.8999999999999986,-1.1000000000000014,-0.8000000000000007,693,-542,-340,-189,25.09,20600
"Cornelia, GA Micro Area",310M500US18460,44626,10018,26363,8245,22.4,59.1,18.5,150500,43342,10059,26177,7106,23.2,60.4,16.4,129800,Cornelia, GA, Micro,18460,16.03,0.71,-0.41,2.96,2.1000000000000014,-1.2999999999999972,-0.8000000000000007,1139,186,-41,1284,15.95,20700
"Corning, NY Micro Area",310M500US18500,96422,20906,57265,18251,21.7,59.4,18.9,99600,98917,22534,59938,16445,22.8,60.6,16.6,89800,Corning, NY, Micro,18500,10.98,-4.46,-7.22,-2.52,2.299999999999997,-1.2000000000000028,-1.1000000000000014,1806,-2673,-1628,-2495,10.91,9800
"Corpus Christi, TX Metro Area",310M500US18580,428548,107640,260235,60673,25.1,60.7,14.2,135900,437528,111456,267622,58450,25.5,61.2,13.4,108500,Corpus Christi, TX, Metro,18580,3.8,-2.76,-3.42,-2.05,0.7999999999999989,-0.5,-0.3999999999999986,2223,-7387,-3816,-8980,25.25,27400
"Corsicana, TX Micro Area",310M500US18620,48995,12855,27911,8229,26.2,57.0,16.8,97600,48073,12772,27965,7336,26.6,58.2,15.3,79600,Corsicana, TX, Micro,18620,12.17,-0.19,0.65,1.92,1.5,-1.2000000000000028,-0.40000000000000213,893,-54,83,922,22.61,18000
"Cortland, NY Micro Area",310M500US18660,47865,9167,31030,7668,19.2,64.8,16.0,123800,49231,9987,32282,6962,20.3,65.6,14.1,105200,Cortland, NY, Micro,18660,10.14,-3.88,-8.21,-2.77,1.9000000000000004,-0.7999999999999972,-1.1000000000000014,706,-1252,-820,-1366,17.68,18600
"Corvallis, OR Metro Area",310M500US18700,91107,14914,62048,14145,16.4,68.1,15.5,331300,86034,14799,59888,11347,17.2,69.6,13.2,268400,Corvallis, OR, Metro,18700,24.66,3.61,0.78,5.9,2.3000000000000007,-1.5,-0.8000000000000007,2798,2160,115,5073,23.44,62900
"Coshocton, OH Micro Area",310M500US18740,36585,8623,21014,6948,23.6,57.4,19.0,99200,36768,8679,21900,6189,23.6,59.6,16.8,95600,Coshocton, OH, Micro,18740,12.26,-4.05,-0.65,-0.5,2.1999999999999993,-2.200000000000003,0.0,759,-886,-56,-183,3.77,3600
"Craig, CO Micro Area",310M500US18780,13127,3361,7958,1808,25.6,60.6,13.8,182300,13286,3496,8242,1548,26.3,62.0,11.7,177700,Craig, CO, Micro,18780,16.8,-3.45,-3.86,-1.2,2.1000000000000014,-1.3999999999999986,-0.6999999999999993,260,-284,-135,-159,2.59,4600
"Crawfordsville, IN Micro Area",310M500US18820,38287,8685,22792,6810,22.7,59.5,17.8,125700,38183,8876,23167,6140,23.2,60.7,16.1,108200,Crawfordsville, IN, Micro,18820,10.91,-1.62,-2.15,0.27,1.6999999999999993,-1.2000000000000028,-0.5,670,-375,-191,104,16.17,17500
"Crescent City, CA Micro Area",310M500US18860,27495,5920,16848,4727,21.5,61.3,17.2,218800,28066,5984,17930,4152,21.3,63.9,14.8,180100,Crescent City, CA, Micro,18860,13.85,-6.03,-1.07,-2.03,2.3999999999999986,-2.6000000000000014,0.1999999999999993,575,-1082,-64,-571,21.49,38700
"Crestview-Fort Walton Beach-Destin, FL Metro Area",310M500US18880,272056,59184,167517,45355,21.8,61.6,16.7,221300,246805,53731,155661,37413,21.8,63.1,15.2,177100,Crestview-Fort Walton Beach-Destin, FL, Metro,18880,21.23,7.62,10.15,10.23,1.5,-1.5,0.0,7942,11856,5453,25251,24.96,44200
"Crossville, TN Micro Area",310M500US18900,59216,10514,30803,17899,17.8,52.0,30.2,153200,57064,10588,30674,15802,18.6,53.8,27.7,139700,Crossville, TN, Micro,18900,13.27,0.42,-0.7,3.77,2.5,-1.7999999999999972,-0.8000000000000007,2097,129,-74,2152,9.66,13500
"Decatur, IN Micro Area",310M500US19540,35376,11089,18935,5352,31.3,53.5,15.1,129300,34533,10811,18869,4853,31.3,54.6,14.1,118400,Decatur, IN, Micro,19540,10.28,0.35,2.57,2.44,1.0,-1.1000000000000014,0.0,499,66,278,843,9.21,10900
"Defiance, OH Micro Area",310M500US19580,38160,8794,22421,6945,23.0,58.8,18.2,119900,38795,9315,23266,6214,24.0,60.0,16.0,107400,Defiance, OH, Micro,19580,11.76,-3.63,-5.59,-1.64,2.1999999999999993,-1.2000000000000028,-1.0,731,-845,-521,-635,11.64,12500
"Del Rio, TX Micro Area",310M500US19620,48969,13944,28097,6928,28.5,57.4,14.1,103400,48999,14350,28272,6377,29.3,57.7,13.0,92700,Del Rio, TX, Micro,19620,8.64,-0.62,-2.83,-0.06,1.0999999999999996,-0.30000000000000426,-0.8000000000000007,551,-175,-406,-30,11.54,10700
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",310M500US19660,646288,114011,369792,162485,17.6,57.2,25.1,184200,597824,110592,350336,136896,18.5,58.6,22.9,139800,Deltona-Daytona Beach-Ormond Beach, FL, Metro,19660,18.69,5.55,3.09,8.11,2.200000000000003,-1.3999999999999986,-0.8999999999999986,25589,19456,3419,48464,31.76,44400
"Deming, NM Micro Area",310M500US19700,24083,6362,12782,4939,26.4,53.1,20.5,86900,24947,6623,13376,4948,26.5,53.6,19.8,84700,Deming, NM, Micro,19700,-0.18,-4.44,-3.94,-3.46,0.6999999999999993,-0.5,-0.10000000000000142,-9,-594,-261,-864,2.6,2200
"Denver-Aurora-Lakewood, CO Metro Area",310M500US19740,2892066,659868,1867607,364591,22.8,64.6,12.6,380900,2651392,644252,1719381,287759,24.3,64.8,10.9,253100,Denver-Aurora-Lakewood, CO, Metro,19740,26.7,8.62,2.42,9.08,1.6999999999999993,-0.20000000000000284,-1.5,76832,148226,15616,240674,50.49,127800
"DeRidder, LA Micro Area",310M500US19760,37043,9183,22160,5700,24.8,59.8,15.4,127500,36109,9212,22015,4882,25.5,61.0,13.5,97300,DeRidder, LA, Micro,19760,16.76,0.66,-0.31,2.59,1.9000000000000004,-1.2000000000000028,-0.6999999999999993,818,145,-29,934,31.04,30200
"Des Moines-West Des Moines, IA Metro Area",310M500US19780,680439,171256,417741,91442,25.2,61.4,13.4,182400,590741,152204,369928,68609,25.8,62.6,11.6,157800,Des Moines-West Des Moines, IA, Metro,19780,33.28,12.92,12.52,15.18,1.8000000000000007,-1.2000000000000028,-0.6000000000000014,22833,47813,19052,89698,15.59,24600
"Detroit-Warren-Dearborn, MI Metro Area",310M500US19820,4317848,961861,2666161,689826,22.3,61.7,16.0,170000,4292647,1009357,2684979,598311,23.5,62.5,13.9,122800,Detroit-Warren-Dearborn, MI, Metro,19820,15.3,-0.7,-4.71,0.59,2.0999999999999996,-0.7999999999999972,-1.1999999999999993,91515,-18818,-47496,25201,38.44,47200
"Dickinson, ND Micro Area",310M500US19860,32003,8238,19529,4236,25.7,61.0,13.2,237800,27038,6200,16970,3868,22.9,62.8,14.3,182200,Dickinson, ND, Micro,19860,9.51,15.08,32.87,18.36,-1.1000000000000014,-1.7999999999999972,2.8000000000000007,368,2559,2038,4965,30.52,55600
"Dixon, IL Micro Area",310M500US19940,34389,6812,21066,6511,19.8,61.3,18.9,119900,35248,7356,22055,5837,20.9,62.6,16.6,110700,Dixon, IL, Micro,19940,11.55,-4.48,-7.4,-2.44,2.299999999999997,-1.3000000000000043,-1.0999999999999979,674,-989,-544,-859,8.31,9200
"Dodge City, KS Micro Area",310M500US19980,34179,10345,20216,3618,30.3,59.1,10.6,112500,34604,10664,20450,3490,30.8,59.1,10.1,92200,Dodge City, KS, Micro,19980,3.67,-1.14,-2.99,-1.23,0.5,0.0,-0.5,128,-234,-319,-425,22.02,20300
"Cullowhee, NC Micro Area",310M500US19000,57198,10496,35728,10974,18.4,62.5,19.2,182000,40598,7075,26942,6581,17.4,66.4,16.2,173200,Cullowhee, NC, Micro,19000,66.75,32.61,48.35,40.89,3.0,-3.9000000000000057,1.0,4393,8786,3421,16600,5.08,8800
"Cumberland, MD-WV Metro Area",310M500US19060,98612,17919,60744,19949,18.2,61.6,20.2,127400,101888,18887,64199,18802,18.5,63.0,18.5,120100,Cumberland, MD,-WV Me,19060,6.1,-5.38,-5.13,-3.22,1.6999999999999993,-1.3999999999999986,-0.3000000000000007,1147,-3455,-968,-3276,6.08,7300
"Dallas-Fort Worth-Arlington, TX Metro Area",310M500US19100,7320663,1918994,4600366,801303,26.2,62.8,10.9,215700,6703020,1823803,4236547,642670,27.2,63.2,9.6,151900,Dallas-Fort Worth-Arlington, TX, Metro,19100,24.68,8.59,5.22,9.21,1.3000000000000007,-0.4000000000000057,-1.0,158633,363819,95191,617643,42.0,63800
"Dalton, GA Metro Area",310M500US19140,143961,37262,86686,20013,25.9,60.2,13.9,127100,142548,38666,86920,16962,27.1,61.0,11.9,110900,Dalton, GA, Metro,19140,17.99,-0.27,-3.63,0.99,2.0,-0.7999999999999972,-1.2000000000000028,3051,-234,-1404,1413,14.61,16200
"Danville, IL Metro Area",310M500US19180,77563,18438,44595,14530,23.8,57.5,18.7,79900,80773,19575,47737,13461,24.2,59.1,16.7,75200,Danville, IL, Metro,19180,7.94,-6.58,-5.81,-3.97,2.0,-1.6000000000000014,-0.3999999999999986,1069,-3142,-1137,-3210,6.25,4700
"Danville, KY Micro Area",310M500US19220,54448,11772,32749,9927,21.6,60.1,18.2,123600,53696,11949,32867,8880,22.3,61.2,16.5,106300,Danville, KY, Micro,19220,11.79,-0.36,-1.48,1.4,1.6999999999999993,-1.1000000000000014,-0.6999999999999993,1047,-118,-177,752,16.27,17300
"Danville, VA Micro Area",310M500US19260,102326,20674,59938,21714,20.2,58.6,21.2,111800,105659,22176,63620,19863,21.0,60.2,18.8,99100,Danville, VA, Micro,19260,9.32,-5.79,-6.77,-3.15,2.3999999999999986,-1.6000000000000014,-0.8000000000000007,1851,-3682,-1502,-3333,12.82,12700
"Daphne-Fairhope-Foley, AL Metro Area",310M500US19300,212830,46235,124064,42531,21.7,58.3,20.0,197900,191205,43186,114237,33782,22.6,59.7,17.7,168800,Daphne-Fairhope-Foley, AL, Metro,19300,25.9,8.6,7.06,11.31,2.3000000000000007,-1.4000000000000057,-0.9000000000000021,8749,9827,3049,21625,17.24,29100
"Davenport-Moline-Rock Island, IA-IL Metro Area",310M500US19340,381175,87662,225981,67532,23.0,59.3,17.7,136200,381913,88870,233200,59843,23.3,61.1,15.7,124600,Davenport-Moline-Rock Island, IA,-IL Me,19340,12.85,-3.1,-1.36,-0.19,2.0,-1.8000000000000043,-0.3000000000000007,7689,-7219,-1208,-738,9.31,11600
"Dayton, TN Micro Area",310M500US19420,32719,7592,19244,5883,23.2,58.8,18.0,122600,32272,7496,19394,5382,23.2,60.1,16.7,102100,Dayton, TN, Micro,19420,9.31,-0.77,1.28,1.39,1.3000000000000007,-1.3000000000000043,0.0,501,-150,96,447,20.08,20500
"Decatur, AL Metro Area",310M500US19460,152271,34550,91311,26410,22.7,60.0,17.3,131000,153579,35719,94784,23076,23.3,61.7,15.0,114700,Decatur, AL, Metro,19460,14.45,-3.66,-3.27,-0.85,2.3000000000000007,-1.7000000000000028,-0.6000000000000014,3334,-3473,-1169,-1308,14.21,16300
"Decatur, IL Metro Area",310M500US19500,105528,23520,61515,20493,22.3,58.3,19.4,98400,109833,24761,66384,18688,22.5,60.4,17.0,94000,Decatur, IL, Metro,19500,9.66,-7.33,-5.01,-3.92,2.3999999999999986,-2.1000000000000014,-0.1999999999999993,1805,-4869,-1241,-4305,4.68,4400
"Dothan, AL Metro Area",310M500US20020,148252,33767,87373,27112,22.8,58.9,18.3,127500,147165,34561,88660,23944,23.5,60.2,16.3,107400,Dothan, AL, Metro,20020,13.23,-1.45,-2.3,0.74,2.0,-1.3000000000000043,-0.6999999999999993,3168,-1287,-794,1087,18.72,20100
"Douglas, GA Micro Area",310M500US20060,51260,12782,31488,6990,24.9,61.4,13.6,90800,42947,10834,27047,5066,25.2,63.0,11.8,79700,Douglas, GA, Micro,20060,37.98,16.42,17.98,19.36,1.799999999999999,-1.6000000000000014,-0.3000000000000007,1924,4441,1948,8313,13.93,11100
"Dover, DE Metro Area",310M500US20100,176699,40761,106521,29417,23.1,60.3,16.6,220600,167477,40488,102620,24369,24.2,61.3,14.6,200200,Dover, DE, Metro,20100,20.71,3.8,0.67,5.51,2.0000000000000018,-1.0,-1.0999999999999979,5048,3901,273,9222,10.19,20400
"Dublin, GA Micro Area",310M500US20140,63891,15051,37501,11339,23.6,58.7,17.7,86300,57878,14076,34977,8825,24.3,60.4,15.2,82100,Dublin, GA, Micro,20140,28.49,7.22,6.93,10.39,2.5,-1.6999999999999957,-0.6999999999999993,2514,2524,975,6013,5.12,4200
"DuBois, PA Micro Area",310M500US20180,79908,14877,48934,16097,18.6,61.2,20.1,96100,81472,15651,51082,14739,19.2,62.7,18.1,87100,DuBois, PA, Micro,20180,9.21,-4.21,-4.95,-1.92,2.0,-1.5,-0.5999999999999979,1358,-2148,-774,-1564,10.33,9000
"Dubuque, IA Metro Area",310M500US20220,96982,22203,58001,16778,22.9,59.8,17.3,166800,95166,22178,58179,14809,23.3,61.1,15.6,146500,Dubuque, IA, Metro,20220,13.3,-0.31,0.11,1.91,1.700000000000001,-1.3000000000000043,-0.40000000000000213,1969,-178,25,1816,13.86,20300
"Duluth, MN-WI Metro Area",310M500US20260,289247,56650,178402,54195,19.6,61.7,18.7,158900,279894,56518,178130,45246,20.2,63.6,16.2,139600,Duluth, MN,-WI Me,20260,19.78,0.15,0.23,3.34,2.5,-1.8999999999999986,-0.5999999999999979,8949,272,132,9353,13.83,19300
"Dumas, TX Micro Area",310M500US20300,21399,6744,12372,2283,31.5,57.8,10.7,121900,22172,7023,12984,2165,31.7,58.6,9.8,87600,Dumas, TX, Micro,20300,5.45,-4.71,-3.97,-3.49,0.8999999999999986,-0.8000000000000043,-0.1999999999999993,118,-612,-279,-773,39.16,34300
"Duncan, OK Micro Area",310M500US20340,43647,10167,25114,8366,23.3,57.5,19.2,107700,44900,10774,26230,7896,24.0,58.4,17.6,95100,Duncan, OK, Micro,20340,5.95,-4.25,-5.63,-2.79,1.5999999999999979,-0.8999999999999986,-0.6999999999999993,470,-1116,-607,-1253,13.25,12600
"Durango, CO Micro Area",310M500US20420,55617,10610,35857,9150,19.1,64.5,16.5,395600,52547,10460,35304,6783,19.9,67.2,12.9,333100,Durango, CO, Micro,20420,34.9,1.57,1.43,5.84,3.5999999999999996,-2.700000000000003,-0.7999999999999972,2367,553,150,3070,18.76,62500
"Durant, OK Micro Area",310M500US20460,46457,10916,27337,8204,23.5,58.8,17.7,117400,43595,10179,26250,7166,23.3,60.2,16.4,87900,Durant, OK, Micro,20460,14.49,4.14,7.24,6.56,1.3000000000000007,-1.4000000000000057,0.1999999999999993,1038,1087,737,2862,33.56,29500
"Durham-Chapel Hill, NC Metro Area",310M500US20500,626695,129563,404019,93113,20.7,64.5,14.9,226100,525050,113489,347645,63916,21.6,66.2,12.2,194100,Durham-Chapel Hill, NC, Metro,20500,45.68,16.22,14.16,19.36,2.700000000000001,-1.7000000000000028,-0.9000000000000021,29197,56374,16074,101645,16.49,32000
"Dyersburg, TN Micro Area",310M500US20540,37416,8952,22033,6431,23.9,58.9,17.2,103800,38156,9324,22955,5877,24.4,60.2,15.4,99800,Dyersburg, TN, Micro,20540,9.43,-4.02,-3.99,-1.94,1.799999999999999,-1.3000000000000043,-0.5,554,-922,-372,-740,4.01,4000
"Eagle Pass, TX Micro Area",310M500US20580,58174,18326,33144,6704,31.5,57.0,11.5,97900,55821,18224,31507,6090,32.6,56.4,10.9,85900,Eagle Pass, TX, Micro,20580,10.08,5.2,0.56,4.22,0.5999999999999996,0.6000000000000014,-1.1000000000000014,614,1637,102,2353,13.97,12000
"Easton, MD Micro Area",310M500US20660,37167,6857,19715,10595,18.4,53.0,28.5,336800,37894,7182,21167,9545,19.0,55.9,25.2,324100,Easton, MD, Micro,20660,11.0,-6.86,-4.53,-1.92,3.3000000000000007,-2.8999999999999986,-0.6000000000000014,1050,-1452,-325,-727,3.92,12700
"East Stroudsburg, PA Metro Area",310M500US20700,168032,33335,106423,28274,19.8,63.3,16.8,168000,168342,37665,107284,23393,22.4,63.7,13.9,183100,East Stroudsburg, PA, Metro,20700,20.87,-0.8,-11.5,-0.18,2.9000000000000004,-0.4000000000000057,-2.599999999999998,4881,-861,-4330,-310,-8.25,-15100
"Eau Claire, WI Metro Area",310M500US20740,167406,35210,105357,26839,21.0,62.9,16.0,168600,163658,35374,105381,22903,21.6,64.4,14.0,148600,Eau Claire, WI, Metro,20740,17.19,-0.02,-0.46,2.29,2.0,-1.500000000000007,-0.6000000000000014,3936,-24,-164,3748,13.46,20000
"Edwards, CO Micro Area",310M500US20780,54681,11993,36811,5877,21.9,67.3,10.7,562300,52233,12317,36337,3579,23.6,69.6,6.9,435600,Edwards, CO, Micro,20780,64.21,1.3,-2.63,4.69,3.799999999999999,-2.299999999999997,-1.7000000000000028,2298,474,-324,2448,29.09,126700
"Effingham, IL Micro Area",310M500US20820,34137,8094,20192,5851,23.7,59.1,17.1,143600,34280,8297,20505,5478,24.2,59.8,16.0,118400,Effingham, IL, Micro,20820,6.81,-1.53,-2.45,-0.42,1.1000000000000014,-0.6999999999999957,-0.5,373,-313,-203,-143,21.28,25200
"El Campo, TX Micro Area",310M500US20900,41577,10802,23856,6919,26.0,57.4,16.6,128100,41219,10837,24141,6241,26.3,58.6,15.1,96900,El Campo, TX, Micro,20900,10.86,-1.18,-0.32,0.87,1.5000000000000018,-1.2000000000000028,-0.3000000000000007,678,-285,-35,358,32.2,31200
"El Centro, CA Metro Area",310M500US20940,180701,51853,106007,22841,28.7,58.7,12.6,195800,177026,50993,106212,19821,28.8,60.0,11.2,145200,El Centro, CA, Metro,20940,15.24,-0.19,1.69,2.08,1.4000000000000004,-1.2999999999999972,-0.10000000000000142,3020,-205,860,3675,34.85,50600
"El Dorado, AR Micro Area",310M500US20980,39449,9527,23118,6804,24.2,58.6,17.2,86500,40954,9740,24589,6625,23.8,60.0,16.2,72800,El Dorado, AR, Micro,20980,2.7,-5.98,-2.19,-3.67,1.0,-1.3999999999999986,0.3999999999999986,179,-1471,-213,-1505,18.82,13700
"Elizabeth City, NC Micro Area",310M500US21020,52944,11349,31440,10155,21.4,59.4,19.2,166100,63867,14156,39368,10343,22.2,61.6,16.2,169700,Elizabeth City, NC, Micro,21020,-1.82,-20.14,-19.83,-17.1,3.0,-2.200000000000003,-0.8000000000000007,-188,-7928,-2807,-10923,-2.12,-3600
"Elizabethtown-Fort Knox, KY Metro Area",310M500US21060,150913,36357,93336,21220,24.1,61.8,14.1,152700,150917,38292,94827,17798,25.4,62.8,11.8,135200,Elizabethtown-Fort Knox, KY, Metro,21060,19.23,-1.57,-5.05,-0.0,2.299999999999999,-1.0,-1.2999999999999972,3422,-1491,-1935,-4,12.94,17500
"Elk City, OK Micro Area",310M500US21120,22268,5564,13694,3010,25.0,61.5,13.5,128400,22941,5672,14480,2789,24.7,63.1,12.2,110600,Elk City, OK, Micro,21120,7.92,-5.43,-1.9,-2.93,1.3000000000000007,-1.6000000000000014,0.3000000000000007,221,-786,-108,-673,16.09,17800
"Elkhart-Goshen, IN Metro Area",310M500US21140,204558,56724,118591,29243,27.7,58.0,14.3,144300,199544,56311,117912,25321,28.2,59.1,12.7,122600,Elkhart-Goshen, IN, Metro,21140,15.49,0.58,0.73,2.51,1.6000000000000014,-1.1000000000000014,-0.5,3922,679,413,5014,17.7,21700
"Elkins, WV Micro Area",310M500US21180,28930,5540,17277,6113,19.1,59.7,21.1,110300,29446,5791,18147,5508,19.7,61.6,18.7,98600,Elkins, WV, Micro,21180,10.98,-4.79,-4.33,-1.75,2.400000000000002,-1.8999999999999986,-0.5999999999999979,605,-870,-251,-516,11.87,11700
"Elko, NV Micro Area",310M500US21220,54156,14760,33318,6078,27.3,61.5,11.2,210300,52752,14984,33055,4713,28.4,62.7,8.9,180300,Elko, NV, Micro,21220,28.96,0.8,-1.49,2.66,2.299999999999999,-1.2000000000000028,-1.0999999999999979,1365,263,-224,1404,16.64,30000
