CBSA,GEOID,total,mtotal,mu5,ftotal,fu5,tu5,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmu5,Pfu5,Ptu5,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,Name,State,CBSAFIPS
"Homosassa Springs, FL Metro Area",310M200US26140,139771,67497,2639,72274,2793,5432,8173,7883,16056,6988,6343,13331,5370,5215,10585,6820,7810,14630,15045,17739,32784,22462,24491,46953,1.9,2.0,3.9,5.8,5.6,11.5,5.0,4.5,9.5,3.8,3.7,7.6,4.9,5.6,10.5,10.8,12.7,23.5,16.1,17.5,33.6,Homosassa Springs, FL,26140
"Hickory-Lenoir-Morganton, NC Metro Area",310M200US25860,363936,180006,10129,183930,9973,20102,31202,29556,60758,26522,24083,50605,22002,21270,43272,26945,26560,53505,37452,39289,76741,25754,33199,58953,2.8,2.7,5.5,8.6,8.1,16.7,7.3,6.6,13.9,6.0,5.8,11.9,7.4,7.3,14.7,10.3,10.8,21.1,7.1,9.1,16.2,Hickory-Lenoir-Morganton, NC,25860
"Hobbs, NM Micro Area",310M200US26020,66876,34219,2909,32657,2881,5790,7194,6948,14142,6207,5476,11683,4797,4318,9115,4182,3617,7799,5624,5562,11186,3306,3855,7161,4.3,4.3,8.7,10.8,10.4,21.1,9.3,8.2,17.5,7.2,6.5,13.6,6.3,5.4,11.7,8.4,8.3,16.7,4.9,5.8,10.7,Hobbs, NM,26020
"Holland, MI Micro Area",310M200US26090,112266,55910,3599,56356,3468,7067,11033,10444,21477,7422,7258,14680,6575,6561,13136,7933,7865,15798,12100,12175,24275,7248,8585,15833,3.2,3.1,6.3,9.8,9.3,19.1,6.6,6.5,13.1,5.9,5.8,11.7,7.1,7.0,14.1,10.8,10.8,21.6,6.5,7.6,14.1,Holland, MI,26090
"Hood River, OR Micro Area",310M200US26220,22620,11169,800,11451,716,1516,2050,2176,4226,1641,1481,3122,1267,1505,2772,1776,1568,3344,2276,2274,4550,1359,1731,3090,3.5,3.2,6.7,9.1,9.6,18.7,7.3,6.5,13.8,5.6,6.7,12.3,7.9,6.9,14.8,10.1,10.1,20.1,6.0,7.7,13.7,Hood River, OR,26220
"Hot Springs, AR Metro Area",310M200US26300,96804,46955,2884,49849,2470,5354,7635,7236,14871,6359,6438,12797,5506,5532,11038,5503,5977,11480,9828,10810,20638,9240,11386,20626,3.0,2.6,5.5,7.9,7.5,15.4,6.6,6.7,13.2,5.7,5.7,11.4,5.7,6.2,11.9,10.2,11.2,21.3,9.5,11.8,21.3,Hot Springs, AR,26300
"Houghton, MI Micro Area",310M200US26340,38936,21155,1134,17781,976,2110,3062,2773,5835,6523,3424,9947,1838,1689,3527,2052,2029,4081,3645,3545,7190,2901,3345,6246,2.9,2.5,5.4,7.9,7.1,15.0,16.8,8.8,25.5,4.7,4.3,9.1,5.3,5.2,10.5,9.4,9.1,18.5,7.5,8.6,16.0,Houghton, MI,26340
"Houma-Thibodaux, LA Metro Area",310M200US26380,209402,103596,7610,105806,6893,14503,19263,18427,37690,17990,17977,35967,13453,13397,26850,14107,14380,28487,19704,20240,39944,11469,14492,25961,3.6,3.3,6.9,9.2,8.8,18.0,8.6,8.6,17.2,6.4,6.4,12.8,6.7,6.9,13.6,9.4,9.7,19.1,5.5,6.9,12.4,Houma-Thibodaux, LA,26380
"Houston-The Woodlands-Sugar Land, TX Metro Area",310M200US26420,6204141,3083945,243155,3120196,233450,476605,625479,598481,1223960,541479,519659,1061138,458876,461786,920662,428213,433192,861405,533845,554486,1088331,252898,319142,572040,3.9,3.8,7.7,10.1,9.6,19.7,8.7,8.4,17.1,7.4,7.4,14.8,6.9,7.0,13.9,8.6,8.9,17.5,4.1,5.1,9.2,Houston-The Woodlands-Sugar Land, TX,26420
"Hudson, NY Micro Area",310M200US26460,62525,31495,1468,31030,1326,2794,4973,4286,9259,4145,3727,7872,3257,2866,6123,4223,4650,8873,7824,7648,15472,5605,6527,12132,2.3,2.1,4.5,8.0,6.9,14.8,6.6,6.0,12.6,5.2,4.6,9.8,6.8,7.4,14.2,12.5,12.2,24.7,9.0,10.4,19.4,Hudson, NY,26460
"Huntingdon, PA Micro Area",310M200US26500,45950,24221,1179,21729,1068,2247,3278,3298,6576,3961,3174,7135,3562,2092,5654,3517,3018,6535,5074,4640,9714,3650,4439,8089,2.6,2.3,4.9,7.1,7.2,14.3,8.6,6.9,15.5,7.8,4.6,12.3,7.7,6.6,14.2,11.0,10.1,21.1,7.9,9.7,17.6,Huntingdon, PA,26500
"Huntington, IN Micro Area",310M200US26540,36959,18188,1084,18771,1037,2121,3260,3068,6328,2906,2966,5872,2143,2049,4192,2507,2503,5010,3904,3906,7810,2384,3242,5626,2.9,2.8,5.7,8.8,8.3,17.1,7.9,8.0,15.9,5.8,5.5,11.3,6.8,6.8,13.6,10.6,10.6,21.1,6.5,8.8,15.2,Huntington, IN,26540
"Huntington-Ashland, WV-KY-OH Metro Area",310M200US26580,364514,178081,10561,186433,10242,20803,29931,28414,58345,26542,26590,53132,22401,22778,45179,24821,24512,49333,37332,39780,77112,26493,34117,60610,2.9,2.8,5.7,8.2,7.8,16.0,7.3,7.3,14.6,6.1,6.2,12.4,6.8,6.7,13.5,10.2,10.9,21.2,7.3,9.4,16.6,Huntington-Ashland, WV,26580
"Huntsville, AL Metro Area",310M200US26620,430396,212007,13370,218389,12748,26118,37326,36124,73450,36495,34792,71287,27577,27324,54901,30486,32087,62573,42547,43931,86478,24206,31383,55589,3.1,3.0,6.1,8.7,8.4,17.1,8.5,8.1,16.6,6.4,6.3,12.8,7.1,7.5,14.5,9.9,10.2,20.1,5.6,7.3,12.9,Huntsville, AL,26620
"Huntsville, TX Micro Area",310M200US26660,83334,47606,1868,35728,1861,3729,5156,5087,10243,11010,9242,20252,6985,3689,10674,7915,3708,11623,9433,6394,15827,5239,5747,10986,2.2,2.2,4.5,6.2,6.1,12.3,13.2,11.1,24.3,8.4,4.4,12.8,9.5,4.4,13.9,11.3,7.7,19.0,6.3,6.9,13.2,Huntsville, TX,26660
"Huron, SD Micro Area",310M200US26700,17922,8966,630,8956,687,1317,1624,1446,3070,1364,1370,2734,1180,978,2158,939,950,1889,1962,1849,3811,1267,1676,2943,3.5,3.8,7.3,9.1,8.1,17.1,7.6,7.6,15.3,6.6,5.5,12.0,5.2,5.3,10.5,10.9,10.3,21.3,7.1,9.4,16.4,Huron, SD,26700
"Hutchinson, KS Micro Area",310M200US26740,64223,32180,2011,32043,2027,4038,5538,5410,10948,5396,4469,9865,3926,3493,7419,3932,3683,7615,6549,6589,13138,4828,6372,11200,3.1,3.2,6.3,8.6,8.4,17.0,8.4,7.0,15.4,6.1,5.4,11.6,6.1,5.7,11.9,10.2,10.3,20.5,7.5,9.9,17.4,Hutchinson, KS,26740
"Hutchinson, MN Micro Area",310M200US26780,36172,17949,1164,18223,1067,2231,3385,3249,6634,2452,2330,4782,2370,2299,4669,2387,2248,4635,3642,3620,7262,2549,3410,5959,3.2,2.9,6.2,9.4,9.0,18.3,6.8,6.4,13.2,6.6,6.4,12.9,6.6,6.2,12.8,10.1,10.0,20.1,7.0,9.4,16.5,Hutchinson, MN,26780
"Idaho Falls, ID Metro Area",310M200US26820,136057,67788,6253,68269,6273,12526,15774,15150,30924,10251,10244,20495,9423,9299,18722,7621,7381,15002,11522,11547,23069,6944,8375,15319,4.6,4.6,9.2,11.6,11.1,22.7,7.5,7.5,15.1,6.9,6.8,13.8,5.6,5.4,11.0,8.5,8.5,17.0,5.1,6.2,11.3,Idaho Falls, ID,26820
"Indiana, PA Micro Area",310M200US26860,88301,44329,2290,43972,2018,4308,6241,5817,12058,10563,9702,20265,4610,4110,8720,5026,5234,10260,9304,9039,18343,6295,8052,14347,2.6,2.3,4.9,7.1,6.6,13.7,12.0,11.0,22.9,5.2,4.7,9.9,5.7,5.9,11.6,10.5,10.2,20.8,7.1,9.1,16.2,Indiana, PA,26860
"Indianapolis-Carmel-Anderson, IN Metro Area",310M200US26900,1931182,943352,68723,987830,65863,134586,183641,175181,358822,151789,156246,308035,132643,134048,266691,133876,138258,272134,175841,188222,364063,96839,130012,226851,3.6,3.4,7.0,9.5,9.1,18.6,7.9,8.1,16.0,6.9,6.9,13.8,6.9,7.2,14.1,9.1,9.7,18.9,5.0,6.7,11.7,Indianapolis-Carmel-Anderson, IN,26900
"Indianola, MS Micro Area",310M200US26940,28314,14885,942,13429,974,1916,2468,2375,4843,3279,2400,5679,2297,1571,3868,2089,1674,3763,2578,2592,5170,1232,1843,3075,3.3,3.4,6.8,8.7,8.4,17.1,11.6,8.5,20.1,8.1,5.5,13.7,7.4,5.9,13.3,9.1,9.2,18.3,4.4,6.5,10.9,Indianola, MS,26940
"Ionia, MI Micro Area",310M200US26960,63976,34023,2031,29953,1840,3871,6072,5755,11827,5823,4092,9915,4840,3648,8488,5175,4259,9434,6572,6120,12692,3510,4239,7749,3.2,2.9,6.1,9.5,9.0,18.5,9.1,6.4,15.5,7.6,5.7,13.3,8.1,6.7,14.7,10.3,9.6,19.8,5.5,6.6,12.1,Ionia, MI,26960
"Iowa City, IA Metro Area",310M200US26980,158708,79081,5064,79627,4657,9721,11777,11285,23062,22418,22061,44479,11055,10195,21250,8637,8795,17432,12904,13487,26391,7226,9147,16373,3.2,2.9,6.1,7.4,7.1,14.5,14.1,13.9,28.0,7.0,6.4,13.4,5.4,5.5,11.0,8.1,8.5,16.6,4.6,5.8,10.3,Iowa City, IA,26980
"Iron Mountain, MI-WI Micro Area",310M200US27020,30570,15266,774,15304,758,1532,2420,2275,4695,1835,1723,3558,1571,1389,2960,2079,2120,4199,3841,3732,7573,2746,3307,6053,2.5,2.5,5.0,7.9,7.4,15.4,6.0,5.6,11.6,5.1,4.5,9.7,6.8,6.9,13.7,12.6,12.2,24.8,9.0,10.8,19.8,Iron Mountain, MI,27020
"Ithaca, NY Metro Area",310M200US27060,103179,50835,2328,52344,2111,4439,6202,5715,11917,18058,17416,35474,5742,5897,11639,5037,5265,10302,8403,9253,17656,5065,6687,11752,2.3,2.0,4.3,6.0,5.5,11.5,17.5,16.9,34.4,5.6,5.7,11.3,4.9,5.1,10.0,8.1,9.0,17.1,4.9,6.5,11.4,Ithaca, NY,27060
"Jackson, MI Metro Area",310M200US27100,159927,81870,4749,78057,4353,9102,13905,13093,26998,12835,11407,24242,10596,8699,19295,11758,10295,22053,17396,16868,34264,10631,13342,23973,3.0,2.7,5.7,8.7,8.2,16.9,8.0,7.1,15.2,6.6,5.4,12.1,7.4,6.4,13.8,10.9,10.5,21.4,6.6,8.3,15.0,Jackson, MI,27100
"Jackson, MS Metro Area",310M200US27140,574998,275827,20018,299171,19457,39475,54587,52090,106677,48061,50576,98637,36471,41056,77527,37430,38278,75708,50800,57362,108162,28460,40352,68812,3.5,3.4,6.9,9.5,9.1,18.6,8.4,8.8,17.2,6.3,7.1,13.5,6.5,6.7,13.2,8.8,10.0,18.8,4.9,7.0,12.0,Jackson, MS,27140
"Jackson, OH Micro Area",310M200US27160,32952,16094,1089,16858,984,2073,3003,2858,5861,2350,2348,4698,2003,1980,3983,2198,2270,4468,3350,3567,6917,2101,2851,4952,3.3,3.0,6.3,9.1,8.7,17.8,7.1,7.1,14.3,6.1,6.0,12.1,6.7,6.9,13.6,10.2,10.8,21.0,6.4,8.7,15.0,Jackson, OH,27160
"Jackson, TN Metro Area",310M200US27180,130233,61748,4134,68485,4293,8427,11120,10854,21974,10982,11997,22979,7329,7765,15094,8066,9080,17146,12143,13596,25739,7974,10900,18874,3.2,3.3,6.5,8.5,8.3,16.9,8.4,9.2,17.6,5.6,6.0,11.6,6.2,7.0,13.2,9.3,10.4,19.8,6.1,8.4,14.5,Jackson, TN,27180
"Jackson, WY-ID Micro Area",310M200US27220,32168,16783,977,15385,1220,2197,2668,2286,4954,2640,2320,4960,3128,2721,5849,2602,2158,4760,3181,3119,6300,1587,1561,3148,3.0,3.8,6.8,8.3,7.1,15.4,8.2,7.2,15.4,9.7,8.5,18.2,8.1,6.7,14.8,9.9,9.7,19.6,4.9,4.9,9.8,Jackson, WY,27220
"Jacksonville, FL Metro Area",310M200US27260,1380995,672155,44416,708840,42863,87279,119192,114479,233671,115946,113425,229371,86559,92628,179187,94693,98123,192816,132072,144995,277067,79277,102327,181604,3.2,3.1,6.3,8.6,8.3,16.9,8.4,8.2,16.6,6.3,6.7,13.0,6.9,7.1,14.0,9.6,10.5,20.1,5.7,7.4,13.2,Jacksonville, FL,27260
"Jacksonville, IL Micro Area",310M200US27300,40532,20319,1226,20213,958,2184,3232,3082,6314,3468,3074,6542,2481,2121,4602,2672,2574,5246,4220,4286,8506,3020,4118,7138,3.0,2.4,5.4,8.0,7.6,15.6,8.6,7.6,16.1,6.1,5.2,11.4,6.6,6.4,12.9,10.4,10.6,21.0,7.5,10.2,17.6,Jacksonville, IL,27300
"Jacksonville, NC Metro Area",310M200US27340,182921,98843,9160,84078,8811,17971,14432,14295,28727,38555,21466,60021,11751,11095,22846,8086,8728,16814,10483,11548,22031,6376,8135,14511,5.0,4.8,9.8,7.9,7.8,15.7,21.1,11.7,32.8,6.4,6.1,12.5,4.4,4.8,9.2,5.7,6.3,12.0,3.5,4.4,7.9,Jacksonville, NC,27340
"Jacksonville, TX Micro Area",310M200US27380,50971,25930,1813,25041,1702,3515,4914,4677,9591,4169,3582,7751,3232,2798,6030,3298,3072,6370,4988,4847,9835,3516,4363,7879,3.6,3.3,6.9,9.6,9.2,18.8,8.2,7.0,15.2,6.3,5.5,11.8,6.5,6.0,12.5,9.8,9.5,19.3,6.9,8.6,15.5,Jacksonville, TX,27380
"Jamestown, ND Micro Area",310M200US27420,21056,10669,593,10387,607,1200,1602,1525,3127,1836,1580,3416,1383,1084,2467,1290,1197,2487,2410,2344,4754,1555,2050,3605,2.8,2.9,5.7,7.6,7.2,14.9,8.7,7.5,16.2,6.6,5.1,11.7,6.1,5.7,11.8,11.4,11.1,22.6,7.4,9.7,17.1,Jamestown, ND,27420
"Jamestown-Dunkirk-Fredonia, NY Micro Area",310M200US27460,133556,66053,3696,67503,3536,7232,10937,10279,21216,11547,10903,22450,7071,7114,14185,8238,8171,16409,14495,14548,29043,10069,12952,23021,2.8,2.6,5.4,8.2,7.7,15.9,8.6,8.2,16.8,5.3,5.3,10.6,6.2,6.1,12.3,10.9,10.9,21.7,7.5,9.7,17.2,Jamestown-Dunkirk-Fredonia, NY,27460
"Janesville-Beloit, WI Metro Area",310M200US27500,160465,78798,5059,81667,4921,9980,14837,14211,29048,11805,11809,23614,10060,9843,19903,11032,11444,22476,16070,16440,32510,9935,12999,22934,3.2,3.1,6.2,9.2,8.9,18.1,7.4,7.4,14.7,6.3,6.1,12.4,6.9,7.1,14.0,10.0,10.2,20.3,6.2,8.1,14.3,Janesville-Beloit, WI,27500
"Jasper, IN Micro Area",310M200US27540,54903,27389,1748,27514,1657,3405,5017,4943,9960,3426,3275,6701,3212,3082,6294,4032,3627,7659,6152,5944,12096,3802,4986,8788,3.2,3.0,6.2,9.1,9.0,18.1,6.2,6.0,12.2,5.9,5.6,11.5,7.3,6.6,14.0,11.2,10.8,22.0,6.9,9.1,16.0,Jasper, IN,27540
"Jayuya, PR Micro Area",310M200US27580,16183,8084,542,8099,501,1043,1631,1502,3133,1519,1407,2926,1036,998,2034,992,1131,2123,1427,1456,2883,937,1104,2041,3.3,3.1,6.4,10.1,9.3,19.4,9.4,8.7,18.1,6.4,6.2,12.6,6.1,7.0,13.1,8.8,9.0,17.8,5.8,6.8,12.6,Jayuya, PR,27580
"Jefferson, GA Micro Area",310M200US27600,60928,30207,2145,30721,2028,4173,6038,5707,11745,4260,4183,8443,3821,4018,7839,5167,4641,9808,5360,5868,11228,3416,4276,7692,3.5,3.3,6.8,9.9,9.4,19.3,7.0,6.9,13.9,6.3,6.6,12.9,8.5,7.6,16.1,8.8,9.6,18.4,5.6,7.0,12.6,Jefferson, GA,27600
"Jefferson City, MO Metro Area",310M200US27620,150440,76821,4643,73619,4504,9147,13122,12619,25741,12791,11515,24306,11075,8894,19969,10728,9724,20452,15419,15060,30479,9043,11303,20346,3.1,3.0,6.1,8.7,8.4,17.1,8.5,7.7,16.2,7.4,5.9,13.3,7.1,6.5,13.6,10.2,10.0,20.3,6.0,7.5,13.5,Jefferson City, MO,27620
"Jesup, GA Micro Area",310M200US27700,30170,15545,1008,14625,1013,2021,2741,2638,5379,2387,2076,4463,2424,1820,4244,2252,1936,4188,2907,2848,5755,1826,2294,4120,3.3,3.4,6.7,9.1,8.7,17.8,7.9,6.9,14.8,8.0,6.0,14.1,7.5,6.4,13.9,9.6,9.4,19.1,6.1,7.6,13.7,Jesup, GA,27700
"Johnson City, TN Metro Area",310M200US27740,200271,97558,5197,102713,5042,10239,14771,14496,29267,16526,17191,33717,11663,12213,23876,14183,13295,27478,19968,21428,41396,15250,19048,34298,2.6,2.5,5.1,7.4,7.2,14.6,8.3,8.6,16.8,5.8,6.1,11.9,7.1,6.6,13.7,10.0,10.7,20.7,7.6,9.5,17.1,Johnson City, TN,27740
"Johnstown, PA Metro Area",310M200US27780,140835,69499,3567,71336,3448,7015,10462,9933,20395,10603,9871,20474,8162,7473,15635,9004,8561,17565,16266,16106,32372,11435,15944,27379,2.5,2.4,5.0,7.4,7.1,14.5,7.5,7.0,14.5,5.8,5.3,11.1,6.4,6.1,12.5,11.5,11.4,23.0,8.1,11.3,19.4,Johnstown, PA,27780
"Jonesboro, AR Metro Area",310M200US27860,124194,60689,4539,63505,4118,8657,11375,10660,22035,11743,11835,23578,8031,8143,16174,7652,7924,15576,10337,11463,21800,7012,9362,16374,3.7,3.3,7.0,9.2,8.6,17.7,9.5,9.5,19.0,6.5,6.6,13.0,6.2,6.4,12.5,8.3,9.2,17.6,5.6,7.5,13.2,Jonesboro, AR,27860
"Joplin, MO Metro Area",310M200US27900,175679,86090,6447,89589,6023,12470,16350,15787,32137,14171,14157,28328,10772,10949,21721,11127,11280,22407,16153,16964,33117,11070,14429,25499,3.7,3.4,7.1,9.3,9.0,18.3,8.1,8.1,16.1,6.1,6.2,12.4,6.3,6.4,12.8,9.2,9.7,18.9,6.3,8.2,14.5,Joplin, MO,27900
"Junction City, KS Micro Area",310M200US27920,36458,18745,2161,17713,2035,4196,3729,3314,7043,5353,4514,9867,2751,2724,5475,1697,1633,3330,1906,1995,3901,1148,1498,2646,5.9,5.6,11.5,10.2,9.1,19.3,14.7,12.4,27.1,7.5,7.5,15.0,4.7,4.5,9.1,5.2,5.5,10.7,3.1,4.1,7.3,Junction City, KS,27920
"Juneau, AK Micro Area",310M200US27940,32200,16585,1036,15615,940,1976,2811,2544,5355,2768,2597,5365,2144,2308,4452,2503,2100,4603,3908,3536,7444,1415,1590,3005,3.2,2.9,6.1,8.7,7.9,16.6,8.6,8.1,16.7,6.7,7.2,13.8,7.8,6.5,14.3,12.1,11.0,23.1,4.4,4.9,9.3,Juneau, AK,27940
"Kahului-Wailuku-Lahaina, HI Metro Area",310M200US27980,158887,79713,5193,79174,4886,10079,13201,12737,25938,11606,10738,22344,10795,10253,21048,11234,11088,22322,17531,17415,34946,10153,12057,22210,3.3,3.1,6.3,8.3,8.0,16.3,7.3,6.8,14.1,6.8,6.5,13.2,7.1,7.0,14.0,11.0,11.0,22.0,6.4,7.6,14.0,Kahului-Wailuku-Lahaina, HI,27980
"Aberdeen, SD Micro Area",310M200US10100,41564,20330,1371,21234,1236,2607,3555,3560,7115,3500,3386,6886,2172,2316,4488,2736,2502,5238,4105,4329,8434,2891,3905,6796,3.3,3.0,6.3,8.6,8.6,17.1,8.4,8.1,16.6,5.2,5.6,10.8,6.6,6.0,12.6,9.9,10.4,20.3,7.0,9.4,16.4,Aberdeen, SD,10100
"Aberdeen, WA Micro Area",310M200US10140,71734,36900,2146,34834,1960,4106,5546,5513,11059,5597,4547,10144,4828,3834,8662,4519,4107,8626,8341,8269,16610,5923,6604,12527,3.0,2.7,5.7,7.7,7.7,15.4,7.8,6.3,14.1,6.7,5.3,12.1,6.3,5.7,12.0,11.6,11.5,23.2,8.3,9.2,17.5,Aberdeen, WA,10140
"Abilene, TX Metro Area",310M200US10180,167171,84591,5905,82580,5693,11598,14110,13679,27789,18977,16274,35251,10548,9022,19570,10490,9688,20178,14446,14895,29341,10115,13329,23444,3.5,3.4,6.9,8.4,8.2,16.6,11.4,9.7,21.1,6.3,5.4,11.7,6.3,5.8,12.1,8.6,8.9,17.6,6.1,8.0,14.0,Abilene, TX,10180
"Ada, OK Micro Area",310M200US10220,37873,18466,1408,19407,1260,2668,3182,3105,6287,3689,3714,7403,2307,2271,4578,2092,2244,4336,3263,3574,6837,2525,3239,5764,3.7,3.3,7.0,8.4,8.2,16.6,9.7,9.8,19.5,6.1,6.0,12.1,5.5,5.9,11.4,8.6,9.4,18.1,6.7,8.6,15.2,Ada, OK,10220
"Adjuntas, PR Micro Area",310M200US10260,19188,9391,558,9797,573,1131,1804,1717,3521,1652,1567,3219,1156,1174,2330,1113,1311,2424,1796,1935,3731,1312,1520,2832,2.9,3.0,5.9,9.4,8.9,18.4,8.6,8.2,16.8,6.0,6.1,12.1,5.8,6.8,12.6,9.4,10.1,19.4,6.8,7.9,14.8,Adjuntas, PR,10260
"Adrian, MI Micro Area",310M200US10300,99257,50285,2776,48972,2605,5381,8893,7999,16892,8098,6905,15003,6168,5322,11490,6714,6674,13388,10826,10697,21523,6810,8770,15580,2.8,2.6,5.4,9.0,8.1,17.0,8.2,7.0,15.1,6.2,5.4,11.6,6.8,6.7,13.5,10.9,10.8,21.7,6.9,8.8,15.7,Adrian, MI,10300
"Aguadilla-Isabela, PR Metro Area",310M200US10380,331146,161985,9333,169161,8667,18000,29558,27683,57241,26393,25894,52287,20707,21227,41934,21017,23244,44261,30230,33599,63829,24747,28847,53594,2.8,2.6,5.4,8.9,8.4,17.3,8.0,7.8,15.8,6.3,6.4,12.7,6.3,7.0,13.4,9.1,10.1,19.3,7.5,8.7,16.2,Aguadilla-Isabela, PR,10380
"Akron, OH Metro Area",310M200US10420,703017,340894,19542,362123,19015,38557,57922,55715,113637,59216,59985,119201,39502,40848,80350,46646,48535,95181,72987,77847,150834,45079,60178,105257,2.8,2.7,5.5,8.2,7.9,16.2,8.4,8.5,17.0,5.6,5.8,11.4,6.6,6.9,13.5,10.4,11.1,21.5,6.4,8.6,15.0,Akron, OH,10420
"Alamogordo, NM Micro Area",310M200US10460,65415,33440,2540,31975,2401,4941,5767,5441,11208,6755,5301,12056,3957,3693,7650,3577,3669,7246,6132,6264,12396,4712,5206,9918,3.9,3.7,7.6,8.8,8.3,17.1,10.3,8.1,18.4,6.0,5.6,11.7,5.5,5.6,11.1,9.4,9.6,18.9,7.2,8.0,15.2,Alamogordo, NM,10460
"Albany, GA Metro Area",310M200US10500,156706,74573,5738,82133,5304,11042,14590,13930,28520,13165,14342,27507,9285,10491,19776,9328,10176,19504,14120,16045,30165,8347,11845,20192,3.7,3.4,7.0,9.3,8.9,18.2,8.4,9.2,17.6,5.9,6.7,12.6,6.0,6.5,12.4,9.0,10.2,19.2,5.3,7.6,12.9,Albany, GA,10500
"Albany, OR Metro Area",310M200US10540,118270,58605,3947,59665,3467,7414,10599,9977,20576,8691,8723,17414,7256,7227,14483,7211,7297,14508,12162,12545,24707,8739,10429,19168,3.3,2.9,6.3,9.0,8.4,17.4,7.3,7.4,14.7,6.1,6.1,12.2,6.1,6.2,12.3,10.3,10.6,20.9,7.4,8.8,16.2,Albany, OR,10540
"Albany-Schenectady-Troy, NY Metro Area",310M200US10580,875567,427575,23667,447992,22787,46454,69014,66394,135408,78171,75268,153439,50544,52881,103425,60586,61782,122368,90235,95249,185484,55358,73631,128989,2.7,2.6,5.3,7.9,7.6,15.5,8.9,8.6,17.5,5.8,6.0,11.8,6.9,7.1,14.0,10.3,10.9,21.2,6.3,8.4,14.7,Albany-Schenectady-Troy, NY,10580
"Albemarle, NC Micro Area",310M200US10620,60553,30308,1860,30245,1597,3457,5137,4809,9946,4768,4295,9063,3292,3160,6452,4604,4426,9030,6225,6317,12542,4422,5641,10063,3.1,2.6,5.7,8.5,7.9,16.4,7.9,7.1,15.0,5.4,5.2,10.7,7.6,7.3,14.9,10.3,10.4,20.7,7.3,9.3,16.6,Albemarle, NC,10620
"Albert Lea, MN Micro Area",310M200US10660,31034,15346,988,15688,877,1865,2440,2503,4943,2023,1885,3908,1677,1524,3201,1909,1905,3814,3477,3371,6848,2832,3623,6455,3.2,2.8,6.0,7.9,8.1,15.9,6.5,6.1,12.6,5.4,4.9,10.3,6.2,6.1,12.3,11.2,10.9,22.1,9.1,11.7,20.8,Albert Lea, MN,10660
"Albertville, AL Micro Area",310M200US10700,94121,46300,3256,47821,3219,6475,8652,8189,16841,7289,6781,14070,5419,5821,11240,6758,6197,12955,8616,9320,17936,6310,8294,14604,3.5,3.4,6.9,9.2,8.7,17.9,7.7,7.2,14.9,5.8,6.2,11.9,7.2,6.6,13.8,9.2,9.9,19.1,6.7,8.8,15.5,Albertville, AL,10700
"Albuquerque, NM Metro Area",310M200US10740,899137,442039,29690,457098,28471,58161,79838,76936,156774,77176,74652,151828,58944,59144,118088,57950,58013,115963,85322,93142,178464,53119,66740,119859,3.3,3.2,6.5,8.9,8.6,17.4,8.6,8.3,16.9,6.6,6.6,13.1,6.4,6.5,12.9,9.5,10.4,19.8,5.9,7.4,13.3,Albuquerque, NM,10740
"Alexandria, LA Metro Area",310M200US10780,154562,76386,5361,78176,5036,10397,14297,13948,28245,12523,11692,24215,10103,9537,19640,10494,10357,20851,14337,15205,29542,9271,12401,21672,3.5,3.3,6.7,9.3,9.0,18.3,8.1,7.6,15.7,6.5,6.2,12.7,6.8,6.7,13.5,9.3,9.8,19.1,6.0,8.0,14.0,Alexandria, LA,10780
"Alexandria, MN Micro Area",310M200US10820,36413,18199,1029,18214,973,2002,3000,2782,5782,2635,2279,4914,1944,2006,3950,2250,2111,4361,3934,3957,7891,3407,4106,7513,2.8,2.7,5.5,8.2,7.6,15.9,7.2,6.3,13.5,5.3,5.5,10.8,6.2,5.8,12.0,10.8,10.9,21.7,9.4,11.3,20.6,Alexandria, MN,10820
"Alice, TX Micro Area",310M200US10860,41348,20473,1800,20875,1470,3270,4302,4176,8478,3379,3291,6670,2242,2563,4805,2554,2420,4974,3713,3834,7547,2483,3121,5604,4.4,3.6,7.9,10.4,10.1,20.5,8.2,8.0,16.1,5.4,6.2,11.6,6.2,5.9,12.0,9.0,9.3,18.3,6.0,7.5,13.6,Alice, TX,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",310M200US10900,826260,403217,23094,423043,22230,45324,70318,66769,137087,62439,60737,123176,47651,49051,96702,57951,59627,117578,85530,89119,174649,56234,75510,131744,2.8,2.7,5.5,8.5,8.1,16.6,7.6,7.4,14.9,5.8,5.9,11.7,7.0,7.2,14.2,10.4,10.8,21.1,6.8,9.1,15.9,Allentown-Bethlehem-Easton, PA,10900
"Alma, MI Micro Area",310M200US10940,42057,22322,1118,19735,1133,2251,3320,3177,6497,4487,3198,7685,2867,2166,5033,3388,2447,5835,4286,3959,8245,2856,3655,6511,2.7,2.7,5.4,7.9,7.6,15.4,10.7,7.6,18.3,6.8,5.2,12.0,8.1,5.8,13.9,10.2,9.4,19.6,6.8,8.7,15.5,Alma, MI,10940
