CBSA,GEOID,total,mtotal,mu5,ftotal,fu5,tu5,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmu5,Pfu5,Ptu5,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,Name,State,CBSAFIPS
"Little Rock-North Little Rock-Conway, AR Metro Area",310M200US30780,716849,347819,24756,369030,23766,48522,63776,61481,125257,61151,62161,123312,48687,50486,99173,45063,47652,92715,64498,70797,135295,39888,52687,92575,3.5,3.3,6.8,8.9,8.6,17.5,8.5,8.7,17.2,6.8,7.0,13.8,6.3,6.6,12.9,9.0,9.9,18.9,5.6,7.3,12.9,Little Rock-North Little Rock-Conway, AR,30780
"Lock Haven, PA Micro Area",310M200US30820,39611,19301,1087,20310,1074,2161,3035,2900,5935,4078,4338,8416,1873,2043,3916,2494,2342,4836,3810,3934,7744,2924,3679,6603,2.7,2.7,5.5,7.7,7.3,15.0,10.3,11.0,21.2,4.7,5.2,9.9,6.3,5.9,12.2,9.6,9.9,19.6,7.4,9.3,16.7,Lock Haven, PA,30820
"Logan, UT-ID Metro Area",310M200US30860,128807,64272,6256,64535,6065,12321,14563,13930,28493,15879,16307,32186,8415,8019,16434,6166,6060,12226,7888,8229,16117,5105,5925,11030,4.9,4.7,9.6,11.3,10.8,22.1,12.3,12.7,25.0,6.5,6.2,12.8,4.8,4.7,9.5,6.1,6.4,12.5,4.0,4.6,8.6,Logan, UT,30860
"Logan, WV Micro Area",310M200US30880,36169,17804,982,18365,968,1950,2770,2753,5523,2397,2190,4587,2512,2221,4733,2427,2537,4964,4203,4446,8649,2513,3250,5763,2.7,2.7,5.4,7.7,7.6,15.3,6.6,6.1,12.7,6.9,6.1,13.1,6.7,7.0,13.7,11.6,12.3,23.9,6.9,9.0,15.9,Logan, WV,30880
"Logansport, IN Micro Area",310M200US30900,38730,19399,1313,19331,1224,2537,3663,3403,7066,2863,2508,5371,2435,2167,4602,2718,2653,5371,3862,3904,7766,2545,3472,6017,3.4,3.2,6.6,9.5,8.8,18.2,7.4,6.5,13.9,6.3,5.6,11.9,7.0,6.8,13.9,10.0,10.1,20.1,6.6,9.0,15.5,Logansport, IN,30900
"London, KY Micro Area",310M200US30940,126949,62038,4070,64911,4082,8152,11539,10741,22280,9598,9759,19357,8366,8187,16553,8252,8788,17040,12125,13066,25191,8088,10288,18376,3.2,3.2,6.4,9.1,8.5,17.6,7.6,7.7,15.2,6.6,6.4,13.0,6.5,6.9,13.4,9.6,10.3,19.8,6.4,8.1,14.5,London, KY,30940
"Longview, TX Metro Area",310M200US30980,216746,108697,7776,108049,7490,15266,19868,18385,38253,18807,16644,35451,13867,12953,26820,13961,13502,27463,20860,21371,42231,13558,17704,31262,3.6,3.5,7.0,9.2,8.5,17.6,8.7,7.7,16.4,6.4,6.0,12.4,6.4,6.2,12.7,9.6,9.9,19.5,6.3,8.2,14.4,Longview, TX,30980
"Manitowoc, WI Micro Area",310M200US31820,80805,40178,2254,40627,2060,4314,6682,6494,13176,5388,4941,10329,4226,4335,8561,5857,5451,11308,9551,9193,18744,6220,8153,14373,2.8,2.5,5.3,8.3,8.0,16.3,6.7,6.1,12.8,5.2,5.4,10.6,7.2,6.7,14.0,11.8,11.4,23.2,7.7,10.1,17.8,Manitowoc, WI,31820
"Mankato-North Mankato, MN Metro Area",310M200US31860,97643,49035,2948,48608,2787,5735,7245,7002,14247,13574,12832,26406,5684,5469,11153,5685,5159,10844,8562,8499,17061,5337,6860,12197,3.0,2.9,5.9,7.4,7.2,14.6,13.9,13.1,27.0,5.8,5.6,11.4,5.8,5.3,11.1,8.8,8.7,17.5,5.5,7.0,12.5,Mankato-North Mankato, MN,31860
"Mansfield, OH Metro Area",310M200US31900,122813,62260,3616,60553,3383,6999,10236,9861,20097,9821,7786,17607,8169,6851,15020,8477,7478,15955,12876,13102,25978,9065,12092,21157,2.9,2.8,5.7,8.3,8.0,16.4,8.0,6.3,14.3,6.7,5.6,12.2,6.9,6.1,13.0,10.5,10.7,21.2,7.4,9.8,17.2,Mansfield, OH,31900
"Marietta, OH Micro Area",310M200US31930,61473,30139,1593,31334,1486,3079,4861,4525,9386,4549,4278,8827,3502,3522,7024,3822,4038,7860,6832,7149,13981,4980,6336,11316,2.6,2.4,5.0,7.9,7.4,15.3,7.4,7.0,14.4,5.7,5.7,11.4,6.2,6.6,12.8,11.1,11.6,22.7,8.1,10.3,18.4,Marietta, OH,31930
"Marinette, WI-MI Micro Area",310M200US31940,65326,32751,1595,32575,1490,3085,5181,4796,9977,4071,3724,7795,3403,3150,6553,4164,4205,8369,8108,7943,16051,6229,7267,13496,2.4,2.3,4.7,7.9,7.3,15.3,6.2,5.7,11.9,5.2,4.8,10.0,6.4,6.4,12.8,12.4,12.2,24.6,9.5,11.1,20.7,Marinette, WI,31940
"Marion, IN Micro Area",310M200US31980,69313,33287,1972,36026,1888,3860,5554,5282,10836,5969,6814,12783,3703,3615,7318,4079,4424,8503,6935,7371,14306,5075,6632,11707,2.8,2.7,5.6,8.0,7.6,15.6,8.6,9.8,18.4,5.3,5.2,10.6,5.9,6.4,12.3,10.0,10.6,20.6,7.3,9.6,16.9,Marion, IN,31980
"Longview, WA Metro Area",310M200US31020,102072,50519,3192,51553,3081,6273,8838,8841,17679,7137,6939,14076,6061,5971,12032,6434,6345,12779,10927,11171,22098,7930,9205,17135,3.1,3.0,6.1,8.7,8.7,17.3,7.0,6.8,13.8,5.9,5.8,11.8,6.3,6.2,12.5,10.7,10.9,21.6,7.8,9.0,16.8,Longview, WA,31020
